B2 U' R F B
B2 U' R B F
U' R D F L2 B
U' R D F B L2
U' R D B F L2
U' R F D L2 B
U' R F D B L2
U' D R F L2 B
U' D R F B L2
U' D R B F L2
D U' R F L2 B
D U' R F B L2
D U' R B F L2
B2 U' R D F B
B2 U' R D B F
B2 U' R D' F B
B2 U' R D' B F
B2 U' R D2 F B
B2 U' R D2 B F
B2 U' R F D B
B2 U' R F D' B
B2 U' R F D2 B
B2 U' R F B D
B2 U' R F B D'
B2 U' R F B D2
B2 U' R B D F
B2 U' R B D' F
B2 U' R B D2 F
B2 U' R B F D
B2 U' R B F D'
B2 U' R B F D2
B2 U' R2 F R' B
B2 U' D R F B
B2 U' D R B F
B2 U' D' R F B
B2 U' D' R B F
B2 U' D2 R F B
B2 U' D2 R B F
B2 U' B R F B
B2 U' B R B F
B2 U' B' R F B
B2 U' B' R B F
B2 U' B2 R F B
B2 U' B2 R B F
R2 F R' D L2 B2
R2 F R' D B2 L2
R F U R B2 U'
R F U B2 R U'
B2 D U' R F B
B2 D U' R B F
B2 D' U' R F B
B2 D' U' R B F
B2 D2 U' R F B
B2 D2 U' R B F
B2 L U' D2 R F' B
B2 L U' D2 R B F'
B2 L D2 U' R F' B
B2 L D2 U' R B F'
U' L2 R D L2 F B
U' L2 R D L2 B F
B2 L2 U B' U2 R B
B2 L2 U' R B D2 F2
U' L2 D L2 R F B
U' L2 D L2 R B F
U' L2 D R L2 F B
U' L2 D R L2 B F
U' R L2 D L2 F B
U' R L2 D L2 B F
U' R U B2 U' F B'
U' R U B2 U' B' F
U' R D L2 B D2 F2
U' R D F L' B L'
U' R D F L2 D B
U' R D F L2 D' B
U' R D F L2 D2 B
U' R D F L2 B D
U' R D F L2 B D'
U' R D F L2 B D2
U' R D F B L2 D
U' R D F B L2 D'
U' R D F B L2 D2
U' R D F B' L2 B2
U' R D F' L2 F2 B
U' R D F' L2 B F2
U' R D F' B L2 F2
U' R D F2 L2 F' B
U' R D F2 L2 B F'
U' R D F2 B L2 F'
U' R D B F L2 D
U' R D B F L2 D'
U' R D B F L2 D2
U' R D B F' L2 F2
U' R D B F2 L2 F'
U' R D B' F L2 B2
U R D F L' B' L'
U' R D' F D2 L2 B
U' R D' F D2 B L2
U' R D' F B D2 L2
U' R D' B D2 F L2
U' R D' B F D2 L2
U' R D2 B D' F L2
U' R F L D L2 B
U' R F L D B L2
U' R F L' D L2 B
U' R F L' D B L2
U' R F L2 D L2 B
U' R F L2 D B L2
B' R F U R B' U'
B' R F U B' R U'
U' R F U B2 U' B'
D R F L2 U R U'
U' R F D L' B L'
U' R F D L2 D B
U' R F D L2 D' B
U' R F D L2 D2 B
U' R F D L2 B D
U' R F D L2 B D'
U' R F D L2 B D2
U' R F D B L2 D
U' R F D B L2 D'
U' R F D B L2 D2
U' R F D B' L2 B2
U' R F D' B D2 L2
U R F L D L2 B'
D R F U R U' L2
U' R F D2 B D' L2
U R F L' D B' L2
U' R F B U B U'
U R F D L' B' L'
L2 U' R D L2 F B
L2 U' R D L2 B F
U' R F2 D L2 F' B
U' R F2 D L2 B F'
U' R F2 D F' L2 B
U' R F2 D F' B L2
F R F' B2 U' R F
U' R F2 D B L2 F'
U' R F2 D B F' L2
U' R B U B U' F
U' R B F U B U'
L2 U' D L2 R F B
L2 U' D L2 R B F
L2 U' D R L2 F B
L2 U' D R L2 B F
F R B2 F' U' R F
B2 R' U' R B R F
B2 R' U' F R B R
U' R' B2 U' R2 F B
U' R' B2 U' R2 B F
B2 R2 U' R F B R2
B2 R2 U' R B R2 F
B2 R2 U' R B F R2
B2 R2 U' R' F D2 B2
B2 R2 U' F R B R2
U' R2 F R' D L2 B
U' R2 F R' D B L2
D R2 F L2 R' D B2
D R2 F R' L2 D B2
B R2 F' L' U R' F2
B R2 F' L' U F2 R'
L2 D U' L2 R F B
L2 D U' L2 R B F
L2 D U' R L2 F B
L2 D U' R L2 B F
R2 D F L2 R' D B2
R2 D F R' L2 D B2
U' D L2 R B D2 F2
R D F L2 U R U'
R D F U R U' L2
U' D R L2 B D2 F2
U' D R F L' B L'
U' D R F L2 D B
U' D R F L2 D' B
U' D R F L2 D2 B
U' D R F L2 B D
U' D R F L2 B D'
U' D R F L2 B D2
U' D R F B L2 D
U' D R F B L2 D'
U' D R F B L2 D2
U' D R F B' L2 B2
D' U R F2 L' F' B'
D' U R F2 L' B' F'
U' D R F' L2 F2 B
U' D R F' L2 B F2
U' D R F' B L2 F2
U' D R F2 L2 F' B
U' D R F2 L2 B F'
U' D R F2 B L2 F'
U' D R B F L2 D
U' D R B F L2 D'
U' D R B F L2 D2
U' D R B F' L2 F2
U' D R B F2 L2 F'
U' D R B' F L2 B2
B U R D' F L' B'
D U R F L' B' L'
U D R F L' B' L'
F U R F' B2 U' R
F U R B2 F' U' R
U' D R2 F L2 R' B
U' D R2 F R' L2 B
U' D R2 F R' B L2
F U D R F' U' L2
U' D B R F L2 B
U' D B R F B L2
U' D B R B F L2
U' D B' R F L2 B
U' D B' R F B L2
U' D B' R B F L2
B2 U F2 L' U2 F' B'
B2 U F2 L' U2 B' F'
U' D B2 R F L2 B
U' D B2 R F B L2
U' D B2 R B F L2
F U F' B2 U' R B
B2 U B U2 R F B
B2 U B U2 R B F
B2 U B' U2 R F B
B2 U B' U2 R B F
B2 U B2 U2 R F B
B2 U B2 U2 R B F
B2 U' L R B L' F
D U' L2 R B D2 F2
F U B2 R F' U' R
D2 U' R D' F L2 B
D2 U' R D' F B L2
D2 U' R D' B F L2
F U B2 D R F' U'
U' D' R F2 L' F' B
U' D' R F2 L' B F'
D' U' R F2 L' F' B
D' U' R F2 L' B F'
U' D' R F2 B L' F'
D' U' R F2 B L' F'
U' D' R B F2 L' F'
D' U' R B F2 L' F'
D2 U' R B D' F L2
F U B2 F' U' R B
D U' R L2 B D2 F2
R2 D' F R' D B2 L
D U' R F L' B L'
D U' R F L2 D B
D U' R F L2 D' B
D U' R F L2 D2 B
D U' R F L2 B D
D U' R F L2 B D'
D U' R F L2 B D2
D U' R F B L2 D
D U' R F B L2 D'
D U' R F B L2 D2
D U' R F B' L2 B2
D U' R F' L2 F2 B
D U' R F' L2 B F2
D U' R F' B L2 F2
D U' R F2 L2 F' B
D U' R F2 L2 B F'
D U' R F2 B L2 F'
D U' R B F L2 D
D U' R B F L2 D'
D U' R B F L2 D2
D U' R B F' L2 F2
D U' R B F2 L2 F'
D U' R B' F L2 B2
U D' R F2 L' F' B'
U D' R F2 L' B' F'
D' U' R2 U2 R' F B
U' D' R2 U2 R' F B
D' U' R2 U2 R' B F
U' D' R2 U2 R' B F
U' D' R2 U2 F R' B
D' U' R2 U2 F R' B
B2 U' R L B L' F
B' U' R F B D L2
B2 U' R D F D B
B2 U' R D F D' B
B2 U' R D F D2 B
B2 U' R D F B D
B2 U' R D F B D'
B2 U' R D F B D2
B2 U' R D B D F
B2 U' R D B D' F
B2 U' R D B D2 F
B2 U' R D B F D
B2 U' R D B F D'
B2 U' R D B F D2
B2 U' R D' F D B
B2 U' R D' F D' B
B2 U' R D' F D2 B
B2 U' R D' F B D
B2 U' R D' F B D'
B2 U' R D' F B D2
B2 U' R D' B D F
B2 U' R D' B D' F
B2 U' R D' B D2 F
B2 U' R D' B F D
B2 U' R D' B F D'
B2 U' R D' B F D2
B2 U' R D2 F D B
B2 U' R D2 F D' B
B2 U' R D2 F D2 B
B2 U' R D2 F B D
B2 U' R D2 F B D'
B2 U' R D2 F B D2
B2 U' R D2 B D F
B2 U' R D2 B D' F
B2 U' R D2 B D2 F
B2 U' R D2 B F D
B2 U' R D2 B F D'
B2 U' R D2 B F D2
B2 U' R F L B L'
B' U' R B D F L2
B2 U' R F L2 B L2
B' U' R B F D L2
B2 U' R F D B D
B2 U' R F D B D'
B2 U' R F D B D2
B2 U' R F D' B D
B2 U' R F D' B D'
B2 U' R F D' B D2
B2 U' R F D2 B D
B2 U' R F D2 B D'
B2 U' R F D2 B D2
B2 U' R F B2 D B'
B2 U' R F B2 D' B'
B2 U' R F B2 D2 B'
B2 U' R F2 D F' B
B2 U' R F2 D B F'
B2 U' R F2 D' F' B
B2 U' R F2 D' B F'
B2 U' R F2 D2 F' B
B2 U' R F2 D2 B F'
B2 U' R F2 B D F'
B2 U' R F2 B D' F'
B2 U' R F2 B D2 F'
B2 U' R B R F R'
B2 U' R B R2 F R2
B2 U' R B D F D
B2 U' R B D F D'
B2 U' R B D F D2
B2 U' R B D' F D
B2 U' R B D' F D'
B2 U' R B D' F D2
B2 U' R B D2 F D
B2 U' R B D2 F D'
B2 U' R B D2 F D2
D U' R2 F L2 R' B
D U' R2 F R' L2 B
B2 U' R B F2 D F'
D U' R2 F R' B L2
B2 U' R B F2 D' F'
B2 U' R B F2 D2 F'
B2 U' R B2 D F B'
B2 U' R B2 D B' F
B2 U' R B2 D' F B'
B2 U' R B2 D' B' F
B2 U' R B2 D2 F B'
B2 U' R B2 D2 B' F
B2 U' R B2 F D B'
B2 U' R B2 F D' B'
B2 U' R B2 F D2 B'
B U' R D' F L' B
B U' R D' F B L'
B U' R D' B F L'
B2 U' R' F R2 D2 B2
B U' R B D' F L'
B2 U' R' B R2 F B
B2 U' R' B R2 B F
B2 U' R' B' R2 F B
B2 U' R' B' R2 B F
B2 U' R' B2 R2 F B
B2 U' R' B2 R2 B F
B2 U' R2 F R' D B
B2 U' R2 F R' D' B
B2 U' R2 F R' D2 B
B2 U' R2 F R' B D
B2 U' R2 F R' B D'
B2 U' R2 F R' B D2
B2 U' R2 F' R' F2 B
B2 U' R2 F' R' B F2
B2 U' D R D F B
B2 U' D R D B F
B2 U' D R D' F B
B2 U' D R D' B F
B2 U' D R D2 F B
B2 U' D R D2 B F
B2 U' D R F D B
B2 U' D R F D' B
B2 U' D R F D2 B
B2 U' D R F B D
B2 U' D R F B D'
B2 U' D R F B D2
B2 U' D R B D F
B2 U' D R B D' F
B2 U' D R B D2 F
B2 U' D R B F D
B2 U' D R B F D'
