F' L' B2 U' B R
B2 F' L' U' R B'
B2 F' L' U' B' R
F' B2 L' U' R B'
F' B2 L' U' B' R
F' L R D L2 F2 B'
F' L R D L2 B' F2
B2 L U F L' B' U2
F' L D L2 R F2 B'
F' L D L2 R B' F2
F' L D L2 B' R F2
F' L D R L2 F2 B'
F' L D R L2 B' F2
F' L B2 L2 U' R B'
F' L B2 L2 U' B' R
F' L' R' B2 U' B R2
F' L' U' R D B' L2
F' L' U' D R B' L2
F' L' U' D B' L2 R
F' L' U' D B' R L2
B2 L' U' R' F' R B'
B2 L' U' R' F' B' R
B2 L' U' R' B' F' R
B2 L' U' B' R' F' R
F' L' D U' R B' L2
F' L' D U' B' L2 R
F' L' D U' B' R L2
F' L' B2 U' D B R
F' L' B2 U' D' B R
F' L' B2 U' D2 B R
F' L' B2 U' B R D
F' L' B2 U' B R D'
F' L' B2 U' B R D2
F' L' B2 U' B D R
F' L' B2 U' B D' R
F' L' B2 U' B D2 R
F' L' B2 U' B' R B2
F' L' B2 U' B2 R B'
F' L' B2 D U' B R
F' L' B2 D' U' B R
F' L' B2 D2 U' B R
F' R L D L2 F2 B'
F' R L D L2 B' F2
B2 R F' L' U' R B'
B2 R F' L' U' B' R
D R F' L' U' B' L'
F' R' L' B2 U' B R2
B2 R' F' L' U' R B'
B2 R' F' L' U' B' R
F' R' B2 L' U' R2 B'
F' R' B2 L' U' B' R2
U' R' B2 U' F' R B
B2 R2 F' L' U' R B'
B2 R2 F' L' U' B' R
F' U' L' B2 U' R B
F' U' B2 L' U' R B
F' D L' U' R B' L'
F' D L' U' B' L' R
F' D L' U' B' R L'
B2 D R F' L' U' B'
R' F' L' B2 U' B R
R2 F' L' B2 U' B R
R F' L' B2 U' B R
R' F' B2 L' U' R B'
R' F' B2 L' U' B' R
L' F' B2 L' U' B R
R2 F' B2 L' U' R B'
R2 F' B2 L' U' B' R
R F' B2 L' U' R B'
R F' B2 L' U' B' R
B2 D' F' L' F U' B'
F' B L' B U' R B2
F' B L' B U' B2 R
B2 F' L' R' U' R2 B'
B2 F' L' R' U' B' R2
B2 F' L' R2 U' R' B'
B2 F' L' U' R D B'
B2 F' L' U' R D' B'
B2 F' L' U' R D2 B'
B2 F' L' U' R B' D
B2 F' L' U' R B' D'
B2 F' L' U' R B' D2
B2 F' L' U' R' B' R2
B2 F' L' U' D R B'
B2 F' L' U' D B' R
B2 F' L' U' D' R B'
B2 F' L' U' D' B' R
B2 F' L' U' D2 R B'
B2 F' L' U' D2 B' R
B2 F' L' U' B R B2
B2 F' L' U' B' R D
B2 F' L' U' B' R D'
B2 F' L' U' B' R D2
B2 F' L' U' B' D R
B2 F' L' U' B' D' R
B2 F' L' U' B' D2 R
B2 F' L' D U' R B'
B2 F' L' D U' B' R
B2 F' L' D' U' R B'
B2 F' L' D' U' B' R
B2 F' L' D2 U' R B'
B2 F' L' D2 U' B' R
B F' L' B U' R B2
B F' L' B U' B2 R
B2 F' R' L' U' R2 B'
B2 F' R' L' U' B' R2
B2 F' R2 L' U' R' B'
B2 F' D L' U' R B'
B2 F' D L' U' B' R
B2 F' D' L' U' R B'
B2 F' D' L' U' B' R
B2 F' D2 L' U' R B'
B2 F' D2 L' U' B' R
F' B2 L' R' U' R2 B'
F' B2 L' R' U' B' R2
U' B2 R' U' F' R B
F' B2 L' R2 U' R' B'
F' B2 L' U' R D B'
F' B2 L' U' R D' B'
F' B2 L' U' R D2 B'
F' B2 L' U' R B' D
F' B2 L' U' R B' D'
F' B2 L' U' R B' D2
F' B2 L' U' R' B' R2
F' B2 L' U' D R B'
F' B2 L' U' D B' R
F' B2 L' U' D' R B'
F' B2 L' U' D' B' R
F' B2 L' U' D2 R B'
F' B2 L' U' D2 B' R
F' B2 L' U' B R B2
F' B2 L' U' B' R D
F' B2 L' U' B' R D'
F' B2 L' U' B' R D2
F' B2 L' U' B' D R
F' B2 L' U' B' D' R
F' B2 L' U' B' D2 R
F' B2 L' D U' R B'
F' B2 L' D U' B' R
F' B2 L' D' U' R B'
F' B2 L' D' U' B' R
F' B2 L' D2 U' R B'
F' B2 L' D2 U' B' R
F' B2 R' L' U' R2 B'
F' B2 R' L' U' B' R2
L' B2 U' R' F' R B
L' B2 U' D2 B R' F'
F' B2 R2 L' U' R' B'
L' B2 U' B R' F' R
L B2 U F L' B' U2
L' B2 D2 U' B R' F'
F' B2 D L' U' R B'
F' B2 D L' U' B' R
R' B2 F' L' U' R B'
R' B2 F' L' U' B' R
F' B2 D' L' U' R B'
F' B2 D' L' U' B' R
L' B2 F' L' U' B R
F' B2 D2 L' U' R B'
F' B2 D2 L' U' B' R
R2 B2 F' L' U' R B'
R2 B2 F' L' U' B' R
R B2 F' L' U' R B'
R B2 F' L' U' B' R
