L D R' B U2 B2
F' L R' U R2 U B'
F' L R' U2 D' F2 B'
F' L R' U2 D' B' F2
F' L R' U2 B' D' F2
F' L R' D B2 U2 B
F' L R' D' U2 F2 B'
F' L R' D' U2 B' F2
F L R' U2 D F2 B'
F L R' U2 D B' F2
F L R' U2 B' D F2
F L R' D U2 F2 B'
F L R' D U2 B' F2
F L R' D' B2 U2 B
D' L R' B' U L U
B2 L R2 D R F' B'
B2 L R2 D R B' F'
B2 L R2 D B' R F'
B2 L R2 B' D R F'
R2 L D R U2 F' B'
R2 L D R U2 B' F'
B2 L D R F' R2 B'
B2 L D R F' B' R2
B2 L D R B' F' R2
U' L D R' B U2 B2
U2 L D R' B U2 B2
B2 L D R' B' D2 F2
F L D R' U2 F2 B'
F L D R' U2 B' F2
U L D R' B U2 B2
D' L D' R' B' U2 B2
F L D' R' B2 U2 B
R' L F' U R U B'
F L D' B2 U2 L B
B2 L F' R' D' F2 B'
B2 L F' R' D' B' F2
B2 L F' R' B' D' F2
L2 R' D' L' U2 F B'
L2 R' D' L' U2 B' F
F L' U L2 R' U2 B'
F L' U R' L2 U2 B'
F L' U R' F L2 U2
F L' U F L2 R' U2
F L' U F R' L2 U2
R' L' F L2 U' L U'
L' R' F L2 U' L U'
L R' F' U R U B'
L R2 D R U2 F' B'
L R2 D R U2 B' F'
R' L2 D' L' U2 F B'
R' L2 D' L' U2 B' F
B2 L2 R' D' L' F B'
B2 L2 R' D' L' B' F
B2 L2 D' L' R' F B'
B2 L2 D' L' R' B' F
B2 L2 D' L' F R' B'
B2 L2 D' R' L' F B'
B2 L2 D' R' L' B' F
F' R U' L R2 U2 B'
F' R U' R2 L U2 B'
F' R' L U R2 U B'
F' R' L U2 D' F2 B'
F' R' L U2 D' B' F2
F' R' L U2 B' D' F2
F' R' L D B2 U2 B
F' R' L D' U2 F2 B'
F' R' L D' U2 B' F2
D' R' L B' U L U
F R' L U2 D F2 B'
F R' L U2 D B' F2
F R' L U2 B' D F2
F R' L D U2 F2 B'
F R' L D U2 B' F2
F R' L D' B2 U2 B
B2 R' L2 D' L' F B'
B2 R' L2 D' L' B' F
D2 R' D L B' U2 B2
D R' D' L B U2 B2
B2 R' F L D F2 B'
B2 R' F L D B' F2
B2 R' F L B' D F2
B2 R2 L D R F' B'
B2 R2 L D R B' F'
