R U B L U2 L'
R U' B U2 B' R'
U2 L R U2 B U F
R' L U F' D R2 B2
R' L U F' D B2 R2
U2 L R' F' R2 U' F2
R' L U2 F R2 U' F2
R' L D2 L2 B' U F'
R' L F R2 B U' F2
L' R B' U' B2 U2 B2
L2 R' U D F' R B2
L2 R' U D F' B2 R
L2 R' U D B2 F' R
L R' U F' D R2 B2
L R' U F' D B2 R2
L R' U2 F R2 U' F2
L2 R' D U F' R B2
L2 R' D U F' B2 R
L2 R' D U B2 F' R
R' L' D B' U F' B'
R' L' D B' U B' F'
L' R' D B' U F' B'
L' R' D B' U B' F'
F2 L' R' F2 B' U F
F2 L' R' B' F2 U F
L R' D2 L2 B' U F'
R' L' D2 B' L2 U F'
L' R' D2 B' L2 U F'
L R' F R2 B U' F2
R' L' B' U D F' B2
R' L' B' U D B2 F'
R' L' B' U F' D B2
L' R' B' U D F' B2
L' R' B' U D B2 F'
L' R' B' U F' D B2
R' L' B' D U F' B2
R' L' B' D U B2 F'
L' R' B' D U F' B2
L' R' B' D U B2 F'
R' L' B' D2 L2 U F'
L' R' B' D2 L2 U F'
R L' B' U' B2 U2 B2
R' L2 U D F' R B2
R' L2 U D F' B2 R
R' L2 U D B2 F' R
F2 L' F2 R' B' U F'
F2 L' F2 B' R' U F'
R' L2 D U F' R B2
R' L2 D U F' B2 R
R' L2 D U B2 F' R
F2 L' B' R' F2 U F
F2 L' B' F2 R' U F'
R U L B L U2 L2
R U L2 B L U2 L
R' U D F' B' R' B'
R' U D B' F' R' B'
R' U D B2 D2 F' R
R U D B L U2 L'
U2 R L U2 B U F
R U D' B L U2 L'
R U D2 B L U2 L'
R' U F' D B' R' B'
R' U F' B D B2 R'
R' U F' B' D R' B2
D2 R U B L U2 L'
D' R U B L U2 L'
B' R U B L U2 L'
B2 R U B L U2 L'
D R U B L U2 L'
B R U B L U2 L'
D2 R U' B U2 B' R'
D' R U' B U2 B' R'
B' R U' B U2 B' R'
B2 R U' B U2 B' R'
R' U B D F' B2 R'
R' U B D B2 F' R'
D R U' B U2 B' R'
R U B L R U2 L'
R U B L R' U2 L'
R U B L R2 U2 L'
B R U' B U2 B' R'
R U B L U2 L' D
R U B L U2 L' D'
R U B L U2 L' D2
R U B L U2 D L'
R U B L U2 D' L'
R U B L U2 D2 L'
R U B L D U2 L'
R U B L D' U2 L'
R U B L D2 U2 L'
R' U B F' D B2 R'
R U B R L U2 L'
R U B R' L U2 L'
R U B R2 L U2 L'
R U B D L U2 L'
R U B D' L U2 L'
R U B D2 L U2 L'
R' U B' D F' R' B2
U2 R U2 B R' U F'
R' U B' F' D R' B2
R U' L B U2 B' R'
R U' L' B U2 B' R'
R U' L2 B U2 B' R'
R U' R2 F R F2 L'
R U' D B U2 B' R'
R U' D' B U2 B' R'
U2 R' L F' R2 U' F2
R U' D2 B U2 B' R'
F2 R' L' F2 B' U F
F2 R' L' B' F2 U F
R U' F B U2 R B'
R U' F B U2 B' R
R U' F' L' B U2 B'
R U' B L2 F U2 R
R U' B U2 R B' R'
R U' B U2 R' B' R'
R U' B U2 R2 B' R'
R U' B U2 D B' R'
R U' B U2 D' B' R'
R U' B U2 D2 B' R'
R U' B U2 B' R' D
R U' B U2 B' R' D'
R U' B U2 B' R' D2
R U' B U2 B' D R'
R U' B U2 B' D' R'
R U' B U2 B' D2 R'
R U' B D U2 B' R'
R U' B D' U2 B' R'
R U' B D2 U2 B' R'
R U' B F U2 R B'
R U' B F U2 B' R
L' U2 L R U' F R
U2 R' F' L R2 U' F
L' U2 R L U' F R
U2 R' F' R2 L U' F
L U2 R F L U' F
R2 U2 R' F' U B U2
R' D L' B' U F' B'
R' D L' B' U B' F'
R' D U F' B' R' B'
R' D U B' F' R' B'
R' D U B2 D2 F' R
R D U B L U2 L'
R D U' B U2 B' R'
R' D B' U F' B' R'
R' D B' U B' F' R'
R D' U B L U2 L'
R D' U' B U2 B' R'
R' D2 L' B' L' U F'
R' D2 L2 U D F' R
R' D2 L2 D U F' R
R D2 U B L U2 L'
R D2 U' B U2 B' R'
U F' U L' U' B' R'
L' B' R U' B U2 B'
L' B' R' U D F' B2
L' B' R' U D B2 F'
L' B' R' U F' D B2
L' B' R' D U F' B2
L' B' R' D U B2 F'
L' B' R' D2 L2 U F'
L' B' U2 L R U' F
L' B' U2 R L U' F
