R' F' U B' R' U
B2 L R D F B R'
B2 L R D B R' F
B2 L R D B F R'
B2 L R F D B R'
B2 L F R D B R'
B2 L F U' B L U
R' L' D F' B' U2 R
L' R' D F' B' U2 R
R' L' D B' F' U2 R
L' R' D B' F' U2 R
R' L' D' F' B' L U2
L' R' D' F' B' L U2
R' L' D' B' L F' U2
L' R' D' B' L F' U2
R' L' D' B' F' L U2
L' R' D' B' F' L U2
R' L' F' D' B' L U2
L' R' F' D' B' L U2
R' L' B' D F' U2 R
L' R' B' D F' U2 R
R' U R' B' R' U B
R' U R2 B' R' U B2
B2 R L D F B R'
B2 R L D B R' F
B2 R L D B F R'
B2 R L F D B R'
B2 R D L F B R'
B2 R D L B R' F
B2 R D L B F R'
R U B' R' U B2 L
B R D' B L R2 F
B R D' B L F R2
B R D' B R2 L F
B R' D' R2 B L F
D2 R' F' U B' R' U
D' R' F' U B' R' U
F' R' F' U B' R' U
F2 R' F' U B' R' U
D R' F' U B' R' U
F R' F' U B' R' U
L' D R' F' B' U2 R
L' D R' B' F' U2 R
R' D F' U B' R' U
L' D' R' F' B' L U2
L' D' R' B' L F' U2
L' D' R' B' F' L U2
R' D' F' U B' R' U
R' D2 F' U B' R' U
R' F' L' D' B' L U2
R' F' U R B' R' U
R' F' U R' B' R' U
R' F' U R2 B' R' U
R' F' U D B' R' U
R' F' U D' B' R' U
R' F' U D2 B' R' U
R' F' U B' R' U D
R' F' U B' R' U D'
R' F' U B' R' U D2
R' F' U B' R' D U
R' F' U B' R' D' U
R' F' U B' R' D2 U
R' F' U B' D R' U
R' F' U B' D' R' U
R' F' U B' D2 R' U
R' F' D U B' R' U
R' F' D' U B' R' U
R' F' D2 U B' R' U
B D' R B L R F
B D' R B R L F
U B' R' U L' B' L
