F' L B' U R' F2 L'
U2 D F L' R D' B2
U2 D F L' D' R B2
U2 D F L' D' B2 R
U2 D F R L' D' B2
F U' L U2 F B' U'
F U' L U2 B' F U'
F U' L' F B' L2 U
F U' L' B' F L2 U
B' U' R' D F L' B'
B' U' D R' F L' B'
B' U' D F L' R' B'
B' U' D F R' L' B'
D U2 F L' R D' B2
D U2 F L' D' R B2
D U2 F L' D' B2 R
D U2 F R L' D' B2
D F L' D' B' R' B'
D F L' B D' B2 R'
D F L' B' R' D' B2
D F L' B' D' R' B2
B' D U' R' F L' B'
B' D U' F L' R' B'
B' D U' F R' L' B'
B D' F B2 R' B L
B D' B2 R' F B L
B D' B2 R' B F L
B D' B2 F R' B L
B F D' B2 R' B L
F B D' B2 R' B L
L B' U R' F2 L' F
D B' U' R' F L' B'
D B' U' F L' R' B'
D B' U' F R' L' B'
D2 B2 R' B U' R' F
D2 B2 R' B U' F R'
