B R2 U' R F' L'
B L' R2 B' U' R F'
B2 L' B' R2 U' R F'
R2 U R' B U2 L R'
R2 U R' B U2 R' L
R2 U B' L R' B U2
R2 U B' R' L B U2
R2 U' R D2 F' L' R
R2 U' R D2 F' R L'
R2 U' D2 F' L' R F
R2 U' D2 F' R L' F
B R2 L' B' U' R F'
B R2 U' L R F' L'
B R2 U' L' R F' L'
B R2 U' L2 R F' L'
B R2 U' R L F' L'
B R2 U' R L' F' L'
B R2 U' R L2 F' L'
B R2 U' R D F' L'
B R2 U' R D' F' L'
B R2 U' R D2 F' L'
B R2 U' R F' L' D
B R2 U' R F' L' D'
B R2 U' R F' L' D2
B R2 U' R F' D L'
B R2 U' R F' D' L'
B R2 U' R F' D2 L'
R2 D L' F B' L U'
R2 D L' B' F L U'
B R2 B U' R F' L'
U R2 B U' L R' F'
U R2 B U' R' L F'
U R2 B U' R' F' L
B R2 B' U' R F' L'
B R2 B2 U' R F' L'
R2 D2 U' F' L' R F
R2 D2 U' F' R L' F
L' B R2 B2 U' R F'
R' B U' F' L' R' B'
R' B U' F' R' L' B'
R2 B U' R F' L' R2
R2 B U' R F' R2 L'
L' B D L2 R' F' B2
L' B D L2 R' B2 F'
L' B D R' L2 F' B2
L' B D R' L2 B2 F'
L' B D R' F' L2 B2
L' B D R' F' B2 L2
L' B D R' B2 L2 F'
L' B D R' B2 F' L2
F' B R2 U' R F' L'
F2 B R2 U' R F' L'
B F R2 U' R F' L'
F B R2 U' R F' L'
B F' R2 U' R F' L'
B F2 R2 U' R F' L'
