B L D R2 F' U' L
U L2 R' F' D' R2 B
F L2 B' U' R' B' U
U R' L2 F' D' R2 B
B' R' D' B' L2 F U
B' R' F B' U L2 B'
U R' F' L2 D' R2 B
D2 R' F2 U' B2 L F
B' R' B' U L2 D2 B2
B' R' B' U' F2 U2 L2
B' R' B' F U L2 B'
F2 U R B2 U L2 F
F2 U R' B2 U L2 F'
F2 U R' B2 U F' L2
F2 U B2 R' U L2 F'
F2 U B2 R' U F' L2
L D2 F2 U' L F B2
L D2 F2 U' L B2 F
L' D2 B2 D L' R2 F
L' D2 B2 D L' F R2
L' D2 B2 D R2 L' F
U2 F R B2 U L2 B'
B2 D R F2 L' U F
U2 F B2 R U L2 B'
B' D' R' B' L2 F U
D2 F2 R' U' B2 L F
B' D2 R' B' U B' L
B' F R' B' U L2 B'
D' B' L2 R' F U R'
D' B' L2 F R' U R'
D' B' R' L2 F U R'
F B' R' B' U L2 B'
F2 B' U R' B' U L2
B' F2 U R' B' U L2
U2 B2 F R U L2 B'
