U L' R' U2 F'
U R' L' U2 F'
U L' R B R2 U2
U L' R' U2 D F'
U L' R' U2 D' F'
U L' R' U2 D2 F'
U L' R' U2 F' D
U L' R' U2 F' D'
U L' R' U2 F' D2
U L' R' D U2 F'
U L' R' D' U2 F'
U L' R' D2 U2 F'
U' L' R' B' U2 B
U L' R' B U2 F'
U L' R' B' U2 F'
U L' R' B2 U2 F'
U L' D R' U2 F'
U L' D' R' U2 F'
U L' D2 R' U2 F'
U L' B2 U2 L F
L2 U L R' U2 F'
L U L2 R' U2 F'
L2 U R' L U2 F'
L U R' L2 U2 F'
U R L' B R2 U2
U R B L' R2 U2
U R B R2 L' U2
U' R' L' B' U2 B
U R' L' U2 D F'
U R' L' U2 D' F'
U R' L' U2 D2 F'
U R' L' U2 F' D
U R' L' U2 F' D'
U R' L' U2 F' D2
U R' L' D U2 F'
U R' L' D' U2 F'
U R' L' D2 U2 F'
U R' L' B U2 F'
U R' L' B' U2 F'
U R' L' B2 U2 F'
U R' U2 F2 R F
U R' D L' U2 F'
U R' D' L' U2 F'
U R' D2 L' U2 F'
U R' B L' U2 F'
U R' B' L' U2 F'
U R' B2 L' U2 F'
D2 U L' R' U2 F'
D' U L' R' U2 F'
U D L' R' U2 F'
D U L' R' U2 F'
F' U R' U2 F' R
D2 U R' L' U2 F'
D' U R' L' U2 F'
F2 U R' U2 F' R2
U D R' L' U2 F'
D U R' L' U2 F'
U D' L' R' U2 F'
U D' R' L' U2 F'
U D2 L' R' U2 F'
U D2 R' L' U2 F'
U D2 R' L' U2 F'
U' L R D2 R2 F L2
U' L R D2 F L2 R2
U' L R D2 F R2 L2
U' L R F D2 L2 R2
U' L R F D2 R2 L2
U L R B L2 R2 U2
U L R B R2 L2 U2
U L R' U2 D2 F' R2
U L R' U2 F' D2 R2
U L R' D2 U2 F' R2
U L R' B L2 U2 F'
U L R' B' L2 U2 F'
U L R' B2 L2 U2 F'
D' L U L2 R' U2 F'
D2 L U L2 R' U2 F'
F' L U R' U2 F' R
D L U L2 R' U2 F'
D' L U R' L2 U2 F'
D2 L U R' L2 U2 F'
F2 L U R' U2 F' R2
D L U R' L2 U2 F'
U' L U2 L2 R' B' U2
U' L U2 R' L2 B' U2
B L D F2 B U' L
B L D B F2 U' L
U' L D2 R2 F2 L' F'
U L D2 R' U2 F' R'
U L D2 R' U2 F' R'
U' L D2 F' R2 F2 L'
B L D2 B U' L R2
B L D2 B U' R2 L
U' L F R D2 L2 R2
U' L F R D2 R2 L2
U' L F U2 L2 R' U2
U' L F U2 R' L2 U2
U' L F B2 L B2 R'
B L B U L2 U2 L'
B L B U' D2 L R2
B L B U' D2 R2 L
B L B D F2 U' L
B L B D2 U' L R2
B L B D2 U' R2 L
L' R' U' L R U' F
R' L' U' L R U' F
R' L' U' R L U' F
L' R' U' R L U' F
B L B' U L2 R' U2
B L B' U R' L2 U2
U' L B2 F L B2 R'
U L' R D2 B U2 L2
U' L' R B' R2 F' U2
U2 L' R' U L U F
U L' R B R2 U2 D
U L' R B R2 U2 D'
U L' R B R2 U2 D2
U L' R B R2 D U2
U L' R B R2 D' U2
U L' R B R2 D2 U2
U L' R B U2 D2 L2
U L' R B D2 U2 L2
U L' R B' R2 B2 U2
U L' R B2 R2 B' U2
U' L' R' D B' U2 B
U' L' R' D' B' U2 B
U L' R' U' L U' F'
U L' R' U' L' U' F'
U L' R' U' L2 U' F'
U' L' R' D2 B' U2 B
U L' R' U2 L' F' L
U L' R' U2 L2 F' L2
U L' R' U2 D F' D
U L' R' U2 D F' D'
U L' R' U2 D F' D2
U L' R' U2 D' F' D
U L' R' U2 D' F' D'
U L' R' U2 D' F' D2
U L' R' U2 D2 F' D
U L' R' U2 D2 F' D'
U L' R' U2 D2 F' D2
U L' R' U2 F2 D F
U L' R' U2 F2 D' F
U L' R' U2 F2 D2 F
U' L' R' F B' U2 B
U L' R' D U2 F' D
U L' R' D U2 F' D'
U L' R' D U2 F' D2
U L' R' D B U2 F'
U L' R' D B' U2 F'
U' L' R' F' B' U2 B
U L' R' D B2 U2 F'
U L' R' D' U2 F' D
U L' R' D' U2 F' D'
U L' R' D' U2 F' D2
U L' R' D' B U2 F'
U' L' R' F2 B' U2 B
U L' R' D' B' U2 F'
U L' R' D' B2 U2 F'
U L' R' D2 U2 F' D
U L' R' D2 U2 F' D'
U L' R' D2 U2 F' D2
U L' R' D2 B U2 F'
U L' R' D2 B' U2 F'
U L' R' D2 B2 U2 F'
U' L' R' B' U2 D B
U' L' R' B' U2 D' B
U' L' R' B' U2 D2 B
U' L' R' B' U2 B D
U' L' R' B' U2 B D'
U' L' R' B' U2 B D2
U' L' R' B' D U2 B
U' L' R' B' D' U2 B
U' L' R' B' D2 U2 B
U' L' R' B' F U2 B
U' L' R' B' F' U2 B
U' L' R' B' F2 U2 B
U L' R' B U2 D F'
U L' R' B U2 D' F'
U L' R' B U2 D2 F'
U L' R' B U2 F' D
U L' R' B U2 F' D'
U L' R' B U2 F' D2
U L' R' B D U2 F'
U L' R' B D' U2 F'
U L' R' B D2 U2 F'
U L' R' B' U2 D F'
U L' R' B' U2 D' F'
U L' R' B' U2 D2 F'
U L' R' B' U2 F' D
U L' R' B' U2 F' D'
U L' R' B' U2 F' D2
U L' R' B' D U2 F'
U L' R' B' D' U2 F'
U L' R' B' D2 U2 F'
U L' R' B2 U2 D F'
U L' R' B2 U2 D' F'
U L' R' B2 U2 D2 F'
U L' R' B2 U2 F' D
U L' R' B2 U2 F' D'
U L' R' B2 U2 F' D2
U L' R' B2 D U2 F'
U L' R' B2 D' U2 F'
U L' R' B2 D2 U2 F'
U L' R2 B R U2 F'
U L' R2 B' R U2 F'
F' L' U R' U2 F' R
U L' R2 B2 R U2 F'
F2 L' U R' U2 F' R2
U' L' U2 R' B' U2 R
U L' U2 B2 L F B2
U L' U2 B2 L B2 F
U' L' D R' B' U2 B
U L' D R B R2 U2
U L' D R' U2 D F'
U L' D R' U2 D' F'
U L' D R' U2 D2 F'
U L' D R' U2 F' D
U L' D R' U2 F' D'
U L' D R' U2 F' D2
U L' D R' D U2 F'
U L' D R' D' U2 F'
U L' D R' D2 U2 F'
U L' D R' B U2 F'
U L' D R' B' U2 F'
U L' D R' B2 U2 F'
R' L' B U' L R U'
R' L' B U' R L U'
L' R' B U' L R U'
L' R' B U' R L U'
U' L' D' R' B' U2 B
U L' D B2 U2 L F
U L' D' R B R2 U2
U L' D' R' U2 D F'
U L' D' R' U2 D' F'
U L' D' R' U2 D2 F'
U L' D' R' U2 F' D
U L' D' R' U2 F' D'
U L' D' R' U2 F' D2
U L' D' R' D U2 F'
U L' D' R' D' U2 F'
U L' D' R' D2 U2 F'
U L' D' R' B U2 F'
U L' D' R' B' U2 F'
U L' D' R' B2 U2 F'
U' L' D2 R' B' U2 B
U L' D' B2 U2 L F
U L' D2 R B R2 U2
U L' D2 R' U2 D F'
U L' D2 R' U2 D' F'
U L' D2 R' U2 D2 F'
U L' D2 R' U2 F' D
U L' D2 R' U2 F' D'
U L' D2 R' U2 F' D2
U L' D2 R' D U2 F'
U L' D2 R' D' U2 F'
U L' D2 R' D2 U2 F'
U L' D2 R' B U2 F'
U L' D2 R' B' U2 F'
U L' D2 R' B2 U2 F'
U' L' F R' B' U2 B
U L' D2 B2 U2 L F
U' L' F' R' B' U2 B
U L' F' R' F U2 F2
U' L' F2 R' B' U2 B
U L' F2 R' F2 U2 F
U L' B R B U2 L
U L' B R' U2 F' L'
U' L' B' U2 B' L B2
U L' B' R B R' U2
U L' B2 R' U2 L F'
U L' B2 R' U2 F' L
U L' B2 U2 L D F
U L' B2 U2 L D' F
U L' B2 U2 L D2 F
U L' B2 U2 L F D
U L' B2 U2 L F D'
U L' B2 U2 L F D2
U L' B2 U2 D L F
U L' B2 U2 D' L F
U L' B2 U2 D2 L F
U L' B2 U2 F L F
U L' B2 U2 F' L F
U L' B2 U2 F2 L F
U L' B2 D U2 L F
U L' B2 D' U2 L F
U L' B2 D2 U2 L F
U L2 R' D L U2 F'
U L2 R' D' L U2 F'
U L2 R' D2 L U2 F'
U L2 R' B2 U2 F' R'
D2 L2 U L R' U2 F'
D' L2 U L R' U2 F'
D2 L2 U R' L U2 F'
D' L2 U R' L U2 F'
F' L2 U R' U2 F' R
D L2 U L R' U2 F'
F2 L2 U R' U2 F' R2
D L2 U R' L U2 F'
U' L2 U2 L R' B' U2
U' L2 U2 R' L B' U2
U L2 D L R' U2 F'
U L2 D R' L U2 F'
U L2 D' L R' U2 F'
L2 U L R B R2 U2
L2 U L R' U2 D F'
L2 U L R' U2 D' F'
L2 U L R' U2 D2 F'
L2 U L R' U2 F' D
L2 U L R' U2 F' D'
L2 U L R' U2 F' D2
L2 U L R' D U2 F'
L2 U L R' D' U2 F'
L2 U L R' D2 U2 F'
L2 U L R' B U2 F'
L2 U L R' B' U2 F'
L2 U L R' B2 U2 F'
U L2 D' R' L U2 F'
L2 U L D R' U2 F'
L2 U L D' R' U2 F'
L2 U L D2 R' U2 F'
U L2 D2 L R' U2 F'
L2 U L B2 U2 L F
U L2 D2 R' L U2 F'
L U L2 R B R2 U2
L U L2 R' U2 D F'
L U L2 R' U2 D' F'
L U L2 R' U2 D2 F'
L U L2 R' U2 F' D
L U L2 R' U2 F' D'
L U L2 R' U2 F' D2
L U L2 R' D U2 F'
L U L2 R' D' U2 F'
L U L2 R' D2 U2 F'
L U L2 R' B U2 F'
L U L2 R' B' U2 F'
L U L2 R' B2 U2 F'
L U L2 D R' U2 F'
L U L2 D' R' U2 F'
L U L2 D2 R' U2 F'
L2 U R L B R2 U2
L U L2 B2 U2 L F
L U R L2 B R2 U2
L2 U R' L U2 D F'
L2 U R' L U2 D' F'
L2 U R' L U2 D2 F'
L2 U R' L U2 F' D
L2 U R' L U2 F' D'
L2 U R' L U2 F' D2
L2 U R' L D U2 F'
L2 U R' L D' U2 F'
L2 U R' L D2 U2 F'
L U R B L2 R2 U2
L U R B R2 L2 U2
L2 U R' L B U2 F'
L2 U R' L B' U2 F'
L2 U R' L B2 U2 F'
L U R' L2 U2 D F'
L U R' L2 U2 D' F'
L U R' L2 U2 D2 F'
L U R' L2 U2 F' D
L U R' L2 U2 F' D'
L U R' L2 U2 F' D2
L2 U R' D L U2 F'
L U R' L2 D U2 F'
L U R' L2 D' U2 F'
L U R' L2 D2 U2 F'
L U R' L2 B U2 F'
L U R' L2 B' U2 F'
L U R' L2 B2 U2 F'
L2 U R' D' L U2 F'
L2 U R' D2 L U2 F'
L U R' U2 D2 F' R2
L U R' U2 F' D2 R2
L U R' D2 U2 F' R2
L2 U R' B2 U2 F' R'
L U R' B L2 U2 F'
L U R' B' L2 U2 F'
L U R' B2 L2 U2 F'
L2 U D L R' U2 F'
L2 U D R' L U2 F'
L2 U D' L R' U2 F'
L2 U D' R' L U2 F'
U L2 B2 U2 L R' F
U L2 B2 U2 L F R'
U L2 B2 U2 R' L F
U' R L D2 R2 F L2
U' R L D2 F L2 R2
U' R L D2 F R2 L2
L2 U D2 L R' U2 F'
U' R L F D2 L2 R2
U' R L F D2 R2 L2
L2 U D2 R' L U2 F'
L U D2 R' U2 F' R'
U R L B L2 R2 U2
U R L B R2 L2 U2
U' R L' B' R2 F' U2
U R L' D2 B U2 L2
U R L' B R2 U2 D
U R L' B R2 U2 D'
U R L' B R2 U2 D2
U R L' B R2 D U2
U R L' B R2 D' U2
U R L' B R2 D2 U2
U R L' B U2 D2 L2
U R L' B D2 U2 L2
U R L' B' R2 B2 U2
U R L' B2 R2 B' U2
L2 U B2 U2 L R' F
L2 U B2 U2 L F R'
L2 U B2 U2 R' L F
U R D2 L' B U2 L'
U R D2 B L' U2 L'
U R B L' R2 U2 D
U R B L' R2 U2 D'
U R B L' R2 U2 D2
U R B L' R2 D U2
U R B L' R2 D' U2
U R B L' R2 D2 U2
U R B L' U2 D2 L2
U R B L' D2 U2 L2
U R B R2 L' U2 D
U R B R2 L' U2 D'
U R B R2 L' U2 D2
U R B R2 L' D U2
U R B R2 L' D' U2
U R B R2 L' D2 U2
U R B R2 D L' U2
U R B R2 D' L' U2
U R B R2 D2 L' U2
U R B D2 L' U2 L'
U R B' L' R2 B2 U2
U R B' L' B2 R2 U2
U R B' R2 L' B2 U2
U R B' R2 B2 L' U2
U R B2 R2 B' L' U2
U R' L U2 D2 F' R2
U R' L U2 F' D2 R2
U' R' L' D B' U2 B
U2 R' L' U L U F
U' R' L' D' B' U2 B
U R' L D2 U2 F' R2
U' R' L' D2 B' U2 B
U' R' L' F B' U2 B
U' R' L' F' B' U2 B
U' R' L' F2 B' U2 B
U R' L B L2 U2 F'
U R' L B' L2 U2 F'
U' R' L' B' U2 D B
U' R' L' B' U2 D' B
U' R' L' B' U2 D2 B
U' R' L' B' U2 B D
U' R' L' B' U2 B D'
U' R' L' B' U2 B D2
U' R' L' B' D U2 B
U' R' L' B' D' U2 B
U' R' L' B' D2 U2 B
U' R' L' B' F U2 B
U' R' L' B' F' U2 B
U' R' L' B' F2 U2 B
U R' L B2 L2 U2 F'
U R' L' U' L U' F'
U R' L' U' L' U' F'
U R' L' U' L2 U' F'
U R' L' U2 L' F' L
U R' L' U2 L2 F' L2
U R' L' U2 D F' D
U R' L' U2 D F' D'
U R' L' U2 D F' D2
U R' L' U2 D' F' D
U R' L' U2 D' F' D'
U R' L' U2 D' F' D2
U R' L' U2 D2 F' D
U R' L' U2 D2 F' D'
U R' L' U2 D2 F' D2
U R' L' U2 F2 D F
U R' L' U2 F2 D' F
U R' L' U2 F2 D2 F
U R' L' D U2 F' D
U R' L' D U2 F' D'
U R' L' D U2 F' D2
U R' L' D B U2 F'
U R' L' D B' U2 F'
U R' L' D B2 U2 F'
U R' L' D' U2 F' D
U R' L' D' U2 F' D'
U R' L' D' U2 F' D2
U R' L' D' B U2 F'
U R' L' D' B' U2 F'
U R' L' D' B2 U2 F'
U R' L' D2 U2 F' D
U R' L' D2 U2 F' D'
U R' L' D2 U2 F' D2
U R' L' D2 B U2 F'
U R' L' D2 B' U2 F'
U R' L' D2 B2 U2 F'
U R' L' B U2 D F'
U R' L' B U2 D' F'
U R' L' B U2 D2 F'
U R' L' B U2 F' D
U R' L' B U2 F' D'
U R' L' B U2 F' D2
U R' L' B D U2 F'
U R' L' B D' U2 F'
U R' L' B D2 U2 F'
U R' L' B' U2 D F'
U R' L' B' U2 D' F'
U R' L' B' U2 D2 F'
U R' L' B' U2 F' D
U R' L' B' U2 F' D'
U R' L' B' U2 F' D2
U R' L' B' D U2 F'
U R' L' B' D' U2 F'
U R' L' B' D2 U2 F'
U R' L' B2 U2 D F'
U R' L' B2 U2 D' F'
U R' L' B2 U2 D2 F'
U R' L' B2 U2 F' D
U R' L' B2 U2 F' D'
U R' L' B2 U2 F' D2
U R' L' B2 D U2 F'
U R' L' B2 D' U2 F'
U R' L' B2 D2 U2 F'
U R' L2 D L U2 F'
U R' L2 D' L U2 F'
U R' L2 D2 L U2 F'
U R' L2 B2 U2 F' R'
U' R' U2 L' U2 L F
U R' U' F2 U' R F
U' R' D L' B' U2 B
U R' U2 R' F2 R F'
U R' U2 D F2 R F
U R' U2 D' F2 R F
U R' U2 D2 F2 R F
U R' U2 F2 R D F
U R' U2 F2 R D' F
U R' U2 F2 R D2 F
U R' U2 F2 R F D
U R' U2 F2 R F D'
U R' U2 F2 R F D2
U R' U2 F2 R' F R2
U R' U2 F2 R2 F R'
U R' U2 F2 D R F
U R' U2 F2 D' R F
U R' U2 F2 D2 R F
L2 U' B2 L R' F B2
L2 U' B2 L R' B2 F
L2 U' B2 L F R' B2
U R' D L' U2 D F'
U R' D L' U2 D' F'
U R' D L' U2 D2 F'
U R' D L' U2 F' D
U R' D L' U2 F' D'
U R' D L' U2 F' D2
U R' D L' D U2 F'
U R' D L' D' U2 F'
U R' D L' D2 U2 F'
U R' D L' B U2 F'
U R' D L' B' U2 F'
U R' D L' B2 U2 F'
L2 U' B2 R' L F B2
L2 U' B2 R' L B2 F
U' R' D' L' B' U2 B
L U' B2 L F B2 R'
L U' B2 L B2 R' F
L U' B2 L B2 F R'
U R' D U2 F2 R F
U R' D B L' U2 F'
U R' D B' L' U2 F'
U R' D B2 L' U2 F'
U R' D' L' U2 D F'
U R' D' L' U2 D' F'
