F2 L B' U B U
D2 R U F' B2 L
D2 R U B2 L F'
D2 R U B2 F' L
R' U' F2 U2 L' F
L F2 B' U B U
L B' F2 U B U
D2 L R U F' B2 L
D2 L R U B2 L F'
D2 L R U B2 F' L
L' R U D2 F B2 L
L' R U D2 B2 F L
R2 L U D2 L2 F B2
R2 L U D2 L2 B2 F
L' R U' R' F2 U2 F'
R' L U' R F2 B' U2
R' L U' R B' F2 U2
L R U' R' F2 B' U2
L R U' R' B' F2 U2
R2 L U' R2 F2 B' U2
R2 L U' R2 B' F2 U2
R L U' R' F2 B' U2
R L U' R' B' F2 U2
R' L U' F2 B' U2 L'
R2 L U' F2 R2 B' U2
R' L U' B' R F2 U2
L R U' F2 R' B' U2
R2 L U' F2 B' R2 U2
R' L U' B' F2 U2 L'
R2 L U' B' R2 F2 U2
R2 L U' B' F2 R2 U2
R L U' F2 R' B' U2
U2 L U F2 R B' U2
U' L U F2 B' U2 R
U2 L U F2 B' R U2
U' L U B' L' F2 U2
U' L U B' F2 U2 R
U2 L U B' F2 R U2
R2 L D' L2 F2 U F'
R2 L D' F2 L2 U F
L' R D2 U F B2 L
L' R D2 U B2 F L
R2 L D2 U L2 F B2
R2 L D2 U L2 B2 F
F2 L D B' U B U
F2 L D' B' U B U
F2 L D2 B' U B U
F' L F' B' U B U
B2 L F2 D L2 U2 F
B2 L F2 D B' L2 U2
B2 L F2 D' B' U2 R2
B' L F2 B' U B2 U
B' L F2 B' U2 D' R2
B' L F2 B' D L2 U2
B2 L F2 B' U B' U
B' L F2 B' D' U2 R2
F2 L B' L U B U
R2 L' U D2 F L2 B2
R2 L' U D2 F B2 L2
F2 L B' L' U B U
R2 L' U D2 B2 F L2
R L' U D2 F B2 L
R2 L' U F D2 L2 B'
F2 L B' L2 U B U
R L' U D2 B2 F L
F2 L B' U D B U
F2 L B' U D' B U
F2 L B' U D2 B U
F2 L B' U B U D
F2 L B' U B U D'
F2 L B' U B U D2
F2 L B' U B D U
F2 L B' U B D' U
F2 L B' U B D2 U
R' L' U' R F2 U2 F'
L' R' U' R F2 U2 F'
F2 L B' D U B U
F2 L B' D' U B U
L R' U' R F2 B' U2
L R' U' R B' F2 U2
F2 L B' D2 U B U
F' L B' F' U B U
R2 L' U' R2 F2 U2 F'
R L' U' R' F2 U2 F'
B' L B' F2 U B2 U
B' L B' F2 U2 D' R2
B' L B' F2 D L2 U2
B' L B' F2 D' U2 R2
R' L' U' F2 U2 L' F'
L' R' U' F2 U2 L' F'
B2 L B' F2 U B' U
R2 L' U' F2 R2 B U2
L R' U' F2 B' U2 L'
L R' U' B' R F2 U2
L R' U' B' F2 U2 L'
F2 L B2 U2 D' R2 F'
F2 L B2 D L2 B U2
F2 L B2 D B L2 U2
F2 L B2 D' U2 R2 F'
F2 L B2 D' B U2 R2
D2 L' R U F' B2 L
D2 L' R U B2 L F'
D2 L' R U B2 F' L
R2 L' D' F2 L2 U F'
F2 L' U R U R' F
F2 L' U R U F R'
F2 L' U R' U R F
F2 L' U R2 U R2 F
F2 L' U R2 U F R2
R2 L' D2 U F L2 B2
R2 L' D2 U F B2 L2
R2 L' D2 U B2 F L2
R L' D2 U F B2 L
R L' D2 U B2 F L
U' L' U F2 L U2 F'
U2 L' U F2 U2 L F'
U2 L' U F2 U2 F' L
U' L' U' D2 F B2 R'
U' L' U' D2 B2 R' F
U' L' U' D2 B2 F R'
U2 L' U' D2 F L B2
U2 L' U' F L2 B' L'
F2 L' U2 F U F' U'
F2 L' U2 F2 D F' R2
U2 L' D R2 U' F L
U' L' D2 U' F B2 R'
U' L' D2 U' B2 R' F
U' L' D2 U' B2 F R'
U2 L' D2 U' F L B2
L' R2 U D2 F L2 B2
L' R2 U D2 F B2 L2
L' R2 U D2 B2 F L2
L' R2 U F D2 L2 B'
F' L' F' U2 F2 D R2
L R2 U D2 L2 F B2
L R2 U D2 L2 B2 F
L' R2 U' R2 F2 U2 F'
B' L' F2 U B U F'
L' R2 U' F2 R2 B U2
L R2 U' R2 F2 B' U2
L R2 U' R2 B' F2 U2
B2 L' F2 U B2 U F'
B2 L' F2 U2 D' F' R2
