R D' F' D' L2 B2
R D' F' D' B2 L2
R D2 F' B2 D' L2
R D2 B2 F' D' L2
F2 L' R' D B R' U2
F2 L' R2 U' B L U'
F2 L' U R U F' L'
F2 L' U D' F' R U
F2 L' U F' R U F'
F2 L' D' U F' R U
F L2 R U F' R B'
F L2 R U F' B' R
F L2 R U B' F' R
F L2 U R F' R B'
F L2 U R F' B' R
F L2 U R B' F' R
F L2 U F' R F' B'
F L2 U F' R B' F'
F L2 U F' B' R F'
F L2 U B' R F' R
F L2 U B' F' R F'
D L2 B' L R2 U' R'
D L2 B' R2 L U' R'
F R L2 U F' R B'
F R L2 U F' B' R
F R L2 U B' F' R
F R U F' R D2 B2
F R U F' D2 R B2
F R U F' D2 B2 R
F R U' F L' U2 F2
F R U' F U2 F2 R
B' R D' F' D' L2 B2
B' R D' F' D' B2 L2
U' R D' F' D' L2 B2
U' R D' F' D' B2 L2
B2 R D' F' D' L2 B2
B2 R D' F' D' B2 L2
U2 R D' F' D' L2 B2
U2 R D' F' D' B2 L2
B R D' F' D' L2 B2
B R D' F' D' B2 L2
U R D' F' D' L2 B2
U R D' F' D' B2 L2
B' R D2 F' B2 D' L2
U' R D2 F' B2 D' L2
B2 R D2 F' B2 D' L2
B' R D2 B2 F' D' L2
U2 R D2 F' B2 D' L2
U' R D2 B2 F' D' L2
B2 R D2 B2 F' D' L2
B R D2 F' B2 D' L2
U2 R D2 B2 F' D' L2
B R D2 B2 F' D' L2
U R D2 F' B2 D' L2
U R D2 B2 F' D' L2
L' U' R D2 F' L' B2
L' U' R D2 F' B2 L'
L' U' R D2 B2 F' L'
R U' D' F L2 U F2
F2 R' L' D B R' U2
R U' D2 F U F2 B2
R U' D2 F U B2 F2
R U' F L2 U F2 B'
R U' F L2 U B' F2
R U' F U' F U2 F
F R' U' F L' B U2
F R' U' F B L' U2
F R' U' B F L' U2
F2 R' D L' B R' U2
F2 R' D B L' R' U2
F2 R' D B R' L' U2
F2 R2 L' U' B L U'
R U2 F2 U F' U F2
R U2 F2 U2 F D' L2
R D F' D B2 D2 L2
R D F' D' L2 D2 B2
F U R F' R D2 B2
F U R F' D2 R B2
F U R F' D2 B2 R
L2 D B' L R2 U' R'
L2 D B' R2 L U' R'
F2 U F' R U F' R
F2 U F' U R F' R
F2 U F' U F' R F'
F U F' R D2 F' B2
F U F' R D2 B2 F'
R2 D' R' F' D' L2 B2
R2 D' R' F' D' B2 L2
R D' U' F L2 U F2
R D' F' U' L2 F2 U
R D' F' U' F2 L2 U
R D' F' D' L' B2 L'
R D' F' D' L2 B2 D
R D' F' D' L2 B2 D'
R D' F' D' L2 B2 D2
R D' F' D' B L2 B
R D' F' D' B2 L2 D
R D' F' D' B2 L2 D'
R D' F' D' B2 L2 D2
R D' F' B D' L2 B2
R D' F' B D' B2 L2
R D' F' B' D' L2 B2
R D' F' B' D' B2 L2
R D' F' B2 D' L2 B2
R D' F' B2 D' B2 L2
R D' B F' D' L2 B2
R D' B F' D' B2 L2
R D' B' F' D' L2 B2
R D' B' F' D' B2 L2
R D' B2 F' D' L2 B2
R D' B2 F' D' B2 L2
F U' F U2 F2 R F'
F U' F D2 L' U2 F
R2 D2 R' F' B2 D' L2
R2 D2 R' B2 F' D' L2
R D2 U' F U F2 B2
R D2 U' F U B2 F2
R D2 F' L B2 D' L2
R D2 F' L' B2 D' L2
R D2 F' L2 B2 D' L2
R D2 F' U' F2 U B2
R D2 F' D' L2 D B2
R D2 F' B D' L2 B
R D2 F' B D' B L2
R D2 F' B' D' B' L2
R D2 F' B2 L D' L2
R D2 F' B2 L' D' L2
