U L B2 R' U' F' R
B' L2 R' F U' L' U2
B' L2 D R' F B U
B' L2 D R' B F U
F L2 U2 B2 U' R' F'
B' L2 D F R' B U
B' L2 F R' U' L' U2
B' L2 F' R' F2 U R2
L2 U R' F' R D L2
L2 U R' F' D L2 R
L2 U R' F' D R L2
L U B2 R' U' F' R
B' R' L2 F U' L' U2
B' R' F2 L2 F U R
L2 U2 F' L' B2 U' R
L2 U2 F' B2 L' U' R
L2 U2 B2 U' R' F' R
L2 U2 B2 F' L' U' R
L2 D B' R' B U L2
B2 U' F' D' R F' B2
B2 U' F' D' R B2 F'
B2 U' F' D' B2 R F'
D2 F' R2 B L U' R'
B D2 L B R2 U' R
B' F' L2 R' F U R2
F' B' L2 R' F U R2
F2 B' L2 R' F U R
F2 B' L2 F R' U R2
B' F' R' L2 F U R2
F' B' R' L2 F U R2
F2 B' R' L2 F U R
B2 F' U' D' R F' B2
B2 F' U' D' R B2 F'
B2 F' U' D' B2 R F'
B2 F' D' U' R F' B2
B2 F' D' U' R B2 F'
B2 F' D' U' B2 R F'
B' F2 L2 R' F U R
B' F2 L2 F R' U R2
B' F2 R' L2 F U R
F' B2 U' D' R F' B2
F' B2 U' D' R B2 F'
F' B2 U' D' B2 R F'
F' B2 D' U' R F' B2
F' B2 D' U' R B2 F'
F' B2 D' U' B2 R F'
