R F2 L' B' U' R
F2 L R2 F L2 U R'
F L R2 F L' U R
R2 L D' F B2 L U
R2 L D' B2 F L U
R2 L F D' B2 L U
F L F L' R2 U R'
F L F R2 L' U R'
L' R B' U2 R U R'
R2 L' U2 R' B' U' R
D2 L' U' R B' L' U'
D' L' U' R B' U' F2
D2 L' U' B' L' R U'
D2 L' U' B' R L' U'
D' L' U' B' R U' F2
R L' B' U2 R U R'
L' R2 U2 R' B' U' R
F2 L' B2 R2 F' U R'
D L' B2 U' B R U'
L R2 D' F B2 L U
L R2 D' B2 F L U
L R2 F D' B2 L U
L' U R2 U2 R' B' U'
D' R U' F' L' F' R
D' R F' U' F' L' R
D' R F' U' F' R L'
B' R F2 L' B' U' R
B2 R F2 L' B' U' R
L' U' R B' U2 R U
U2 R F2 L' B U' R
B R F2 L' B' U' R
U2 R F2 B L' U' R
U2 R B F2 L' U' R
L' U' D' R B' U' F2
L' U' D' B' R U' F2
L' U' D2 R B' L2 U'
L' U' D2 B' L2 R U'
L' U' D2 B' R L2 U'
L' U' B' R U2 R U
L' U' B' D' R U' F2
L' U' B' D2 L2 R U'
L' U' B' D2 R L2 U'
F2 R2 L F L2 U R'
F R2 L F L' U R
R D F2 L' B' U' R
L' D B2 U' B R U'
L' D' U' R B' U' F2
L' D' U' B' R U' F2
U2 D' R B U' F2 R
R D' F2 L' B' U' R
L D2 L2 R B' U' R
L D2 L2 B' R U' R
L D2 R L2 B' U' R
D' U2 R B U' F2 R
L' D2 U' R B' L2 U'
L' D2 U' B' L2 R U'
L' D2 U' B' R L2 U'
R D2 F2 L' B' U' R
R2 F B2 L F U R
D' F' U' F' L' R B
D' F' U' F' R L' B
D' F' U' F' R B L'
R F' U' R' F' L' R
R F' U' R' F' R L'
R F2 L' D B' U' R
R F2 L' D' B' U' R
R F2 L' D2 B' U' R
R F2 L' B' U' R D
R F2 L' B' U' R D'
R F2 L' B' U' R D2
R F2 L' B' U' D R
R F2 L' B' U' D' R
R F2 L' B' U' D2 R
R F2 L' B' D U' R
R F2 L' B' D' U' R
R F2 L' B' D2 U' R
R F2 D L' B' U' R
R F2 D' L' B' U' R
R F2 D2 L' B' U' R
R2 F2 B U R B L
R F2 B L' B' U' R
R F2 B' L' B' U' R
R F2 B2 L' B' U' R
R2 B F2 U R B L
R B F2 L' B' U' R
L' B' R U2 R U R'
R2 B2 L D' F B2 U
R2 B2 L D' B2 F U
R2 B2 L D2 F U R2
R2 B2 L F U D2 R2
R2 B2 L F U' L2 U2
R2 B2 L F D' B2 U
R2 B2 L F D2 U R2
R B' F2 L' B' U' R
D B2 L' U' R B' U'
D B2 L' U' B' R U'
R2 B2 F L F U R
R B2 F2 L' B' U' R
