L D R2 F' R B
D L R' D' B R' F'
D' L R2 D F' R B'
D' L R2 D F' B' R
D' L R2 D B' F' R
D L R2 D F' R B
D' L R2 B' D F' R
R' L D R' F' B R
R' L D R' B F' R
R2 L D F' R' B R2
D' L D R2 F' R B'
D' L D R2 F' B' R
D' L D R2 B' F' R
U' L D R2 F' R B
U2 L D R2 F' R B
U L D R2 F' R B
D2 L D' R' B R' F'
L R' D R' F' B R
L R' D R' B F' R
F L' R2 U' F' L2 B'
F L' U L2 D2 R2 F'
F L' U B U2 B' L2
L R2 D F' R' B R2
D R' L D' B R' F'
F R' U2 L' U L2 F
D' R2 L D F' R B'
D' R2 L D F' B' R
D' R2 L D B' F' R
D' R2 L B' D F' R
D R2 L D F' R B
F R2 L' U' F' L2 B'
F R2 U' L D' F' B2
F R2 U' L D' B2 F'
F R2 U' L F' D' B2
F R2 U' F' D' L B'
F R2 U2 L' U L2 F'
F R2 U2 L' U F' L2
D' R2 F U' L F2 B'
D' R2 F U' L B' F2
D' R2 F U' F2 L B'
D' R2 F' L D R2 B'
D' R2 F' L D B' R2
D' R2 F' L B' D R2
D2 R2 F' D L R2 B'
D2 R2 F' D L B' R2
D2 R2 F' D R2 L B'
F' R2 F2 R' U' F L
L D R' D2 B R' F'
L D R' B R' F' R
L D R2 F' R D B
L D R2 F' R D' B
L D R2 F' R D2 B
L D R2 F' R B D
L D R2 F' R B D'
L D R2 F' R B D2
L D R2 F' D R B
L D R2 F' D' R B
L D R2 F' D2 R B
L D R2 F' B R B
L D R2 F' B' R B
L D R2 F' B2 R B
L D R2 B F' R B
L D R2 B' F' R B
L D R2 B2 F' R B
R2 D' L D F' R B'
R2 D' L D F' B' R
R2 D' L D B' F' R
R2 D' L B' D F' R
R2 D' F U' L F2 B'
R2 D' F U' L B' F2
R2 D' F U' F2 L B'
R D' F L' U' L2 B'
R2 D' F' L D R2 B'
R2 D' F' L D B' R2
R2 D' F' L B' D R2
F U2 L' R2 U L2 F'
F U2 L' R2 U F' L2
F U2 L' U' B U2 L2
R2 D2 F' D L R2 B'
R2 D2 F' D L B' R2
R2 D2 F' D R2 L B'
F U2 R2 L' U L2 F'
F U2 R2 L' U F' L2
D' F R2 U' L F' B'
D' F R2 U' L B' F'
D' F R2 U' F' L B'
D' F U' L B' D2 F2
R' F U2 L' U L2 F
R2 F U' L F2 D' B2
R2 F U2 L' U L2 F2
R2 F U2 L' U F2 L2
F' D R U' L R F'
F' D R U' R L F'
F' D R U' R F' L
D' F' L D R2 F' B'
D' F' L D R2 B' F'
R2 F' L R' D R2 B2
R2 F' L R' D B2 R2
R2 F' L U R F2 U'
R2 F' R F2 U' L F2
R2 F' R F2 U' F2 L
R2 F' R' L D R2 B2
R2 F' R' L D B2 R2
R2 F' R' D L R2 B2
R2 F' R' D L B2 R2
R2 F' R' D R2 L B2
R F' R F2 U' F L
R2 F' U R F2 U' L
D2 F' D L R2 F' B'
D2 F' D L R2 B' F'
D2 F' D R2 L F' B'
D2 F' D R2 L B' F'
D2 F' D R2 F' L B'
