F' R2 B' U R' B
F' L R2 B' U R' B
B L U F' L' R2 U
B L U F' R2 L' U
F' L' R2 B' U R' B
F' L2 R2 B' U R' B
F' R B' R U R2 B2
F' R B' R U B2 R2
F' R2 L B' U R' B
F' R2 L' B' U R' B
F' R2 L2 B' U R' B
B2 R2 U2 B U' R' B
F' R2 D B' L U R'
F2 R2 F B' U R' B
F' R2 B U B2 R' B
F R2 F2 B' U R' B
F' R2 B' L U R' B
F' R2 B' L' U R' B
F' R2 B' L2 U R' B
F' R2 B' U R' D B
F' R2 B' U R' D' B
F' R2 B' U R' D2 B
F' R2 B' U R' B D
F' R2 B' U R' B D'
F' R2 B' U R' B D2
F2 R2 B' F U R' B
F' R2 B2 U R' B R'
F' R2 B2 U B R' B
F R2 B' F2 U R' B
B' U F' L' R2 U R
B' U F' R2 L' U R
B' U' F' R2 U R B
U F' L' R B R U
U F' R L' B R U
U F' R B L' R U
U F' R B R L' U
L' F' R2 B' U R' B
L2 F' R2 B' U R' B
L F' R2 B' U R' B
F D' R B L2 F2 R
F D' R' F2 L2 B' R'
F D' B L2 F2 R B
F D' B' R' F2 L2 B'
F' B R2 U B2 R' B
F' B R2 B2 U R' B
B' F D' R' F2 L2 B'
B F D' L2 F2 R B
F B D' L2 F2 R B
R2 B' U R' D L2 B
R2 B' U R' D B L2
B' F' R2 U R' B R2
F' B' R2 U R' B R2
B2 F' R2 U R' B R'
B2 F' R2 U B R' B
B2 F' R2 B U R' B
B F' R2 U B2 R' B
B F' R2 B2 U R' B
F B' D' R' F2 L2 B'
F' B2 R2 U R' B R'
F' B2 R2 U B R' B
F' B2 R2 B U R' B
