B' U' R F2 U2 F
R F2 U B' U F
L2 R U2 F' D R2 B
B' L U' R F2 U2 F
L2 R F2 U' F' U' F2
L2 R F2 U2 F D R2
B' L' U' R F2 U2 F
R L2 U2 F' D R2 B
B' L2 U' R F2 U2 F
R L2 F2 U' F' U' F2
R L2 F2 U2 F D R2
L U R F2 U2 F R
R U D' B' L2 U F'
R U D2 B' U F' B'
R U D2 B' U B' F'
F2 R U B' U L' F'
F2 R U2 L' D F' R
B R U2 F' D' R2 B
R U B' U D2 F' B2
R U B' U D2 B2 F'
R U B' U' F2 U2 F
R U B' D' L2 U F'
R U B' D2 U F' B2
R U B' D2 U B2 F'
U' R F2 U B' U F
U2 R F2 U B' U F
B R F2 U B2 U F
B R F2 U2 D' R2 F
B R F2 U2 D' F R2
B R F2 U2 F D' R2
B R F2 D L2 B' U2
B R F2 D' U2 R2 F
B R F2 D' U2 F R2
U R F2 U B' U F
B' R' U D2 B2 L2 F
B' R' U' R2 F2 U2 F
B' R' U' F2 R2 U2 F'
B' R' U' F2 B R2 U2
B' R' U' B R2 F2 U2
B' R' U' B F2 R2 U2
B' R' D2 U B2 L2 F
F2 R' B U B2 U L'
F2 R' B U2 L' D' R2
F2 R' B U2 D' L' R2
F2 R' B U2 D' R2 L'
F2 R' B D L2 U2 L
F2 R' B D' U2 L' R2
F2 R' B D' U2 R2 L'
R U2 F' R2 B D' R2
R U2 F' B D' R2 B
R U2 B F' D' R2 B
B' U R F2 U2 R' F
B' U R F2 U2 F R'
F2 U R B' U L' F'
B' U D2 F2 L' F B2
B' U D2 F2 L' B2 F
B' U D2 F2 B2 L' F
B' U D2 B2 F2 L' F
F2 U D2 B' U L' F
F2 U B' R U L' F'
F2 U B' U D2 L' F
F2 U B' D2 U L' F
R D' U B' L2 U F'
B' U' R U2 D2 F' B2
B' U' R U2 D2 B2 F'
B' U' R D2 U2 F' B2
B' U' R D2 U2 B2 F'
B' U' R F2 U2 D F
B' U' R F2 U2 D' F
B' U' R F2 U2 D2 F
B' U' R F2 U2 F D
B' U' R F2 U2 F D'
B' U' R F2 U2 F D2
B' U' R F2 D U2 F
B' U' R F2 D' U2 F
B' U' R F2 D2 U2 F
B' U' R F2 B U2 F
B' U' R F2 B' U2 F
B' U' R F2 B2 U2 F
B' U' R B F2 U2 F
B' U' R B' F2 U2 F
B' U' R B2 F2 U2 F
B' U' R' F2 R2 U2 F'
B' U' R' F2 B R2 U2
B' U' R' B R2 F2 U2
B' U' R' B F2 R2 U2
B' U' R2 F2 R' U2 F'
B' U' F2 R U2 L' F'
B' U' F2 R' B U2 L'
B' U' F2 U2 D2 L' F
B' U' F2 D2 U2 L' F
B' U' B R F2 U2 F
B' U' B' R F2 U2 F
B' U' B2 R F2 U2 F
R D2 U B' U F' B'
R D2 U B' U B' F'
F2 U2 L' R D F' R
F2 U2 R L' D F' R
R' D2 B' U B' L2 F
B' D' F2 L2 U L F
R' F2 R2 U B' U F'
R F2 L2 B' U' F U'
R2 F2 R' U B' U F'
R F2 U R B' U F
R F2 U R' B' U F
R F2 U R2 B' U F
R F2 U D B' U F
R F2 U D' B' U F
R F2 U D2 B' U F
R F2 U B' R U F
R F2 U B' R' U F
R F2 U B' R2 U F
R F2 U B' U D F
R F2 U B' U D' F
R F2 U B' U D2 F
R F2 U B' U F D
R F2 U B' U F D'
R F2 U B' U F D2
R F2 U B' D U F
R F2 U B' D' U F
R F2 U B' D2 U F
R F2 U2 F U' B' U
R F2 D U B' U F
R' F2 B R2 U B2 U
R' F2 B R2 U2 D' R2
R' F2 B R2 D L2 U2
R' F2 B R2 D' U2 R2
R F2 D' U B' U F
D' F2 B' L2 U L F
D2 F2 B' U B' L' F
R F2 D2 U B' U F
B' D2 U F2 L' F B2
B' D2 U F2 L' B2 F
B' D2 U F2 B2 L' F
B' D2 U B2 F2 L' F
F2 D2 U B' U L' F
R F2 B U B2 U F
R F2 B U2 D' R2 F
R F2 B U2 D' F R2
R F2 B U2 F D' R2
R F2 B D L2 B' U2
R F2 B D' U2 R2 F
R F2 B D' U2 F R2
R F2 B2 U B U F
B' D2 F2 U L' F B2
B' D2 F2 U L' B2 F
B' D2 F2 U B2 L' F
B D2 F2 U' L' F B2
B D2 F2 U' L' B2 F
B D2 F2 U' B2 L' F
R' B R2 F2 U B2 U
R' B R2 F2 U2 D' R2
R' B R2 F2 D L2 U2
R' B R2 F2 D' U2 R2
R B U2 F' D' R2 B
R' B F2 R2 U B2 U
R' B F2 R2 U2 D' R2
R' B F2 R2 D L2 U2
R' B F2 R2 D' U2 R2
R B F2 U B2 U F
R B F2 U2 D' R2 F
R B F2 U2 D' F R2
R B F2 U2 F D' R2
R B F2 D L2 B' U2
R B F2 D' U2 R2 F
R B F2 D' U2 F R2
R' B' U D2 L2 F2 B2
R' B' U D2 L2 B2 F2
R' B' U D2 F2 L2 B2
R' B' U D2 F2 B2 L2
R' B' U D2 B2 L2 F2
R' B' U D2 B2 F2 L2
D2 B' U F2 B' L' F
D2 B' U B' F2 L' F
U' B' U' R F2 U2 F
R' B' U' R2 F2 B2 U2
R' B' U' R2 B2 F2 U2
R' B' U' F2 R2 B2 U2
R' B' U' F2 B2 R2 U2
R' B' U' B2 R2 F2 U2
R' B' U' B2 F2 R2 U2
U2 B' U' R F2 U2 F
U B' U' R F2 U2 F
R' B' D' L2 R2 F2 U
R' B' D' L2 F2 R2 U
R' B' D' R2 L2 F2 U
R' B' D' R2 F2 L2 U
R' B' D' F2 L2 R2 U
R' B' D' F2 R2 L2 U
R' B' D2 U L2 F2 B2
R' B' D2 U L2 B2 F2
R' B' D2 U F2 L2 B2
R' B' D2 U F2 B2 L2
R' B' D2 U B2 L2 F2
R' B' D2 U B2 F2 L2
D' B' F2 L2 U L F
D2 B' F2 U B' L' F
R B2 F2 U B U F
