D2 R' F L2 B U
D2 R' F B L2 U
D2 R' B F L2 U
F R' B2 L B' U
D2 F L2 R' B U
D2 F R' L2 B U
D2 F R' B L2 U
R' F B2 L B' U
F D2 L2 R' B U
F D2 R' L2 B U
F D2 R' B L2 U
R' B2 F L B' U
F L R' B2 L B U
F L D R' B' U B'
F L D2 R' B' L2 U
L2 R' U2 R' F' B' U'
L2 R' U2 R' B' F' U'
F L' R' U2 R' F U'
F L' R' U2 F R' U'
R2 L' F2 L' F' B' U'
R2 L' F2 L' B' F' U'
F L' D2 L2 R' B' U
F L' D2 R' L2 B' U
R' L2 U2 R' F' B' U'
R' L2 U2 R' B' F' U'
D2 L2 R' B U D L2
F L2 R' U2 R' F' U'
D2 L2 R' B U2 B2 U'
D2 L2 R' B D U L2
D2 L2 R' B D2 F2 U
B' L2 R2 B' L F U'
L' R2 F2 L' F' B' U'
L' R2 F2 L' B' F' U'
L2 R2 B' U2 R B U
R2 L2 B' U2 R B U
B' L2 B' L R2 F U'
B' L2 B' L F R2 U'
B' L2 B' R2 L F U'
F R' L B2 L B U
F R' L' U2 R' F U'
F R' L' U2 F R' U'
D2 R' L2 B U D L2
D2 R' L2 B U2 B2 U'
D2 R' L2 B D U L2
D2 R' L2 B D2 F2 U
F R' L2 U2 R' F' U'
D2 R' D' F B U B
D2 R' D' B F U B
D2 R' F L' B L' U
D2 R' F L2 D B U
D2 R' F L2 D' B U
D2 R' F L2 D2 B U
D2 R' F L2 B U D
D2 R' F L2 B U D'
D2 R' F L2 B U D2
D2 R' F L2 B D U
D2 R' F L2 B D' U
D2 R' F L2 B D2 U
D2 R' F D' B U B
D2 R' F B L2 U D
D2 R' F B L2 U D'
D2 R' F B L2 U D2
D2 R' F B L2 D U
D2 R' F B L2 D' U
D2 R' F B L2 D2 U
D R' F L2 U B2 R'
D2 R' F B U D' B2
D2 R' F B D' U B2
D2 R' F B' L2 B2 U
U' R' F B2 L B' U
D R' F U' L' U2 B2
D2 R' F' L2 F2 B U
D2 R' F' L2 B F2 U
U2 R' F B2 L B' U
D2 R' F' B L2 F2 U
U R' F B2 L B' U
D2 R' F2 L2 F' B U
D2 R' F2 L2 B F' U
D2 R' F2 B L2 F' U
F' R' F2 B2 L B' U
D2 R' B L2 U2 B' U'
D2 R' B D' F U B2
D2 R' B F L2 U D
D2 R' B F L2 U D'
D2 R' B F L2 U D2
D2 R' B F L2 D U
D2 R' B F L2 D' U
D2 R' B F L2 D2 U
D2 R' B F U D' B2
D2 R' B F D' U B2
D2 R' B F' L2 F2 U
D2 R' B F2 L2 F' U
D2 R' B' F L2 B2 U
F R' B' L B' L U
F' R' B2 L F2 B' U
F' R' B2 L B' F2 U
U' R' B2 F L B' U
F R' B2 L D B' U
F' R' B2 F2 L B' U
F R' B2 L D' B' U
F R' B2 L D2 B' U
F R' B2 L B' U D
F R' B2 L B' U D'
F R' B2 L B' U D2
F R' B2 L B' D U
F R' B2 L B' D' U
F R' B2 L B' D2 U
U2 R' B2 F L B' U
U R' B2 F L B' U
B' R2 L2 B' L F U'
F2 R2 F2 L' F B U'
F2 R2 F2 L' B F U'
F2 R2 F2 B L' F U'
F2 R2 B F2 L' F U'
D2 U R' F L2 B U
D2 U R' F B L2 U
D2 U R' B F L2 U
D2 U F L2 R' B U
D2 U F R' L2 B U
D2 U F R' B L2 U
D2 U' R' F L2 B U
D2 U' R' F B L2 U
D2 U' R' B F L2 U
D2 U' F L2 R' B U
D2 U' F R' L2 B U
D2 U' F R' B L2 U
R D2 L2 R F' B' U'
R D2 L2 R B' F' U'
R D2 L2 B' R F' U'
R D2 R L2 F' B' U'
R D2 R L2 B' F' U'
U' D2 R' F L2 B U
U' D2 R' F B L2 U
D2 U2 R' F L2 B U
D2 U2 R' F B L2 U
U' D2 R' B F L2 U
D2 U2 R' B F L2 U
U2 D2 R' F L2 B U
U2 D2 R' F B L2 U
U2 D2 R' B F L2 U
U' D2 F L2 R' B U
U' D2 F R' L2 B U
D2 U2 F L2 R' B U
U' D2 F R' B L2 U
U D2 R' F L2 B U
U D2 R' F B L2 U
D2 U2 F R' L2 B U
D2 U2 F R' B L2 U
U D2 R' B F L2 U
U2 D2 F L2 R' B U
U2 D2 F R' L2 B U
U2 D2 F R' B L2 U
U D2 F L2 R' B U
U D2 F R' L2 B U
U D2 F R' B L2 U
F U2 R2 F2 L' F U'
R' F L B2 L B U
D2 F L' R' B L' U
R' F L' U2 R' F U'
R' F L' U2 F R' U'
D2 F L2 R' D B U
D2 F L2 R' D' B U
D2 F L2 R' D2 B U
D2 F L2 R' B U D
D2 F L2 R' B U D'
D2 F L2 R' B U D2
D2 F L2 R' B D U
D2 F L2 R' B D' U
D2 F L2 R' B D2 U
R' F L2 U2 R' F' U'
D F L2 R' U B2 R'
D2 F R' L' B L' U
D2 F R' L2 D B U
D2 F R' L2 D' B U
D2 F R' L2 D2 B U
D2 F R' L2 B U D
D2 F R' L2 B U D'
D2 F R' L2 B U D2
D2 F R' L2 B D U
D2 F R' L2 B D' U
D2 F R' L2 B D2 U
D2 F R' D' B U B
U' F R' B2 L B' U
D2 F R' B L2 U D
D2 F R' B L2 U D'
D2 F R' B L2 U D2
D2 F R' B L2 D U
D2 F R' B L2 D' U
D2 F R' B L2 D2 U
D2 F R' B U D' B2
D2 F R' B D' U B2
D2 F R' B' L2 B2 U
D F R' L2 U B2 R'
D F R' U' L' U2 B2
U2 F R' B2 L B' U
U F R' B2 L B' U
U' F D2 L2 R' B U
U' F D2 R' L2 B U
U' F D2 R' B L2 U
U2 F D2 L2 R' B U
U2 F D2 R' L2 B U
U2 F D2 R' B L2 U
R' F B' L B' L U
U F D2 L2 R' B U
U F D2 R' L2 B U
U F D2 R' B L2 U
R' F B2 L D B' U
R' F B2 L D' B' U
R' F B2 L D2 B' U
R' F B2 L B' U D
R' F B2 L B' U D'
R' F B2 L B' U D2
R' F B2 L B' D U
R' F B2 L B' D' U
R' F B2 L B' D2 U
D2 F' L2 R' F2 B U
D2 F' L2 R' B F2 U
D2 F' L2 F2 R' B U
F2 D F' R' U R2 B2
F2 D F' R' U B2 R2
D2 F' R' L2 F2 B U
D2 F' R' L2 B F2 U
D2 F' R' F2 L2 B U
D2 F' R' F2 B L2 U
D2 F' R' B L2 F2 U
D2 F' R' B F2 L2 U
D F' R B2 D' L2 F2
D F' R B2 D' F2 L2
L' F' R2 F2 L' B' U'
D F' R' F2 U R2 B2
D F' R' F2 U B2 R2
R' F' B2 L F2 B' U
R' F' B2 L B' F2 U
D2 F2 L2 F' R' B U
R2 F2 L' F U' D' L2
R2 F2 L' F U2 F2 U
R2 F2 L' F D' U' L2
R2 F2 L' F D2 B2 U'
F D2 L' R' B L' U
F2 D2 L2 F' R' B U
F D2 L2 R' D B U
F D2 L2 R' D' B U
F D2 L2 R' D2 B U
F D2 L2 R' B U D
F D2 L2 R' B U D'
F D2 L2 R' B U D2
F D2 L2 R' B D U
F D2 L2 R' B D' U
F D2 L2 R' B D2 U
F D2 R' L' B L' U
F D2 R' L2 D B U
F D2 R' L2 D' B U
F D2 R' L2 D2 B U
F D2 R' L2 B U D
