D' L2 D' F' R U'
D' L2 F' R' U' B
F' D L U' F' B'
F' D L U' B' F'
D' F' L2 R' U' B
D2 F' R U B2 U2
D2 F' R U' D2 F2
D2 F' R D L2 U'
D2 F' R D2 U' F2
D' F' R' L2 U' B
D2 F' D L2 R U'
D2 F' D R L2 U'
D2 F' D2 R U' F2
B' L R2 F' B U F'
B' L R2 B F' U F'
D L U2 R2 B U B2
B' L U2 F' B U' F'
B' L U2 B F' U' F'
F' L D L U' F' B'
F' L D L U' B' F'
B' L D R2 F' B U
B' L D R2 B F' U
D' L D' L F' R U'
D' L D' F' L R U'
D' L D' F' R L U'
D L D' F' U' F' B'
D L D' F' U' B' F'
D' L D2 L F' U' B'
D' L D2 F' L U' B'
D' L F' L R' U' B
D2 L F' R U B2 U2
D2 L F' R U' D2 F2
D2 L F' R D L2 U'
D2 L F' R D2 U' F2
D' L F' R' L U' B
D2 L F' D L2 R U'
D2 L F' D R L2 U'
D L F' U' D' F2 B'
D L F' U' D' B' F2
D L F' U' B' D' F2
D L F' U2 R2 U B'
D2 L F' D2 R U' F2
D' L F' D2 L U' B'
D L F' D' U' F2 B'
D L F' D' U' B' F2
F' L' D L U' F' B'
F' L' D L U' B' F'
D' L' D' L' F' R U'
D L' D2 L2 F' U' B'
D2 L' F' R U B2 U2
D2 L' F' R U' D2 F2
D2 L' F' R D L2 U'
D2 L' F' R D2 U' F2
D2 L' F' D L2 R U'
D2 L' F' D R L2 U'
D2 L' F' D2 R U' F2
D L' F' D2 L2 U' B2
D' L2 R U F' L' U2
D' L2 R' U' D B R'
D' L2 R' D U' B R'
D' L2 U' R' D B R'
F2 L2 U' B' L U L'
F' L2 D L U' F' B'
F' L2 D L U' B' F'
D' L2 D' F' R U' D
D' L2 D' F' R U' D'
D' L2 D' F' R U' D2
D' L2 D' F' R D U'
D' L2 D' F' R D' U'
D' L2 D' F' R D2 U'
D' L2 D' F' D R U'
D' L2 D' F' D' R U'
D' L2 D' F' D2 R U'
D' L2 F R' F2 U' B
D2 L2 F' R U B2 U2
D2 L2 F' R U' D2 F2
D2 L2 F' R D L2 U'
D2 L2 F' R D2 U' F2
D' L2 F' R U F' U2
D' L2 F' R' U' D B
D' L2 F' R' U' D' B
D' L2 F' R' U' D2 B
D' L2 F' R' U' B D
D' L2 F' R' U' B D'
D' L2 F' R' U' B D2
D' L2 F' R' D U' B
D' L2 F' R' D' U' B
D' L2 F' R' D2 U' B
D' L2 F' U' R' B R
D2 L2 F' D L2 R U'
D2 L2 F' D R L2 U'
D2 L2 F' D2 R U' F2
D' L2 F2 R' F U' B
D' R L2 U F' L' U2
F' R D' R' U' F' B
F' R D' R' U' B F'
D' R F2 L2 U' B' R'
F' R B R' B' U' F'
D' R' L2 U' D B R'
D' R' L2 D U' B R'
D' R' U' D F2 B R'
D' R' U' D B R' F2
D' R' U' D B F2 R'
R U' F2 D' B' R' B
D' R' D U' F2 B R'
D' R' D U' B R' F2
D' R' D U' B F2 R'
R U2 L' B' L U F2
B' R2 L F' B U F'
B' R2 L B F' U F'
F' R2 U B U' R' U'
R2 U2 B U2 R' U' F2
R2 U2 B' L B2 U F2
B' R2 F' L B U F'
U2 R2 B U2 R' U' F2
U2 R2 B' L B2 U F2
U2 D L R2 B U B2
U2 D R2 L B U B2
U2 D R2 B L U B'
L' D' L2 D' F' R U'
L' D' L2 F' R' U' B
L2 D' L2 D' F' R U'
L2 D' L2 F' R' U' B
R D' L2 R' F' U' B
R D' L2 U' B' R' B
L D' L2 D' F' R U'
L D' L2 F' R' U' B
D2 U B2 U' F' R U'
R D' R' L2 F' U' B
F' U B' U L U F'
R D' R' F' L2 U' B
F' U' L' D L F' B'
F' U' L' D L B' F'
F' U' L' D F' L B'
U' D' R' D F2 B R'
U' D' R' D B R' F2
U' D' R' D B F2 R'
D' U' R' D F2 B R'
D' U' R' D B R' F2
D' U' R' D B F2 R'
F' U' L' F' D L B'
L' D' F' L2 R' U' B
L' D' F' R' L2 U' B
L2 D' F' L2 R' U' B
L2 D' F' R' L2 U' B
F2 U' L2 B' L U L
F' U' R D' R' F' B
F' U' R D' R' B F'
L D' F' L2 R' U' B
L D' F' R' L2 U' B
F' U' D L B' L' F'
F' U' D F' L B' L'
F' U' D' R' B R F'
F' U' D' F' R' B R
F' U' D2 F' U R U'
F' U' F' L' D L B'
F' U' F' R D' R' B
F' U' F' D L B' L'
F' U' F' D' R' B R
F' U' F' B U R' U'
F' U' F' B' U' L U
D U2 L R2 B U B2
F' U' B F' U R' U'
F' U' B' U' L U F'
F' U' B' F' U' L U
D U2 R2 L B U B2
D U2 R2 B L U B'
L' D2 F' R U B2 U2
L' D2 F' R U' D2 F2
L' D2 F' R D L2 U'
L' D2 F' R D2 U' F2
L' D2 F' D L2 R U'
L' D2 F' D R L2 U'
L2 D2 F' R U B2 U2
L2 D2 F' R U' D2 F2
L' D2 F' D2 R U' F2
L2 D2 F' R D L2 U'
L2 D2 F' R D2 U' F2
L2 D2 F' D L2 R U'
L2 D2 F' D R L2 U'
L2 D2 F' D2 R U' F2
L D2 F' R U B2 U2
L D2 F' R U' D2 F2
L D2 F' R D L2 U'
L D2 F' R D2 U' F2
L D2 F' D L2 R U'
L D2 F' D R L2 U'
L D2 F' D2 R U' F2
F' U2 D L U F' B'
F' U2 D L U B' F'
U D2 B2 U' F' R U'
D' F L2 R' F2 U' B
D' F L2 F2 R' U' B
D' F R F2 L2 U' B'
D' F R' L2 F2 U' B
D' F R' F2 L2 U' B
F' U2 B' L B U F'
B' D L R2 F' B U
B' D L R2 B F' U
F' D L U' D F' B'
F' D L U' D B' F'
F' D L U' D' F' B'
F' D L U' D' B' F'
F' D L U' D2 F' B'
F' D L U' D2 B' F'
F' D L U' F' D B'
F' D L U' F' D' B'
F' D L U' F' D2 B'
F' D L U' F' B' D
F' D L U' F' B' D'
F' D L U' F' B' D2
F' D L U' B' D F'
F' D L U' B' D' F'
F' D L U' B' D2 F'
F' D L U' B' F' D
F' D L U' B' F' D'
F' D L U' B' F' D2
F' D L D U' F' B'
F' D L D U' B' F'
F' D L D' U' F' B'
F' D L D' U' B' F'
F' D L D2 U' F' B'
F' D L D2 U' B' F'
F' D L' U F U2 F2
F' D L' U' F' D2 B2
B' D R2 L F' B U
B' D R2 L B F' U
B' D R2 F' L B U
B2 D R2 B L U L
D2 F' L R U B2 U2
D2 F' L R U' D2 F2
D2 F' L R D L2 U'
D2 F' L R D2 U' F2
F' D U' L B' L' F'
D2 F' L D L2 R U'
D2 F' L D R L2 U'
D' F' L D2 L U' B'
F' D U' F' L B' L'
D2 F' L D2 R U' F2
F' D U2 L U F' B'
F' D U2 L U B' F'
D2 F' L' R U B2 U2
D2 F' L' R U' D2 F2
D2 F' L' R D L2 U'
D2 F' L' R D2 U' F2
D2 F' L' D L2 R U'
D2 F' L' D R L2 U'
D2 F' L' D2 R U' F2
D F' L U' D' F2 B'
D F' L U' D' B' F2
D F' L U' B' D' F2
D F' L U2 R2 U B'
D F' L D' U' F2 B'
D F' L D' U' B' F2
D' F' L2 R U F' U2
D2 F' L2 R U B2 U2
F2 D F L U' F' B'
F2 D F L U' B' F'
D2 F' L2 R U' D2 F2
D2 F' L2 R D L2 U'
D2 F' L2 R D2 U' F2
D' F' L2 R' U' D B
D' F' L2 R' U' D' B
D' F' L2 R' U' D2 B
D' F' L2 R' U' B D
D' F' L2 R' U' B D'
D' F' L2 R' U' B D2
D' F' L2 R' D U' B
D' F' L2 R' D' U' B
D' F' L2 R' D2 U' B
D' F' L2 U' R' B R
D2 F' L2 D L2 R U'
D2 F' L2 D R L2 U'
D2 F' L2 D2 R U' F2
D F' L' D2 L2 U' B'
D2 F' R L U B2 U2
D2 F' R L U' D2 F2
D2 F' R L D L2 U'
D2 F' R L D2 U' F2
D2 F' R L' U B2 U2
D2 F' R L' U' D2 F2
D2 F' R L' D L2 U'
D2 F' R L' D2 U' F2
D2 F' R L2 U B2 U2
D2 F' R L2 U' D2 F2
D' F' R L2 U F' U2
D2 F' R L2 D L2 U'
D2 F' R L2 D2 U' F2
D2 F' R U B2 U2 D
D2 F' R U B2 U2 D'
D2 F' R U B2 U2 D2
D2 F' R U B2 D U2
D2 F' R U B2 D' U2
D2 F' R U B2 D2 U2
D2 F' R U' D2 F2 D
D2 F' R U' D2 F2 D'
D2 F' R U' D2 F2 D2
D2 F' R U' F D2 F2
D2 F' R U' F' D2 F2
D2 F' R U' F2 D2 F2
D2 F' R U2 D' R2 U
D2 F' R D L2 U' D
D2 F' R D L2 U' D'
D2 F' R D L2 U' D2
D2 F' R D L2 D U'
D2 F' R D L2 D' U'
D2 F' R D L2 D2 U'
D2 F' R D' U2 R2 U
D2 F' R D2 L U' F2
D2 F' R D2 L' U' F2
D2 F' R D2 L2 U' F2
D2 F' R D2 U' F2 D
D2 F' R D2 U' F2 D'
D2 F' R D2 U' F2 D2
D' F' R' L2 U' D B
D' F' R' L2 U' D' B
D' F' R' L2 U' D2 B
D' F' R' L2 U' B D
D' F' R' L2 U' B D'
D' F' R' L2 U' B D2
D' F' R' L2 D U' B
D' F' R' L2 D' U' B
D' F' R' L2 D2 U' B
D' F' R' U' D F2 B
D' F' R' U' D B F2
D' F' R' U' B D F2
D2 F' R' D L2 U' B2
D' F' R' D U' F2 B
D' F' R' D U' B F2
D2 F' R2 D L2 R' U'
D2 F' R2 D R' L2 U'
D2 F' R2 D2 R' U' F2
D2 F' U B2 U' R U'
D2 F' D L2 R U' D
D2 F' D L2 R U' D'
D2 F' D L2 R U' D2
D2 F' D L2 R D U'
D2 F' D L2 R D' U'
D2 F' D L2 R D2 U'
D2 F' D L2 D R U'
D2 F' D L2 D' R U'
D2 F' D L2 D2 R U'
D2 F' D R L2 U' D
D2 F' D R L2 U' D'
D2 F' D R L2 U' D2
D2 F' D R L2 D U'
D2 F' D R L2 D' U'
D2 F' D R L2 D2 U'
D2 F' D R U' D F2
L' F' D L U' F' B'
L' F' D L U' B' F'
D2 F' D R D U' F2
D F' U2 L R2 U B'
D F' U2 R2 L U B'
L2 F' D L U' F' B'
L2 F' D L U' B' F'
D2 F' D' R U2 R U
D2 F' D2 L R U' F2
L F' D L U' F' B'
L F' D L U' B' F'
D2 F' D2 L' R U' F2
D2 F' D2 L2 R U' F2
D2 F' D2 R L U' F2
D2 F' D2 R L' U' F2
D2 F' D2 R L2 U' F2
D2 F' D2 R U' F2 D
D2 F' D2 R U' F2 D'
D2 F' D2 R U' F2 D2
D2 F' D2 R D' L2 U'
D F' D2 L2 R' U' B
D F' D2 R' L2 U' B
F2 D' R' F U' F' B
F2 D' R' F U' B F'
F' D' U' R' B R F'
F' D' U' F' R' B R
B D' F' R' B' L2 U'
D' F2 R' F L2 U' B
U' F2 U' L2 B' L U
D2 F2 D F L2 R U'
D2 F2 D F R L2 U'
D2 F2 D2 F R U' F
U' F2 B U R' F U'
U' F2 B U F R' U'
F' D2 U' F' U R U'
F2 D2 F U2 L' U F'
F' D2 F' R F U' F'
F2 D2 F' R F2 U' F'
R B R' F' B' U' F'
R B R' B' F' U' F'
R2 B U2 R' B' U' F2
F' B R' D B' L U'
F2 B R' F B' U' F'
F2 B R' B' F U' F'
B F R' F2 B' U' F'
U' B F2 U R' F U'
U' B F2 U F R' U'
B F R' B' F2 U' F'
F B R' F2 B' U' F'
F B R' B' F2 U' F'
F2 B U R' F B' U'
F2 B U R' B' F U'
F2 B U F R' B' U'
U2 B' L R2 B U F2
U2 B' L U2 F' U' F'
U2 B' L D R2 B U
U2 B' R2 L B U F2
U2 B' D L R2 B U
U2 B' D R2 L B U
B F' R' D B' L U'
U2 B2 R2 B L U F2
D2 B2 U' F' R B2 U'
D2 B2 U' F' B2 R U'
D2 B2 U' B2 F' R U'
B F2 R' F B' U' F'
B F2 R' B' F U' F'
U2 B2 D R2 B L U
B F2 U R' F B' U'
B F2 U R' B' F U'
B F2 U F R' B' U'
