R2 U' R' F' L' U'
R' D B2 L F R
R2 L U' R' F' U' F2
R' L D F B2 L R
R' L D F B2 R L
R' L D B2 F L R
R' L D B2 F R L
R2 L F R D B2 L
R' L F D B2 L R
R' L F D B2 R L
L R F2 U' L' F' R
R L F2 U' L' F' R
D2 L F R D' L B'
D2 L F D' L R B'
D2 L F D' L B' R
D2 L F D' R L B'
D' L F2 L' U F' R
L R' D F B2 L R
L R' D F B2 R L
L R' D B2 F L R
L R' D B2 F R L
L R' F D B2 L R
L R' F D B2 R L
L R2 U' R' F' U' F2
L R2 F R D B2 L
U R U R B L U2
R2 U' L R' F' L' U'
R2 U' L' R' F' L' U'
R2 U' L2 R' F' L' U'
R2 U' R' L F' L' U'
R2 U' R' L' F' L' U'
R2 U' R' L2 F' L' U'
R2 U' R' D F' L' U'
R2 U' R' D' F' L' U'
R2 U' R' D2 F' L' U'
R2 U' R' F' L' U' D
R2 U' R' F' L' U' D'
R2 U' R' F' L' U' D2
R2 U' R' F' L' D U'
R2 U' R' F' L' D' U'
R2 U' R' F' L' D2 U'
R2 U' R' F' D L' U'
R2 U' R' F' D' L' U'
R2 U' R' F' D2 L' U'
R2 U' D R' F' L' U'
R2 U' D' R' F' L' U'
R2 U' D2 R' F' L' U'
R2 U' F' L' R' F' U'
R2 U' F' R' L' F' U'
B' R' D B2 L F R
B2 R' D B2 L F R
B R' D B2 L F R
B' R2 U' R' F' L' U'
B2 R2 U' R' F' L' U'
B R2 U' R' F' L' U'
F R2 U2 D R' F' B
F R2 U2 D R' B F'
R2 U2 B' D' R' F' B
R2 U2 B' D' R' B F'
F R2 D U2 R' F' B
F R2 D U2 R' B F'
R' D L F B2 L R
R' D L F B2 R L
R' D L B2 F L R
R' D L B2 F R L
R2 D U' R' F' L' U'
R' D F B2 L R F
R' D F B2 R L F
R' D B2 L R F R
R' D B2 L R' F R
R' D B2 L R2 F R
R' D B2 L D F R
R' D B2 L D' F R
R' D B2 L D2 F R
R' D B2 L F R D
R' D B2 L F R D'
R' D B2 L F R D2
R' D B2 L F D R
R' D B2 L F D' R
R' D B2 L F D2 R
R' D B2 R L F R
R' D B2 R' L F R
R' D B2 R2 L F R
R' D B2 D L F R
R' D B2 D' L F R
R' D B2 D2 L F R
R' D B2 F L R F
R' D B2 F R L F
D' U F2 L' B' R' U
R2 D' U' R' F' L' U'
L D' F2 L' U F' R
U D' F2 L' B' R' U
R2 D2 U' R' F' L' U'
R F L U' R F L'
R2 F R D B2 L F
R' F D B2 L R F
R' F D B2 R L F
U2 B' R' D F' B2 L
U2 B' R' D B2 L F'
U2 B' R' D B2 F' L
L' B' R2 U' R' F' U'
U2 B' R' F' D B2 L
R' B2 L D F R B2
R' B2 L D F B2 R
R' B2 L D B2 F R
R' B2 L F D R B2
R' B2 L F D B2 R
R' B2 D L F R B2
R' B2 D L F B2 R
R' B2 D L B2 F R
