D2 L' U F' L' R2
D2 L' U F' R2 L'
D' L' B2 U F' L'
L' U F2 R F L'
L' U' L' U2 F' L'
D F2 R B U' F
D' B2 L' U F' L'
U L D' F' B2 L' R'
U L D' F' B2 R' L'
U L D' B2 F' L' R'
U L D' B2 F' R' L'
U2 L F L2 U F2 R
U2 L F' D' B2 L2 R'
U2 L F' D' B2 R' L2
U L F' D' B2 L' R'
U L F' D' B2 R' L'
D' L B2 L2 U F' L'
D2 L' U L F' L' R2
D2 L' U L F' R2 L'
D2 L' U L' F' L' R2
D2 L' U L' F' R2 L'
D2 L' U L2 F' L' R2
D2 L' U L2 F' R2 L'
D' L' U D' F' L' R2
D' L' U D' F' R2 L'
D2 L' U F' L' R2 D
D2 L' U F' L' R2 D'
D2 L' U F' L' R2 D2
D2 L' U F' R2 L' D
D2 L' U F' R2 L' D'
D2 L' U F' R2 L' D2
D2 L' U F' R2 D L'
D2 L' U F' R2 D' L'
D2 L' U F' R2 D2 L'
D L' U D F' L' R2
D' L' U F' L' D' R2
D L' U D F' R2 L'
D2 L' U F2 R2 F L'
D' L' U F' D' L' R2
D' L' U F' D' R2 L'
B' L' U F2 R F L'
B2 L' U F2 R F L'
B L' U F2 R F L'
B' L' U' L' U2 F' L'
B2 L' U' L' U2 F' L'
B L' U' L' U2 F' L'
R' L' F' R U F' R
F L' U' F2 R B L
L' R' F' R U F' R
R' L' F' U R F' R
R' L' F' U F' R F'
L' R' F' U R F' R
L' R' F' U F' R F'
D L' D U F' L' R2
D L' D U F' R2 L'
D2 L' D B2 U F' L'
D' L' D' U F' L' R2
D' L' D' U F' R2 L'
D L' D2 B2 U F' L'
U L' F2 U R F L'
D2 L' B U F' L' R2
D2 L' B U F' R2 L'
D2 L' B' U F' L' R2
D2 L' B' U F' R2 L'
D' L' B2 U L F' L'
D' L' B2 U L' F' L'
D' L' B2 U L2 F' L'
D' L' B2 U D F' L'
D2 L' B2 U F' L' R2
D2 L' B2 U F' R2 L'
D' L' B2 U D' F' L'
D' L' B2 U D2 F' L'
D' L' B2 U F' L' D
D' L' B2 U F' L' D'
D' L' B2 U F' L' D2
D' L' B2 U F' D L'
D' L' B2 U F' D' L'
D' L' B2 U F' D2 L'
D' L' B2 D U F' L'
D' L' B2 D' U F' L'
D' L' B2 D2 U F' L'
U' L2 U L U F' L'
U L2 U L F U F2
U' L2 U2 F' L' D' B2
L' U L D2 F' L' R2
L' U L D2 F' R2 L'
L' U L F' D2 L' R2
L' U L F' D2 R2 L'
L2 U L F U F2 L'
L2 U L F2 U F L'
L' U L2 F' L' D2 R2
U L2 F' L' D' B2 R'
L' U D F2 R F L'
L' U D' F2 R F L'
L U D' F' B2 L' R'
L U D' F' B2 R' L'
L' U D2 F2 R F L'
L U D' B2 F' L' R'
L U D' B2 F' R' L'
L2 U F L U F2 L'
L' U F' L' F' R F
L' U F2 R F L' D
L' U F2 R F L' D'
L' U F2 R F L' D2
L' U F2 R F D L'
L' U F2 R F D' L'
L' U F2 R F D2 L'
L' U F2 R' F L' R2
L' U F2 R' F R2 L'
L' U F2 R2 F L' R'
L' U F2 R2 F R' L'
L U F' D' B2 L' R'
L U F' D' B2 R' L'
F2 R D F2 B U' F'
F2 R D B F2 U' F'
L' U' L' R2 B U2 L
L' U' L' U2 L F' L'
L' U' L' U2 L' F' L'
L' U' L' U2 L2 F' L'
L' U' L' U2 D F' L'
L' U' L' U2 D' F' L'
L' U' L' U2 D2 F' L'
L' U' L' U2 F' L' D
L' U' L' U2 F' L' D'
L' U' L' U2 F' L' D2
L' U' L' U2 F' D L'
L' U' L' U2 F' D' L'
L' U' L' U2 F' D2 L'
L' U' L' D U2 F' L'
L' U' L' D' U2 F' L'
L' U' L' D2 U2 F' L'
F2 R D2 B U' R2 F
F2 R D2 B U' F R2
L' U' L' B U2 L F'
L' U' L' B U2 F' L
L' U' R2 L' B U2 L
F2 R B U L2 B' U2
F2 R B U' D2 R2 F
F2 R B U' D2 F R2
F2 R B U' F D2 R2
F2 R B D F2 U' F'
F2 R B D2 U' R2 F
F2 R B D2 U' F R2
L' U' R2 B L' U2 L2
L' U' D L' U2 F' L'
L' U' D' L' U2 F' L'
L' U' D2 L' U2 F' L'
L' U' B L' U2 L2 F'
L' U' B L' U2 F' L2
L' D U F2 R F L'
L' D U' L' U2 F' L'
R' D' L' F' R B2 U
R' D' L' F' B2 R U
R' D' L' B2 F' R U
D U F2 R U' F L'
U D F2 R U' F L'
L' D' U F2 R F L'
L' D' U' L' U2 F' L'
L D' U F' B2 L' R'
L D' U F' B2 R' L'
L D' U B2 F' L' R'
L D' U B2 F' R' L'
F U' L' F2 R B L
R' D' B2 L' F' R U
R' D2 L' F' U R2 F2
R' D2 L' F' U F2 R2
R2 D2 L' F U R2 F'
L' D2 U F2 R F L'
L' D2 U' L' U2 F' L'
F2 D R F2 B U' F'
F2 D R B F2 U' F'
B' D F2 R B U' F
B2 D F2 R B U' F
L' F' R' F' U R F
B D F2 R B U' F
D F' U F' R U' L'
B' D' L' B2 U F' L'
B2 D' L' B2 U F' L'
B D' L' B2 U F' L'
D2 F2 R B U' R F
L' F2 R' F' U R2 F2
L' F2 R' F' U F2 R2
D F2 R D B U' F
D F2 R D' B U' F
D F2 R D2 B U' F
D F2 R B U' D F
D F2 R B U' D' F
D F2 R B U' D2 F
D F2 R B U' F D
D F2 R B U' F D'
D F2 R B U' F D2
D F2 R B D U' F
D F2 R B D' U' F
D F2 R B D2 U' F
L' F2 U R F' L' F2
B' D' B2 L' U F' L'
B2 D' B2 L' U F' L'
B D' B2 L' U F' L'
B' D2 L' U F' L' R2
B' D2 L' U F' R2 L'
B2 D2 L' U F' L' R2
B2 D2 L' U F' R2 L'
B D2 L' U F' L' R2
B D2 L' U F' R2 L'
D F2 D R B U' F
D F2 D' R B U' F
F2 D2 R B U' R F
D F2 D2 R B U' F
F' D2 R2 D L B' L
F' D2 R2 D B' L B'
D F2 B R B U' F
D F2 B' R B U' F
U' B L D' F' B2 R'
U' B L D' B2 F' R'
U' B L F' D' B2 R'
D F2 B2 R B U' F
D2 B L' U F' L' R2
D2 B L' U F' R2 L'
D' B L' B U F' L'
L' B U F2 R F L'
L' B U' L' U2 F' L'
D B F2 R B U' F
D2 B' L' U F' L' R2
D2 B' L' U F' R2 L'
L' B' U F2 R F L'
L' B' U' L' U2 F' L'
D B' F2 R B U' F
D2 B2 L' U F' L' R2
D2 B2 L' U F' R2 L'
D' B2 L' U L F' L'
D' B2 L' U L' F' L'
D' B2 L' U L2 F' L'
D' B2 L' U D F' L'
D' B2 L' U D' F' L'
D' B2 L' U D2 F' L'
D' B2 L' U F' L' D
D' B2 L' U F' L' D'
D' B2 L' U F' L' D2
D' B2 L' U F' D L'
D' B2 L' U F' D' L'
D' B2 L' U F' D2 L'
D' B2 L' D U F' L'
D' B2 L' D' U F' L'
D' B2 L' D2 U F' L'
L B2 L2 U F' L' R'
L B2 L2 U F' R' L'
L' B2 U F2 R F L'
L' B2 U' L' U2 F' L'
D' B2 D L' U F' L'
D' B2 D' L' U F' L'
D' B2 D2 L' U F' L'
D B2 F2 R B U' F
