R' L U' F U F'
R' L' U B' L2 U'
L' R' U B' L2 U'
L R' U' F U F'
R' U L B U' L
L U' F U F' R'
B' U B L R' F'
B' U B R' L F'
B' U B R' F' L
L' B' L2 U' B R'
L' R U B' L2 U' R2
F' L R' U' F U F'
D' L R' U' F U F'
D2 L R' U' F U F'
F2 L R' U' F U F'
D L R' U' F U F'
F L R' U' F U F'
R' L U' R F U F'
R' L U' R' F U F'
R' L U' R2 F U F'
R' L U' D F U F'
R' L U' D' F U F'
R' L U' D2 F U F'
R' L U' F U D F'
R' L U' F U D' F'
R' L U' F U D2 F'
R' L U' F U F' D
R' L U' F U F' D'
R' L U' F U F' D2
R' L U' F D U F'
R' L U' F D' U F'
R' L U' F D2 U F'
R2 L U' F U F' R
L R U' F U F' R2
R L U' F U F' R2
L R U2 F U R2 B
B2 L U R' F U B2
R L U2 F U R2 B
B2 L U F R' U B2
R' L D U' F U F'
F' L U' F U F' R'
D' L U' F U F' R'
D2 L U' F U F' R'
F2 L U' F U F' R'
D L U' F U F' R'
F L U' F U F' R'
R' L D' U' F U F'
R' L D2 U' F U F'
U L U2 F' U L' R'
U L U2 F' U R' L'
R' L F' U' F2 U F2
R' L F' D' L2 D F2
R' L F2 U' F' U F
B' L F U B R' F'
L' R B' L2 U' B R2
R' L' U L2 U2 F U
L' R' U L2 U2 F U
L2 R' U L B' L2 U'
L2 R' U L' U2 F U
L' R' U D B' U' F2
R' L' U D B' U' F2
L' R' U B L2 B2 U'
R' L' U B L2 B2 U'
L' R' U B' L2 U' D
L' R' U B' L2 U' D'
L' R' U B' L2 U' D2
L' R' U B' L2 D U'
L' R' U B' L2 D' U'
L' R' U B' L2 D2 U'
R' L' U B' L2 U' D
R' L' U B' L2 U' D'
R' L' U B' L2 U' D2
R' L' U B' L2 D U'
R' L' U B' L2 D' U'
R' L' U B' L2 D2 U'
L' R' U B' U' D F2
R' L' U B' U' D F2
L' R' U B' D U' F2
R' L' U B' D U' F2
L' R' U B2 L2 B U'
R' L' U B2 L2 B U'
R2 L' U B' L2 U' R
R L' U B' L2 U' R2
L R' U' R F U F'
L R' U' R' F U F'
L R' U' R2 F U F'
L R' U' D F U F'
L R' U' D' F U F'
L R' U' D2 F U F'
L R' U' F U D F'
L R' U' F U D' F'
L R' U' F U D2 F'
L R' U' F U F' D
L R' U' F U F' D'
L R' U' F U F' D2
L R' U' F D U F'
L R' U' F D' U F'
L R' U' F D2 U F'
R' L' D U B' U' F2
L' R' D U B' U' F2
D2 L' R' U B' L2 U'
D' L' R' U B' L2 U'
F' L' R' U B' L2 U'
F2 L' R' U B' L2 U'
D L' R' U B' L2 U'
L R' D U' F U F'
R' L' D F2 U B' U'
L' R' D F2 U B' U'
F L' R' U B' L2 U'
L R' D' U' F U F'
L R' D2 U' F U F'
R' L' F U B' L2 U'
L' R' F U B' L2 U'
R' L' F' U B' L2 U'
L' R' F' U B' L2 U'
L R' F' U' F2 U F2
L R' F' D' L2 D F2
R' L' F2 U B' L2 U'
L' R' F2 U B' L2 U'
L R' F2 U' F' U F
R' L' B D F2 B' L2
R' L' B D B' L2 F2
R' L' B D B' F2 L2
L' R' B D F2 B' L2
L' R' B D B' L2 F2
L' R' B D B' F2 L2
R2 L' B' L2 U' B R
R L' B' L2 U' B R2
R' L2 U L B' L2 U'
R' L2 U L' U2 F U
L' R2 U B' L2 U' R
L R2 U' F U F' R
D' L' B' L2 U' B R'
D2 L' B' L2 U' B R'
F' L' B' L2 U' B R'
F2 L' B' L2 U' B R'
B L' B' L U' R' B'
D L' B' L2 U' B R'
F L' B' L2 U' B R'
L' R2 B' L2 U' B R
R' U L U2 F' U L'
R' U L D B U' L
R' U L D' B U' L
R' U L D2 B U' L
R' U L B U' L D
R' U L B U' L D'
R' U L B U' L D2
R' U L B U' D L
R' U L B U' D' L
