D' F' R U2 R' U'
D' L F' R U2 R' U'
D2 L F' U' B' U2 B
U' L F2 R F' D' L2
D' L' F' R U2 R' U'
D2 L' F' U F2 D2 B2
D' L2 F' R U2 R' U'
R U F' L' U R' U'
F' R U F' U R' U'
R U F' U R' U' L'
R U F' B2 L' D' B2
R U B2 F' L' D' B2
F2 R F U2 R' U' F2
F R F2 U2 R' U' F
F' R B2 L B2 U F'
B2 R B2 L U F' L'
F' R' U' B U' R U'
U' R' D B R' U2 B'
U R' D B R' U2 R2
R2 U2 L B R2 U' F
D' R' F' R F' L' U
F R' F2 L' R2 U F'
F R' F2 L' U' B U2
F R' F2 R2 L' U F'
U' R' B U2 D B' L
U' R' B D U2 B' L
F' R2 U2 L R2 U' F
R2 U2 B L R2 U' F
F' R2 U2 R2 L U' F
R2 U2 B R2 L U' F
U R2 U' B L U' R2
R U2 B U' F' L' B'
F' R2 D R' U F' B2
F' R2 D R' U B2 F'
F' R2 D2 L2 R' U F'
F' R2 D2 R' L2 U F'
R2 D R' U F' L' B2
R2 D R' U F' B2 L'
R2 D R' U B2 F' L'
L' D' F' R U2 R' U'
L2 D' F' R U2 R' U'
L D' F' R U2 R' U'
F' U' R' B R U2 B'
U2 D' F' R U2 F U'
R2 D2 L2 R' U F' L'
R2 D2 R' L2 U F' L'
D' U2 F' R U2 F U'
B2 U2 R B2 U F' L'
F' U2 R' U B U2 B'
B U2 R B' U F' L'
B' U2 D F' B R' U
B' U2 D B F' R' U
B' U2 D' F' B R U
B' U2 D' B F' R U
B2 U2 D' F' R U R
B U2 D' F' R B' U
B U2 D' F' B' R U
B U2 D' B' F' R U
B2 U2 F' R B2 U F'
B' U2 F' D B R' U
B' U2 F' B R U F'
B2 U2 F' B2 R U F'
B U2 F' R B' U F'
U2 F R F2 U F R
B U2 F' B' R U F'
D' F R' F2 L' R U
D' F R' F2 R L' U
B' U2 B R U F' L'
D2 F R' F2 L' U F
B' U2 B D' F' R U
B' U2 B F' R U F'
B U2 B' R U F' L'
B2 U2 B2 R U F' L'
B U2 B' D' F' R U
B2 U2 B2 D' F' R U
B U2 B' F' R U F'
B2 U2 B2 F' R U F'
D' F' L R U2 R' U'
D2 F' L U' B' U2 B
D' F' L' R U2 R' U'
B' D U2 F' B R' U
B' D U2 B F' R' U
D' F' L2 R U2 R' U'
D' F' R L U2 R' U'
D' F' R L' U2 R' U'
D' F' R L2 U2 R' U'
D' F' R U2 R' U' D
D' F' R U2 R' U' D'
D' F' R U2 R' U' D2
D' F' R U2 R' D U'
D' F' R U2 R' D' U'
D' F' R U2 R' D2 U'
D' F' R U2 D R' U'
D' F' R U2 D' R' U'
D' F' R U2 D2 R' U'
D' F' R D U2 R' U'
D' F' R D' U2 R' U'
D' F' R D2 U2 R' U'
D' F' R B2 L B2 U
U2 F' R U F' D R2
U2 F' R U2 F U' F2
R' F' R2 U F' L' B'
D' F' R2 D R' U B2
D' F' R2 D2 L2 R' U
D' F' R2 D2 R' L2 U
U2 F' U R F' D R2
D' F' D R U2 R' U'
U2 F' U2 D' F L' U'
D' F' D' R U2 R' U'
D' F' D2 R U2 R' U'
U2 F' D' U2 F L' U'
D' F' B2 R B2 L U
R' F2 L' R2 U F' L'
B' D' U2 F' B R U
B' D' U2 B F' R U
B2 D' U2 F' R U R
B D' U2 F' R B' U
B D' U2 F' B' R U
B D' U2 B' F' R U
R' F2 R2 L' U F' L'
F' D2 L U' B' U2 B
D' B U2 F' R B' U
D' B U2 F' B' R U
D' B U2 B' F' R U
D B U2 F' R' B' U
D B' L U2 F' B U
D B' L U2 B F' U
D' B' U2 F' B R U
D' B' U2 B F' R U
B2 F' R B2 L U F'
R B2 L B2 U F' L'
F' B2 R B2 L U F'
D' B2 U2 F' R B2 U
D' B2 U2 F' B2 R U
D' B2 U2 B2 F' R U
D' B2 F' R B2 L U
