F' R B U L B'
F' L R B U L B2
F' R L B U L B2
F' R F B U L B'
F' R F' B U L B'
F' R F2 B U L B'
F' R B L' U L2 B'
F' R B U L D B'
F' R B U L D' B'
F' R B U L D2 B'
F' R B U L B' D
F' R B U L B' D'
F' R B U L B' D2
F2 R B U L F B'
F2 R B U L B' F
F' R B F U L B'
F' R B F' U L B'
F' R B F2 U L B'
R D2 B R' U L B
L' F U' L' B' U' R'
L F' R B U L B2
R F' B R U L B'
R F2 B U L F B'
R F2 B U L B' F
B F L' U' L2 B' R'
F B L' U' L2 B' R'
F2 B U L F R B'
F2 B U L F B' R
F2 B U L B' F R
F2 B U' L B' R' F'
R B F' R U L B'
R B F2 U L F B'
R B F2 U L B' F
B F2 U L F R B'
B F2 U L F B' R
B F2 U L B' F R
B F2 U' L B' R' F'
