U B' L' U' B'
B' L' R' U' R B
U L' U' D' B' L
U L' D' U' B' L
B' L' F R U' R'
U R B' L' U' B'
B' R' L' U' R B
U R' B' L' U' B'
U R2 B' L' U' B'
U R2 B' L' U' B'
B2 U L' B U' B2
B U L' B2 U' B
D2 U B' L' U' B'
D' U B' L' U' B'
D U B' L' U' B'
U D B' L' U' B'
B2 U B L' U' B'
B U B2 L' U' B'
U D' B' L' U' B'
U D2 B' L' U' B'
U B L' B2 U' B
B' F R U' R' F'
R' B' L' U' R B
U B' L' R U' B'
U B' L' R' U' B'
U B' L' R2 U' B'
U B' L' U' D B'
U B' L' U' D' B'
U B' L' U' D2 B'
U B' L' U' B' D
U B' L' U' B' D'
U B' L' U' B' D2
U B' L' D U' B'
U B' L' D' U' B'
U B' L' D2 U' B'
U B' R L' U' B'
U B' R' L' U' B'
U B' R2 L' U' B'
F B' R U' R' F'
U B' D L' U' B'
U B' D' L' U' B'
U B' D2 L' U' B'
U B2 L' B U' B2
F L R U' R' F' L'
B' L F L2 R U' R'
B' L F R L2 U' R'
B' L' R U' R B R2
U L' R U' D' B' L
B' L' R F R U' R2
U L' R D' U' B' L
B' L' R' U' R D B
B' L' R' U' R D' B
B' L' R' U' R D2 B
B' L' R' U' R B D
B' L' R' U' R B D'
B' L' R' U' R B D2
B' L' R' U' D R B
B' L' R' U' D' R B
B' L' R' U' D2 R B
B' L' R' U' B R B
B' L' R' U' B' R B
B' L' R' U' B2 R B
B2 L' R' U' R B L
B' L' R' D U' R B
B' L' R' D' U' R B
B' L' R' D2 U' R B
U L' R' U' D' B' L
U L' R' D' U' B' L
B' L' R2 U' R B R
B L' R' B2 U' R B
U L' R2 U' D' B' L
B' L' R2 F R U' R
U L' R2 D' U' B' L
U L' U' D' B' L D
U L' U' D' B' L D'
U L' U' D' B' L D2
U L' U' D' B' D L
U L' U' D' B' D' L
U L' U' D' B' D2 L
B' L' D R' U' R B
B' L' D F R U' R'
B' L' D' R' U' R B
B' L' D' F R U' R'
U L' D' R U' B' L
U L' D' R' U' B' L
U L' D' R2 U' B' L
U L' D' U' B' L D
U L' D' U' B' L D'
U L' D' U' B' L D2
U L' D' U' B' D L
U L' D' U' B' D' L
U L' D' U' B' D2 L
U L' D' B U' B2 L
B' L' D2 R' U' R B
B' L' D2 F R U' R'
U L' D2 R' B U' B2
B' L' F R U' R' D
B' L' F R U' R' D'
B' L' F R U' R' D2
B' L' F R U' D R'
B' L' F R U' D' R'
B' L' F R U' D2 R'
B' L' F R D U' R'
B' L' F R D' U' R'
B' L' F R D2 U' R'
B' L' F R F U' R'
B' L' F R F' U' R'
B' L' F R F2 U' R'
B' L' F D R U' R'
B' L' F D' R U' R'
B' L' F D2 R U' R'
B2 L' F B R U' R'
B L' F B2 R U' R'
B2 L' B R' U' R B
B2 L' B F R U' R'
B L' B2 R' U' R B
B L' B2 F R U' R'
F2 L2 R F L' U R'
F2 L2 U' R F L' U
B' L2 F L R U' R'
B' L2 F R L U' R'
L U L2 B U' L B'
F R L U' R' F' L'
B' R L' U' R B R2
B' R L' F R U' R2
U R L' U' D' B' L
U R L' D' U' B' L
F2 R L2 F L' U R'
U2 R U' B' L' U' B'
R' U B' L' U' R B'
R' U B' L' U' B' R
U' R U2 B' L' U' B2
R2 U B' L' U' R2 B'
R2 U B' L' U' B' R2
U R D B' L' U' B'
U R D' B' L' U' B'
U R D2 B' L' U' B'
U R B L' B2 U' B
U R B' L' R U' B'
U R B' L' R' U' B'
U R B' L' R2 U' B'
U R B' L' U' D B'
U R B' L' U' D' B'
U R B' L' U' D2 B'
U R B' L' U' B' D
U R B' L' U' B' D'
U R B' L' U' B' D2
U R B' L' D U' B'
U R B' L' D' U' B'
U R B' L' D2 U' B'
U R B' R L' U' B'
U R B' R' L' U' B'
U R B' R2 L' U' B'
U R B' D L' U' B'
U R B' D' L' U' B'
U R B' D2 L' U' B'
U R B2 L' B U' B2
B' R' L' U' R D B
B' R' L' U' R D' B
B' R' L' U' R D2 B
B' R' L' U' R B D
B' R' L' U' R B D'
B' R' L' U' R B D2
B' R' L' U' D R B
B' R' L' U' D' R B
B' R' L' U' D2 R B
B' R' L' U' B R B
B' R' L' U' B' R B
B' R' L' U' B2 R B
B' R' L' D U' R B
B2 R' L' U' R B L
B' R' L' D' U' R B
B' R' L' D2 U' R B
U R' L' U' D' B' L
U R' L' D' U' B' L
B R' L' B2 U' R B
U2 R' U' B' L' U' B'
B' R' D L' U' R B
B' R' D' L' U' R B
U R' D B' L' U' B'
B' R' D2 L' U' R B
U R' D' B' L' U' B'
U R' D2 B' L' U' B'
D2 R' B' L' U' R B
D' R' B' L' U' R B
U R' B L' B2 U' B
D R' B' L' U' R B
U R' B' L' R U' B'
U R' B' L' R' U' B'
U R' B' L' R2 U' B'
U R' B' L' U' D B'
U R' B' L' U' D' B'
U R' B' L' U' D2 B'
U R' B' L' U' B' D
U R' B' L' U' B' D'
U R' B' L' U' B' D2
U R' B' L' D U' B'
U R' B' L' D' U' B'
U R' B' L' D2 U' B'
U R' B' R L' U' B'
F R' B' R2 U' R' F'
U R' B' R' L' U' B'
U R' B' R2 L' U' B'
U R' B' D L' U' B'
B R' B2 L' U' R B
U R' B' D' L' U' B'
U R' B' D2 L' U' B'
U R' B2 L' B U' B2
B' R2 L' U' R B R
B' R2 L' F R U' R
U R2 L' U' D' B' L
U R2 L' D' U' B' L
U2 R2 U' B' L' U' B'
R' U2 B' L' R' U' R2
R' U2 B' R' L' U' R2
R2 U2 B' L' R' U' R'
R2 U2 B' R' L' U' R'
U R2 D B' L' U' B'
U R2 D' B' L' U' B'
U R2 D2 B' L' U' B'
U R2 B L' B2 U' B
U R2 B' L' R U' B'
U R2 B' L' R' U' B'
U R2 B' L' R2 U' B'
U R2 B' L' U' D B'
U R2 B' L' U' D' B'
U R2 B' L' U' D2 B'
U R2 B' L' U' B' D
U R2 B' L' U' B' D'
U R2 B' L' U' B' D2
U R2 B' L' D U' B'
U R2 B' L' D' U' B'
U R2 B' L' D2 U' B'
U R2 B' R L' U' B'
U R2 B' R' L' U' B'
U R2 B' R2 L' U' B'
U R2 B' D L' U' B'
U R2 B' D' L' U' B'
U R2 B' D2 L' U' B'
U R2 B2 L' B U' B2
B2 U L B L2 U' B'
D' U L' U' D' B' L
D2 U L' U' D' B' L
L' D F R U' L' R'
L' D F R U' R' L'
D' U L' D' U' B' L
D2 U L' D' U' B' L
B2 U L' U' B' D L2
B2 U L' D B U' B2
B2 U L' D' B U' B2
B U L B2 L2 U' B'
B2 U L' D2 B U' B2
B U L' R B2 U' B
B U L' R' B2 U' B
B U L' R2 B2 U' B
B2 U L' B R U' B2
B2 U L' B R' U' B2
B2 U L' B R2 U' B2
B2 U L' B U' B2 D
B2 U L' B U' B2 D'
B2 U L' B U' B2 D2
B2 U L' B D' R2 U'
B U L' U' D B' L2
D U L' U' D' B' L
B U L' D U' B' L2
D U L' D' U' B' L
U D L' U' D' B' L
U D L' D' U' B' L
B U L' B2 U' D B
B U L' B2 U' D' B
B U L' B2 U' D2 B
B U L' B2 U' B D
B U L' B2 U' B D'
B U L' B2 U' B D2
B U L' B2 D U' B
B U L' B2 D' U' B
B U L' B2 D2 U' B
D' U R B' L' U' B'
D2 U R B' L' U' B'
B U R L' B2 U' B
D U R B' L' U' B'
D' U R' B' L' U' B'
B U R B2 L' U' B'
D2 U R' B' L' U' B'
R' D B' L' U' R B
B U R' L' B2 U' B
F U R B' L U' F
U D R B' L' U' B'
D U R' B' L' U' B'
D' U R2 B' L' U' B'
B U R' B2 L' U' B'
D2 U R2 B' L' U' B'
B U R2 L' B2 U' B
U D R' B' L' U' B'
B2 U D L' B U' B2
D U R2 B' L' U' B'
B U R2 B2 L' U' B'
B2 U D B L' U' B'
B U D L' U' B' L'
U D R2 B' L' U' B'
B2 U D' L' B U' B2
B2 U D' B L' U' B'
B2 U D2 L' B U' B2
B2 U D2 B L' U' B'
D' U B L' B2 U' B
D2 U B L' B2 U' B
D' U B' L' R U' B'
D' U B' L' R' U' B'
D' U B' L' R2 U' B'
D' U B' L' U' D B'
D' U B' L' U' D' B'
D' U B' L' U' D2 B'
D' U B' L' U' B' D
D' U B' L' U' B' D'
D' U B' L' U' B' D2
D' U B' L' D U' B'
D' U B' L' D' U' B'
D' U B' L' D2 U' B'
D U B L' B2 U' B
D2 U B' L' R U' B'
D2 U B' L' R' U' B'
D2 U B' L' R2 U' B'
D2 U B' L' U' D B'
D2 U B' L' U' D' B'
D2 U B' L' U' D2 B'
D2 U B' L' U' B' D
D2 U B' L' U' B' D'
D2 U B' L' U' B' D2
D2 U B' L' D U' B'
D2 U B' L' D' U' B'
D2 U B' L' D2 U' B'
D' U B' R L' U' B'
D' U B' R' L' U' B'
D2 U B' R L' U' B'
D' U B' R2 L' U' B'
D2 U B' R' L' U' B'
D2 U B' R2 L' U' B'
U D B L' B2 U' B
D' U B' D L' U' B'
D' U B' D' L' U' B'
D2 U B' D L' U' B'
D' U B' D2 L' U' B'
D2 U B' D' L' U' B'
D2 U B' D2 L' U' B'
D U B' L' R U' B'
D U B' L' R' U' B'
D U B' L' R2 U' B'
D' U B2 L' B U' B2
D U B' L' U' D B'
D U B' L' U' D' B'
D U B' L' U' D2 B'
D U B' L' U' B' D
D U B' L' U' B' D'
D U B' L' U' B' D2
D U B' L' D U' B'
D U B' L' D' U' B'
D U B' L' D2 U' B'
D2 U B2 L' B U' B2
D U B' R L' U' B'
D U B' R' L' U' B'
D U B' R2 L' U' B'
U D B' L' R U' B'
U D B' L' R' U' B'
U D B' L' R2 U' B'
U D B' L' U' D B'
U D B' L' U' D' B'
U D B' L' U' D2 B'
U D B' L' U' B' D
U D B' L' U' B' D'
U D B' L' U' B' D2
U D B' L' D U' B'
U D B' L' D' U' B'
U D B' L' D2 U' B'
U D B' R L' U' B'
D U B' D L' U' B'
U D B' R' L' U' B'
D U B' D' L' U' B'
U D B' R2 L' U' B'
D U B' D2 L' U' B'
B2 U B L' R U' B'
B2 U B L' R' U' B'
B2 U B L' R2 U' B'
B2 U B L' U' D B'
B2 U B L' U' D' B'
B2 U B L' U' D2 B'
B2 U B L' U' B' D
B2 U B L' U' B' D'
B2 U B L' U' B' D2
B2 U B L' D U' B'
B2 U B L' D' U' B'
B2 U B L' D2 U' B'
B2 U B R L' U' B'
U D B' D L' U' B'
B2 U B R' L' U' B'
U D B' D' L' U' B'
D U B2 L' B U' B2
B2 U B R2 L' U' B'
U D B' D2 L' U' B'
B2 U B D L' U' B'
B2 U B D' L' U' B'
U D B2 L' B U' B2
B2 U B D2 L' U' B'
B U B L' B U' B2
B2 U B' L' B2 U' B
F U B' L R U' F
F U B' R L U' F
B U B2 L' R U' B'
B U B2 L' R' U' B'
B U B2 L' R2 U' B'
B U B2 L' U' D B'
B U B2 L' U' D' B'
B U B2 L' U' D2 B'
B U B2 L' U' B' D
B U B2 L' U' B' D'
B U B2 L' U' B' D2
B U B2 L' D U' B'
B U B2 L' D' U' B'
B U B2 L' D2 U' B'
U D' L' U' D' B' L
B U B2 R L' U' B'
B U B2 R' L' U' B'
U D' L' D' U' B' L
B U B2 R2 L' U' B'
B U B2 D L' U' B'
B U B2 D' L' U' B'
B U B2 D2 L' U' B'
F2 U' L2 R F L' U
U D' R B' L' U' B'
F2 U' R L2 F L' U
U D' R' B' L' U' B'
U D' R2 B' L' U' B'
R' D' B' L' U' R B
U D' B L' B2 U' B
U D' B' L' R U' B'
U D' B' L' R' U' B'
U D' B' L' R2 U' B'
U D' B' L' U' D B'
U D' B' L' U' D' B'
U D' B' L' U' D2 B'
U D' B' L' U' B' D
U D' B' L' U' B' D'
U D' B' L' U' B' D2
U D' B' L' D U' B'
U D' B' L' D' U' B'
U D' B' L' D2 U' B'
U D' B' R L' U' B'
U D' B' R' L' U' B'
U D' B' R2 L' U' B'
B U' D2 F2 R U B
U D' B' D L' U' B'
U D' B' D' L' U' B'
U D' B' D2 L' U' B'
U D' B2 L' B U' B2
L' D2 R' B U' R B
U D2 L' U' D' B' L
U D2 L' D' U' B' L
U D2 R B' L' U' B'
U D2 R' B' L' U' B'
U D2 R2 B' L' U' B'
R' D2 B' L' U' R B
U D2 B L' B2 U' B
U D2 B' L' R U' B'
U D2 B' L' R' U' B'
U D2 B' L' R2 U' B'
U D2 B' L' U' D B'
U D2 B' L' U' D' B'
U D2 B' L' U' D2 B'
U D2 B' L' U' B' D
U D2 B' L' U' B' D'
U D2 B' L' U' B' D2
U D2 B' L' D U' B'
U D2 B' L' D' U' B'
U D2 B' L' D2 U' B'
U D2 B' R L' U' B'
U D2 B' R' L' U' B'
U D2 B' R2 L' U' B'
U D2 B' D L' U' B'
U D2 B' D' L' U' B'
U D2 B' D2 L' U' B'
U D2 B2 L' B U' B2
U' F L2 F R U B
L2 F U L R U' L'
L2 F U R L U' L'
B' D L' R' U' R B
B' D L' F R U' R'
B' D R' L' U' R B
D' F B' R U' R' F'
D2 F B' R U' R' F'
B2 D U L' B U' B2
D F B' R U' R' F'
B2 D U B L' U' B'
B D U L' U' B' L'
B' D F R U' R' F'
L' F' U' L' F U F'
F D B' R U' R' F'
B' D' L' R' U' R B
B' D' L' F R U' R'
B' D' R' L' U' R B
B2 D' U L' B U' B2
U' F2 L R U B L
B2 D' U B L' U' B'
B' D' F R U' R' F'
U' F2 L2 R F U B
U' F2 R L U B L
U' F2 R L2 F U B
U' F2 R U B D L2
U' F2 R U2 B' U' B2
F D' B' R U' R' F'
B' D2 L' R' U' R B
B' D2 L' F R U' R'
B' D2 R' L' U' R B
B2 D2 U L' B U' B2
B2 D2 U B L' U' B'
B' D2 F R U' R' F'
B D2 U' F2 R U B
R' B L' B2 U' R B
U B L B2 L2 U' B'
U B L' R B2 U' B
U B L' R' B2 U' B
U B L' R2 B2 U' B
U B L' U' D B' L2
U B L' D U' B' L2
U B L' B2 U' D B
U B L' B2 U' D' B
U B L' B2 U' D2 B
U B L' B2 U' B D
U B L' B2 U' B D'
U B L' B2 U' B D2
U B L' B2 D U' B
U B L' B2 D' U' B
U B L' B2 D2 U' B
U B R L' B2 U' B
U B R B2 L' U' B'
D2 B U L' B2 U' B
D' B U L' B2 U' B
U B R' L' B2 U' B
D2 B U B2 L' U' B'
D' B U B2 L' U' B'
U B R' B2 L' U' B'
U B R2 L' B2 U' B
B' F L R U' R' F'
D B U L' B2 U' B
F D2 B' R U' R' F'
U B R2 B2 L' U' B'
B' F L' R U' R' F'
D B U B2 L' U' B'
U2 B U' B2 L' R' U'
U2 B U' B2 R' L' U'
B' F L2 R U' R' F'
B' F R L U' R' F'
B' F R L' U' R' F'
B' F R L2 U' R' F'
B' F R U' R' D F'
B' F R U' R' D' F'
B' F R U' R' D2 F'
B' F R U' R' F' D
B' F R U' R' F' D'
B' F R U' R' F' D2
B' F R U' D R' F'
B' F R U' D' R' F'
B' F R U' D2 R' F'
B' F R U' F R' F'
B' F R U' F' R' F'
B' F R U' F2 R' F'
B' F R D U' R' F'
B' F R D' U' R' F'
B' F R D2 U' R' F'
B' F R F' L' U' R'
U B D L' U' B' L'
D2 B' L' R' U' R B
D' B' L' R' U' R B
R' B' L' U' R D B
R' B' L' U' R D' B
R' B' L' U' R D2 B
R' B' L' U' R B D
R' B' L' U' R B D'
R' B' L' U' R B D2
R' B' L' U' D R B
R' B' L' U' D' R B
R' B' L' U' D2 R B
R' B' L' U' B R B
R' B' L' U' B' R B
R' B' L' U' B2 R B
R' B' L' D U' R B
R' B' L' D' U' R B
R' B' L' D2 U' R B
D2 B' L' F R U' R'
D' B' L' F R U' R'
U2 B' L' R' U L U2
B' F D R U' R' F'
R2 B' L' R U' R B
D B' L' R' U' R B
R2 B' L' U' R B R
R2 B' L' F R U' R
B' F D' R U' R' F'
D B' L' F R U' R'
U B' L' R U' D B'
U B' L' R U' D' B'
U B' L' R U' D2 B'
U B' L' R U' B' D
U B' L' R U' B' D'
U B' L' R U' B' D2
U B' L' R D U' B'
U B' L' R D' U' B'
U B' L' R D2 U' B'
U B' L' R' U' D B'
U B' L' R' U' D' B'
U B' L' R' U' D2 B'
U B' L' R' U' B' D
U B' L' R' U' B' D'
U B' L' R' U' B' D2
U B' L' R' D U' B'
U B' L' R' D' U' B'
U B' L' R' D2 U' B'
U B' L' R2 U' D B'
U B' L' R2 U' D' B'
U B' L' R2 U' D2 B'
U B' L' R2 U' B' D
U B' L' R2 U' B' D'
U B' L' R2 U' B' D2
U B' L' R2 D U' B'
U B' L' R2 D' U' B'
U B' L' R2 D2 U' B'
U B' L' U F U2 B'
U B' L' U F' U2 B'
U B' L' U F2 U2 B'
U B' L' U' R' B' R
