D2 L U F' B' L'
D2 L U B' F' L'
F' R' F' U F B
F' R' F' U B F
F2 R' F' U F2 B
F2 R' F' U B F2
F R' F' U F' B
F R' F' U B F'
U R' B R F' L'
D2 U L F' B' L'
D2 U L B' F' L'
D2 U L2 F' L' B'
D2 U F' L B' L2
U D2 L F' B' L'
U D2 L B' F' L'
U D2 L2 F' L' B'
U D2 F' L B' L2
U F' L' R' B R
U F' L2 D2 L B'
U F' R' L' B R
U F' R' B L' R
U F' R' B R L'
U F' D2 L B' L2
F' L R' F' U F B
F' L R' F' U B F
F L R' F' U F' B
F L R' F' U B F'
U L R' B R F' L'
D2 L U L F' L' B'
D2 L U D F' B' L'
D2 L U D B' F' L'
D2 L U D' F' B' L'
D2 L U D' B' F' L'
D2 L U D2 F' B' L'
D2 L U D2 B' F' L'
D2 L U F' D B' L'
D2 L U F' D' B' L'
D2 L U F' D2 B' L'
D2 L U F' B L' B2
D2 L U F' B' L' D
D2 L U F' B' L' D'
D2 L U F' B' L' D2
D2 L U F' B' D L'
D2 L U F' B' D' L'
D2 L U F' B' D2 L'
D2 L U F' B2 L' B
D2 L U B F' L' B2
D2 L U B' L F' L'
D2 L U B' L' F' L'
D2 L U B' L2 F' L'
D2 L U B' D F' L'
D2 L U B' D' F' L'
D2 L U B' D2 F' L'
D2 L U B' F' L' D
D2 L U B' F' L' D'
D2 L U B' F' L' D2
D2 L U B' F' D L'
D2 L U B' F' D' L'
D2 L U B' F' D2 L'
D2 L U B2 F' L' B
D2 L D U F' B' L'
D2 L D U B' F' L'
D2 L D' U F' B' L'
D2 L D' U B' F' L'
U L D2 L F' B' L'
U L D2 L B' F' L'
D2 L D2 U F' B' L'
D2 L D2 U B' F' L'
U L D2 L2 F' L' B'
U L D2 F' L B' L2
U L F' L' R' B R
U L F' L2 D2 L B'
U L F' R' L' B R
U L F' R' B L' R
U L F' R' B R L'
U L F' D2 L B' L2
F' L' R' F' U F B
F' L' R' F' U B F
F L' R' F' U F' B
F L' R' F' U B F'
U L' R' B R F' L'
D2 L' U L' F' L' B'
D2 L' U L2 F' B' L'
D2 L' U L2 B' F' L'
D2 L' U F' L' D2 B2
D2 L' U F' D2 L' B2
D2 L' U F' D2 B2 L'
U L' D2 L F' B' L'
U L' D2 L B' F' L'
U L' D2 L2 F' L' B'
U L' D2 F' L B' L2
U L' F' L' R' B R
U L' F' L2 D2 L B'
U L' F' R' L' B R
U L' F' R' B L' R
U L' F' R' B R L'
U L' F' D2 L B' L2
F' L2 R' F' U F B
F' L2 R' F' U B F
F L2 R' F' U F' B
F L2 R' F' U B F'
U L2 R' B R F' L'
F2 L2 U' B' R' U2 B
U L2 D2 L F' B' L'
U L2 D2 L B' F' L'
U L2 D2 L2 F' L' B'
U L2 D2 F' L B' L2
U L2 F' L' R' B R
U L2 F' L2 D2 L B'
U L2 F' R' L' B R
U L2 F' R' B L' R
U L2 F' R' B R L'
U L2 F' D2 L B' L2
L' U R' B R F' L'
L2 U R' B R F' L'
L U R' B R F' L'
L' U D2 L F' B' L'
L' U D2 L B' F' L'
L' U D2 L2 F' L' B'
L2 U D2 L F' B' L'
L2 U D2 L B' F' L'
L' U D2 F' L B' L2
L2 U D2 L2 F' L' B'
L U D2 L F' B' L'
L U D2 L B' F' L'
L2 U D2 F' L B' L2
L U D2 L2 F' L' B'
L U D2 F' L B' L2
L' U F' L' R' B R
L' U F' L2 D2 L B'
L' U F' R' L' B R
L' U F' R' B L' R
L' U F' R' B R L'
L2 U F' L' R' B R
L2 U F' L2 D2 L B'
L2 U F' R' L' B R
L2 U F' R' B L' R
L2 U F' R' B R L'
L U F' L' R' B R
L' U F' D2 L B' L2
L U F' L2 D2 L B'
L U F' R' L' B R
L U F' R' B L' R
L U F' R' B R L'
L2 U F' D2 L B' L2
L U F' D2 L B' L2
F R D R2 F' U B
U' R F' R B U2 L
U' R F' R' U2 F' L'
U' R F' B U2 L F
U' R F' B' R' U2 F'
U' R B F' U2 L F
U' R B' F' R' U2 F'
F' R' L F' U F B
F' R' L F' U B F
F R' L F' U F' B
F R' L F' U B F'
F' R' L' F' U F B
F' R' L' F' U B F
U R' L B R F' L'
F R' L' F' U F' B
F R' L' F' U B F'
F' R' L2 F' U F B
F' R' L2 F' U B F
U R' L' B R F' L'
F R' L2 F' U F' B
F R' L2 F' U B F'
U R' L2 B R F' L'
F2 R' U F D' L2 B
F2 R' U F D' B L2
F2 R' U F B D' L2
F2 R' U B F D' L2
U R' U2 B L R F'
F' R' D F' U F B
U R' U2 B R L F'
F' R' D F' U B F
U R' U2 B R F' L
F2 R' D F' U F2 B
F2 R' D F' U B F2
F' R' D' F' U F B
F' R' D' F' U B F
F2 R' D' F' U F2 B
F2 R' D' F' U B F2
F' R' D2 F' U F B
F' R' D2 F' U B F
F2 R' D2 F' U F2 B
F2 R' D2 F' U B F2
F2 R' F' L U F2 B
F2 R' F' L U B F2
F2 R' F' L' U F2 B
F2 R' F' L' U B F2
D' R' F' U2 R U' F'
F' R' F' U D F B
F' R' F' U D B F
F' R' F' U D' F B
F' R' F' U D' B F
F' R' F' U D2 F B
F' R' F' U D2 B F
F' R' F' U F D B
F' R' F' U F D' B
F' R' F' U F D2 B
F' R' F' U F B D
F' R' F' U F B D'
F' R' F' U F B D2
F2 R' F' L2 U F2 B
F2 R' F' L2 U B F2
F' R' F' U B D F
F' R' F' U B D' F
F' R' F' U B D2 F
F' R' F' U B F D
F' R' F' U B F D'
F' R' F' U B F D2
F' R' F' D U F B
F' R' F' D U B F
F' R' F' D' U F B
F' R' F' D' U B F
F2 R' F' U F2 D B
F2 R' F' U F2 D' B
F2 R' F' U F2 D2 B
F2 R' F' U F2 B D
F2 R' F' U F2 B D'
F2 R' F' U F2 B D2
F2 R' F' U B F2 D
F2 R' F' U B F2 D'
F2 R' F' U B F2 D2
F' R' F' D2 U F B
F' R' F' D2 U B F
F R' F' L U F' B
F R' F' L U B F'
F R' F' L' U F' B
F R' F' L' U B F'
F R' F' L2 U F' B
F R' F' L2 U B F'
F R' F' U D F' B
F R' F' U D B F'
F R' F' U D' F' B
F R' F' U D' B F'
F R' F' U D2 F' B
F R' F' U D2 B F'
F R' F' U F' D B
F R' F' U F' D' B
F R' F' U F' D2 B
F R' F' U F' B D
F R' F' U F' B D'
F R' F' U F' B D2
F R' F' U B D F'
F R' F' U B D' F'
F R' F' U B D2 F'
F R' F' U B F' D
F R' F' U B F' D'
F R' F' U B F' D2
F R' F' D U F' B
F R' F' D U B F'
F R' F' D' U F' B
F R' F' D' U B F'
F R' F' D2 U F' B
F R' F' D2 U B F'
U' R' B L F2 R F'
F' R' B U' F' B' U
F' R' B U' B' F' U
U R' B L R F' L'
U R' B L' R F' L'
U R' B L2 R F' L'
U R' B R L F' L'
U R' B R L' F' L'
U R' B R L2 F' L'
U R' B R D F' L'
U R' B R D' F' L'
U R' B R D2 F' L'
U R' B R F' L' D
U R' B R F' L' D'
U R' B R F' L' D2
U R' B R F' D L'
U R' B R F' D' L'
U R' B R F' D2 L'
U' R' B' R' B U2 B
U R' B' R F' L' B2
U R' B' R F' B2 L'
U R' B' R B2 F' L'
U R' B2 R F' B' L'
U R' B2 R B' F' L'
U' R2 B R U2 L B
U' R2 B R' F' U2 L
U' R2 B U2 L' B' L2
U' R2 B' R' F' B2 U2
U' R2 B' R' B2 F' U2
D2 U L D F' B' L'
D2 U L D B' F' L'
D2 U L D' F' B' L'
D2 U L D' B' F' L'
D2 U L D2 F' B' L'
D2 U L D2 B' F' L'
D2 U L F' D B' L'
D2 U L F' D' B' L'
D2 U L F' D2 B' L'
D2 U L F' B L' B2
D2 U L F' B' L' D
D2 U L F' B' L' D'
D2 U L F' B' L' D2
D2 U L F' B' D L'
D2 U L F' B' D' L'
D2 U L F' B' D2 L'
D2 U L F' B2 L' B
D2 U L B F' L' B2
D2 U L B' L F' L'
D2 U L B' L' F' L'
D2 U L B' L2 F' L'
D2 U L B' D F' L'
D2 U L B' D' F' L'
D2 U L B' D2 F' L'
D2 U L B' F' L' D
D2 U L B' F' L' D'
D2 U L B' F' L' D2
D2 U L B' F' D L'
D2 U L B' F' D' L'
D2 U L B' F' D2 L'
D2 U L B2 F' L' B
D2 U L' F' L' D2 B2
D2 U L' F' D2 L' B2
D2 U L' F' D2 B2 L'
D2 U L2 D F' L' B'
D2 U L2 D' F' L' B'
D2 U L2 D2 F' L' B'
D2 U L2 F' L' D B'
D2 U L2 F' L' D' B'
D2 U L2 F' L' D2 B'
D2 U L2 F' L' B' D
D2 U L2 F' L' B' D'
D2 U L2 F' L' B' D2
D2 U L2 F' D L' B'
D2 U L2 F' D' L' B'
D2 U L2 F' D2 L' B'
D2 U L2 F' B L' B'
D2 U L2 F' B' L' B'
D2 U L2 F' B2 L' B'
D2 U L2 B F' L' B'
D2 U L2 B' F' L' B'
D2 U L2 B2 F' L' B'
D2 U F L F2 B' L'
D2 U F L B' F2 L'
D2 U F L2 F2 L' B'
D' U F' L' U R U'
D2 U F' L B L2 B2
D2 U F' L B' L2 D
D2 U F' L B' L2 D'
D2 U F' L B' L2 D2
D2 U F' L B2 L2 B
D2 U F' L' U2 F U2
D' U F' U R U' L'
D2 U F' B L B' L2
D2 U F' B' L B' L2
D2 U F' B2 L B' L2
D U F' L2 D L B'
U D F' L2 D L B'
D U F' D L B' L2
D U F' B' L' D' B2
U D F' D L B' L2
D2 U B L F' B' L'
D2 U B L B' F' L'
D2 U B L2 F' L' B'
U D F' B' L' D' B2
F2 U F U2 R F' U2
D2 U B F' L B' L2
D2 U B' L F' B' L'
D2 U B' L B' F' L'
D2 U B' L2 F' L' B'
D2 U B' F' L B' L2
D2 U B2 L F' B' L'
D2 U B2 L B' F' L'
D2 U B2 L2 F' L' B'
D2 U B2 F' L B' L2
D U B' F' L' D' B2
U2 D B2 U' F' L' B'
U D B' F' L' D' B2
F U F2 D2 L B' L
F U F2 D2 B' L B'
D2 U' R2 B U2 L B'
F U' R F' U2 F' L'
U D' F' L' U R U'
F U' R' B L F2 R
U D' F' U R U' L'
D2 U' B U2 L F' B'
D2 U' B U2 L B' F'
D2 U' B U2 F' L B'
L' D2 L U F' B' L'
L' D2 L U B' F' L'
L2 D2 L U F' B' L'
L2 D2 L U B' F' L'
R' D2 L' F' U F2 B
R' D2 L' F' U B F2
L D2 L U F' B' L'
L D2 L U B' F' L'
U D2 L D F' B' L'
U D2 L D B' F' L'
U D2 L D' F' B' L'
U D2 L D' B' F' L'
U D2 L D2 F' B' L'
U D2 L D2 B' F' L'
U D2 L F' D B' L'
U D2 L F' D' B' L'
U D2 L F' D2 B' L'
U D2 L F' B L' B2
U D2 L F' B' L' D
U D2 L F' B' L' D'
U D2 L F' B' L' D2
U D2 L F' B' D L'
U D2 L F' B' D' L'
U D2 L F' B' D2 L'
U D2 L F' B2 L' B
U D2 L B F' L' B2
U D2 L B' L F' L'
U D2 L B' L' F' L'
U D2 L B' L2 F' L'
U D2 L B' D F' L'
U D2 L B' D' F' L'
U D2 L B' D2 F' L'
U D2 L B' F' L' D
U D2 L B' F' L' D'
U D2 L B' F' L' D2
U D2 L B' F' D L'
U D2 L B' F' D' L'
U D2 L B' F' D2 L'
U D2 L B2 F' L' B
U D2 L' F' L' D2 B2
U D2 L' F' D2 L' B2
U D2 L' F' D2 B2 L'
L' D2 U L F' B' L'
L' D2 U L B' F' L'
F2 U' B' R' U2 F B
F2 U' B' R' U2 B F
L' D2 U L2 F' L' B'
U D2 L2 D F' L' B'
U D2 L2 D' F' L' B'
U D2 L2 D2 F' L' B'
L' D2 U F' L B' L2
U D2 L2 F' L' D B'
U D2 L2 F' L' D' B'
U D2 L2 F' L' D2 B'
U D2 L2 F' L' B' D
U D2 L2 F' L' B' D'
U D2 L2 F' L' B' D2
L2 D2 U L F' B' L'
L2 D2 U L B' F' L'
U D2 L2 F' D L' B'
U D2 L2 F' D' L' B'
U D2 L2 F' D2 L' B'
U D2 L2 F' B L' B'
U D2 L2 F' B' L' B'
U D2 L2 F' B2 L' B'
L2 D2 U L2 F' L' B'
U D2 L2 B F' L' B'
U D2 L2 B' F' L' B'
U D2 L2 B2 F' L' B'
L2 D2 U F' L B' L2
F U' B' R' U2 F2 B
F U' B' R' U2 B F2
L D2 U L F' B' L'
L D2 U L B' F' L'
L D2 U L2 F' L' B'
U' D2 R2 B U2 L B'
L D2 U F' L B' L2
R' D2 F' L' U F B
R' D2 F' L' U B F
U D2 F L F2 B' L'
U D2 F L B' F2 L'
U D2 F L2 F2 L' B'
U D2 F' L B L2 B2
U D2 F' L B' L2 D
U D2 F' L B' L2 D'
U D2 F' L B' L2 D2
U D2 F' L B2 L2 B
U D2 F' L' U2 F U2
U' D2 B U2 L F' B'
U' D2 B U2 L B' F'
U' D2 B U2 F' L B'
U D2 F' B L B' L2
U D2 F' B' L B' L2
U D2 F' B2 L B' L2
U D2 B L F' B' L'
U D2 B L B' F' L'
U D2 B L2 F' L' B'
U D2 B F' L B' L2
U D2 B' L F' B' L'
U D2 B' L B' F' L'
U D2 B' L2 F' L' B'
U D2 B' F' L B' L2
U D2 B2 L F' B' L'
U D2 B2 L B' F' L'
D U2 B2 U' F' L' B'
U D2 B2 L2 F' L' B'
D' F L' R' F' U F'
D' F L' U F' L' F'
U D2 B2 F' L B' L2
D' F L' F' U F' L'
U' F R F' U2 F' L'
D' F R' L' F' U F'
U' F R' B L F2 R
L' F R' F' U F' B
L' F R' F' U B F'
L2 F R' F' U F' B
L2 F R' F' U B F'
U F R F' U2 F' R'
L F R' F' U F' B
L F R' F' U B F'
U F R' B R F2 L'
U F U2 R F' U2 F'
U' F B' R' U2 F2 B
U' F B' R' U2 B F2
U F' L R' B L2 R
U F' L R' B R L2
U F' L' R' D B R
U F' L' R' D' B R
U F' L' R' D2 B R
U F' L' R' B R D
U F' L' R' B R D'
U F' L' R' B R D2
U F' L' R' B D R
U F' L' R' B D' R
U F' L' R' B D2 R
U F' L' R' B' R B2
U F' L' R' B2 R B'
U F' L' U R' U' B
U F' L' D2 L B' L'
U F' L' B R' B R
U F' L' B' R' B R
U F' L' B2 R' B R
U F' L2 D2 L D B'
U F' L2 D2 L D' B'
U F' L2 D2 L D2 B'
U F' L2 D2 L B' D
U F' L2 D2 L B' D'
U F' L2 D2 L B' D2
L' F' R' F' U F B
L' F' R' F' U B F
L2 F' R' F' U F B
L2 F' R' F' U B F
U F' R' L B L2 R
U F' R' L B R L2
U F' R' L' D B R
U F' R' L' D' B R
U F' R' L' D2 B R
U F' R' L' B R D
U F' R' L' B R D'
U F' R' L' B R D2
U F' R' L' B D R
U F' R' L' B D' R
U F' R' L' B D2 R
U F' R' L' B' R B2
U F' R' L' B2 R B'
R' F' U R F' R' B
U F' R' D L' B R
U F' R' D B L' R
U F' R' D B R L'
U F' R' D' L' B R
U F' R' D' B L' R
U F' R' D' B R L'
U F' R' D2 L' B R
U F' R' D2 B L' R
U F' R' D2 B R L'
L F' R' F' U F B
L F' R' F' U B F
U F' R' B L' R D
U F' R' B L' R D'
U F' R' B L' R D2
U F' R' B L' D R
U F' R' B L' D' R
U F' R' B L' D2 R
U F' R' B R L' D
U F' R' B R L' D'
U F' R' B R L' D2
U F' R' B R D L'
U F' R' B R D' L'
U F' R' B R D2 L'
U F' R' B D L' R
U F' R' B D R L'
U F' R' B D' L' R
U F' R' B D' R L'
R' F' U B R F' R'
U F' R' B D2 L' R
U F' R' B D2 R L'
U F' R' B' L' R B2
U F' R' B' L' B2 R
U F' R' B' R L' B2
U F' R' B' R B2 L'
U F' R' B2 R B' L'
B D B' L U F' L'
U F' U R' U' L' B
U F' U R' U' B L'
U F' U2 R' U2 L' B
U F' U2 R' U2 B L'
U F' U2 R2 U2 L' B'
U F' U2 F2 R F' U2
R' F' D2 L' U F B
R' F' D2 L' U B F
U F' D L2 D L B'
U F' D B' L' D' B2
U F' D' L2 D' L B'
U F' D2 L B L2 B2
U F' D2 L B' L2 D
U F' D2 L B' L2 D'
U F' D2 L B' L2 D2
U F' D2 L B2 L2 B
U F' D2 L' U2 F U2
U F' D2 B L B' L2
U F' D2 B' L B' L2
U F' D2 B2 L B' L2
U F' B L' R' B R
U F' B L2 D2 L B'
U F' B R' L' B R
U F' B R' B L' R
U F' B R' B R L'
U F' B D2 L B' L2
U F' B' L' R' B R
U F' B' L2 D2 L B'
U F' B' R' L' B R
U F' B' R' B L' R
U F' B' R' B R L'
U F' B' D2 L B' L2
U F' B2 L' R' B R
U F' B2 L2 D2 L B'
U F' B2 R' L' B R
U F' B2 R' B L' R
U F' B2 R' B R L'
F' D' F L' U F' L'
U F' B2 D2 L B' L2
F2 D' F2 U F' L' B'
D' F2 R' F' L' U F2
L' F2 R' F' U F2 B
L' F2 R' F' U B F2
L2 F2 R' F' U F2 B
L2 F2 R' F' U B F2
D' F2 U F' L' F2 B'
D' F2 U F' L' B' F2
L F2 R' F' U F2 B
L F2 R' F' U B F2
U F2 R' B R F L'
U' F2 B' R' U2 F B
U' F2 B' R' U2 B F
U F2 D2 F L B' L
U F2 D2 F B' L B'
U F2 D2 B' F L B'
U' B R F' U2 L F
U B R' B R F' L'
U' B U2 D2 L F' B'
U' B U2 D2 L B' F'
U' B U2 D2 F' L B'
U' B U2 F' D2 L B'
U' B D2 U2 L F' B'
U' B D2 U2 L B' F'
U' B D2 U2 F' L B'
U B D2 L F' B' L'
U B D2 L B' F' L'
U B D2 L2 F' L' B'
U B D2 F' L B' L2
U B F' L' R' B R
U B F' L2 D2 L B'
U B F' R' L' B R
U B F' R' B L' R
