F L D B' L D R2
F L D B' D L R2
F L D B' D R2 L
F L D2 R2 D' B' L
F L' D' F U2 L' F'
F' R F2 L D' B' L
D2 R' B R' D F L'
D2 R' B D R' F L'
D2 R' B D F L' R'
D2 R' B D F R' L'
F U2 L' D' F U2 L'
R' D2 B U' R' F B
R' D2 B U' R' B F
R' D2 B U' F R' B
L' F L' D B' U2 L
L' F D L' B' U2 L
D' F D' L' R' B R'
D' F D' L' B R' B
D' F D' R' L' B R'
D' F D' R' B L' R'
D' F D' R' B R' L'
D' F D' B L' R' B
D' F D' B R' L' B
D' F D' B R' B L'
R F' L U R F2 B'
R F' L U R B' F2
R F' L U B' R F2
D2 B R' D F L' B
D2 B R' D F B L'
D2 B R' D B F L'
D2 B R' B D F L'
