R2 L B L U' B' R'
L R2 B L U' B' R'
B' L2 F' R' B U B2
D2 L2 F' U B' R' F'
F U R' F2 B U F
F U R' B F2 U F
F U F2 R' B U F'
D' F' U R' F' R2 B
D' F' U' F2 L' B' U2
F' D' L2 U R' F' R
L2 F' B' R' B U B'
F' D2 L B' R' U B'
B' F U R' F2 B U
B' F U R' B F2 U
B' F U F2 R' B U
L2 B' U' F' R' B U
B' F' R' D' L2 B U
B' F' R' D' B L2 U
B' F' R' D2 B U B
B' F' R' B U D2 B2
B' F' R' B U' F2 U2
B' F' R' B D' L2 U
B' F' R' B D2 U B2
F' B' R' D' L2 B U
F' B' R' D' B L2 U
F' B' R' D2 B U B
F' B' R' B U D2 B2
F' B' R' B U' F2 U2
F' B' R' B D' L2 U
F' B' R' B D2 U B2
F B' U R' F2 B U
F B' U R' B F2 U
F B' U F2 R' B U
L2 B' F' R' B U B'
