U' L' F' U B' R' F'
U2 L2 F' B' L' U F
F2 L2 F' B' R' U' F'
U2 L2 B' F' L' U F
F2 L2 B' F' R' U' F'
B' R' D' F U' L' F2
R2 U2 F B R U' F'
R2 U2 B F R U' F'
B' R2 B R F U' F2
R' D' F U' L' F2 B'
R' D' F U' L' B' F2
R' F B' R' B U' F2
U F' U2 L' F2 U' B'
F D' B' R' U' L2 F'
F D' B' R' U' F' L2
F D2 B' R' B' U' F'
B' F R' U' D' L2 F'
B' F R' U' D' F' L2
B' F R' U2 F2 U F
B' F R' D' U' L2 F'
B' F R' D' U' F' L2
B' F R' D2 B2 U' F'
B F U2 L F2 U F'
F B U2 L F2 U F'
B F U2 F2 L U F
B' F D' R' U' L2 F'
B' F D' R' U' F' L2
F B U2 F2 L U F
B' F D2 R' B2 U' F'
B F D2 B2 R' U' F'
F B D2 B2 R' U' F'
F B' R' U' D' L2 F'
F B' R' U' D' F' L2
F B' R' U2 F2 U F
F B' R' D' U' L2 F'
F B' R' D' U' F' L2
F B' R' D2 B2 U' F'
R' B' F R' B U' F2
F B' D' R' U' L2 F'
F B' D' R' U' F' L2
F B' D2 R' B2 U' F'
