B' L2 F U F'
U' B' L2 F U
B' L2 R F U F'
B' L2 R' F U F'
B' L2 R2 F U F'
U' L2 U2 F B2 U'
U' L2 U2 B2 F U'
B' L2 D F U F'
B' L2 D' F U F'
B' L2 D2 F U F'
B' L2 F U D F'
B' L2 F U D' F'
B' L2 F U D2 F'
B' L2 F U F' D
B' L2 F U F' D'
B' L2 F U F' D2
B' L2 F D U F'
B' L2 F D' U F'
B' L2 F D2 U F'
L2 U F B2 U' B2
B' R L2 F U F'
L2 U B2 F U' B2
B' R' L2 F U F'
R' U' B' L2 F U
R2 U' B' L2 F U
R U' B' L2 F U
B' R2 L2 F U F'
B2 U' L2 B U L2
B2 U' B L2 U L2
B U' B2 L2 F U
B2 U2 B L2 U F
U' F B' L2 F U
U' F' B' L2 F U
U' F2 B' L2 F U
B2 D2 R2 F' U' F
B' F L2 F U F2
R' B' L2 F U F'
U' B' L2 D F U
U' B' L2 D' F U
U' B' L2 D2 F U
U' B' L2 F U D
U' B' L2 F U D'
U' B' L2 F U D2
U' B' L2 F D U
U' B' L2 F D' U
U' B' L2 F D2 U
R2 B' L2 F U F'
R B' L2 F U F'
F2 B' L2 F U F
F B' L2 F U F2
U' B' F L2 F U
U' B' F' L2 F U
U' B' F2 L2 F U
B' F2 L2 F U F
U B2 U2 L2 B U
U B2 U2 B L2 U
U B2 D2 R2 F' U'
L2 R U F B2 U' B2
L2 R U B2 F U' B2
B2 L U' L B U L'
U' L U2 B2 R' F' U'
B' L D L F U F'
B' L D' L F U F'
B' L D2 L F U F'
B' L F L F U F2
B' L F2 L F U F
L2 R' U F B2 U' B2
L2 R' U B2 F U' B2
B2 L' U' B L' U L
R' L2 U F B2 U' B2
L2 R2 U F B2 U' B2
R' L2 U B2 F U' B2
R2 L2 U F B2 U' B2
R L2 U F B2 U' B2
L2 R2 U B2 F U' B2
R2 L2 U B2 F U' B2
R L2 U B2 F U' B2
B' L2 R D F U F'
B' L2 R D' F U F'
B' L2 R D2 F U F'
B' L2 R F U D F'
B' L2 R F U D' F'
B' L2 R F U D2 F'
B' L2 R F U F' D
B' L2 R F U F' D'
B' L2 R F U F' D2
B' L2 R F D U F'
B' L2 R F D' U F'
B' L2 R F D2 U F'
B' L2 R' D F U F'
B' L2 R' D' F U F'
B' L2 R' D2 F U F'
B' L2 R' F U D F'
B' L2 R' F U D' F'
B' L2 R' F U D2 F'
B' L2 R' F U F' D
B' L2 R' F U F' D'
B' L2 R' F U F' D2
B' L2 R' F D U F'
B' L2 R' F D' U F'
B' L2 R' F D2 U F'
B' L2 R2 D F U F'
B' L2 R2 D' F U F'
B' L2 R2 D2 F U F'
B' L2 R2 F U D F'
B' L2 R2 F U D' F'
B' L2 R2 F U D2 F'
B' L2 R2 F U F' D
B' L2 R2 F U F' D'
B' L2 R2 F U F' D2
B' L2 R2 F D U F'
B' L2 R2 F D' U F'
B' L2 R2 F D2 U F'
B L2 R2 F' B2 U F
B L2 R2 B2 F' U F
D L2 U D R2 F U'
D L2 U D F R2 U'
D L2 U D2 F U' B2
D L2 U F U F U2
F L2 U F' D L2 R2
F L2 U F' D R2 L2
D L2 U' D' L2 B' U
U' L2 U2 D F U' L2
U' L2 U2 F U' D L2
U' L2 U2 F D U' L2
U' L2 U2 F B2 U' D
U' L2 U2 F B2 U' D'
U' L2 U2 F B2 U' D2
U' L2 U2 F B2 D U'
U' L2 U2 F B2 D' U'
U' L2 U2 F B2 D2 U'
F2 L2 U2 F B2 U' F
U2 L2 U2 F B2 U' F'
U' L2 U2 B2 D F U'
U' L2 U2 B2 D' F U'
U' L2 U2 B2 D2 F U'
U' L2 U2 B2 F U' D
U' L2 U2 B2 F U' D'
U' L2 U2 B2 F U' D2
U' L2 U2 B2 F D U'
U' L2 U2 B2 F D' U'
U' L2 U2 B2 F D2 U'
D L2 U2 F2 U' F' U'
F L2 U2 F B2 U' F2
F2 L2 U2 B2 F U' F
U2 L2 U2 B2 F U' F'
U L2 U2 F L2 B2 U'
B' L2 D R F U F'
U L2 U2 F B2 L2 U'
B' L2 D R' F U F'
B' L2 D R2 F U F'
F L2 U2 B2 F U' F2
U' L2 D U2 F U' L2
B' L2 D F U D F'
B' L2 D F U D' F'
B' L2 D F U D2 F'
B' L2 D F U F' D
B' L2 D F U F' D'
B' L2 D F U F' D2
B' L2 D F D U F'
U L2 U2 B2 F L2 U'
B' L2 D F D' U F'
B' L2 D F D2 U F'
D L2 D U R2 F U'
D L2 D U F R2 U'
B' L2 D' R F U F'
B' L2 D' R' F U F'
B' L2 D' R2 F U F'
B' L2 D' F U D F'
B' L2 D' F U D' F'
B' L2 D' F U D2 F'
B' L2 D' F U F' D
B' L2 D' F U F' D'
B' L2 D' F U F' D2
B' L2 D' F D U F'
B' L2 D' F D' U F'
B' L2 D' F D2 U F'
D L2 D' U' L2 B' U
B' L2 D2 R F U F'
B' L2 D2 R' F U F'
B' L2 D2 R2 F U F'
B' L2 D2 F U D F'
B' L2 D2 F U D' F'
B' L2 D2 F U D2 F'
B' L2 D2 F U F' D
B' L2 D2 F U F' D'
B' L2 D2 F U F' D2
B' L2 D2 F D U F'
B' L2 D2 F D' U F'
B' L2 D2 F D2 U F'
U' L2 D2 F2 U2 F' U'
D L2 D2 U F U' B2
D L2 D2 B2 U F U'
B' L2 F R2 U' B U2
B' L2 F U L' F' L
B' L2 F U L2 F' L2
U L2 D2 F2 R2 B U
B' L2 F U D F' D
B' L2 F U D F' D'
B' L2 F U D F' D2
B' L2 F U D' F' D
B' L2 F U D' F' D'
B' L2 F U D' F' D2
B' L2 F U D2 F' D
B' L2 F U D2 F' D'
B' L2 F U D2 F' D2
B' L2 F U F2 D F
B' L2 F U F2 D' F
B' L2 F U F2 D2 F
B' L2 F U' B U2 F'
B' L2 F U' B' U2 F'
B' L2 F U' B2 U2 F'
B' L2 F U2 L U' F'
B' L2 F U2 L' U' F'
B' L2 F U2 L2 U' F'
B' L2 F D U F' D
B' L2 F D U F' D'
B' L2 F D U F' D2
B' L2 F D' U F' D
B' L2 F D' U F' D'
B' L2 F D' U F' D2
B' L2 F D2 U F' D
B' L2 F D2 U F' D'
B' L2 F D2 U F' D2
B' L2 F' R F2 U F'
B' L2 F' R' F2 U F'
B' L2 F' R2 F2 U F'
B' L2 F' U D' F L2
U' L2 F' U D L2 R2
U' L2 F' U D R2 L2
U' L2 F' U2 F2 B2 U'
U' L2 F' U2 B2 F2 U'
U' L2 F' D U L2 R2
U' L2 F' D U R2 L2
