B L' U F' B' L'
B L' U B' F' L'
L' B U F' L' B2
L' B U F' B2 L'
L' B U B2 F' L'
B L U L' F' L' B'
B L U L2 F' B' L'
B L U L2 B' F' L'
B L U F' L' D2 B2
B L U F' D2 L' B2
B L U F' D2 B2 L'
B L' U L F' L' B'
B L' U D F' B' L'
B L' U D B' F' L'
B L' U D' F' B' L'
B L' U D' B' F' L'
B L' U D2 F' B' L'
B L' U D2 B' F' L'
B L' U F' D B' L'
B L' U F' D' B' L'
B L' U F' D2 B' L'
B L' U F' B L' B2
B L' U F' B' L' D
B L' U F' B' L' D'
B L' U F' B' L' D2
B L' U F' B' D L'
B L' U F' B' D' L'
B L' U F' B' D2 L'
B L' U F' B2 L' B
B L' U B F' L' B2
B L' U B' L F' L'
B L' U B' L' F' L'
B L' U B' L2 F' L'
B L' U B' D F' L'
B L' U B' D' F' L'
B L' U B' D2 F' L'
B L' U B' F' L' D
B L' U B' F' L' D'
B L' U B' F' L' D2
B L' U B' F' D L'
B L' U B' F' D' L'
B L' U B' F' D2 L'
B L' U B2 F' L' B
F' L' U' B U L B2
B L' D U F' B' L'
B L' D U B' F' L'
B L' D' U F' B' L'
B L' D' U B' F' L'
B L' D2 U F' B' L'
B L' D2 U B' F' L'
D' L' B U F' L' B2
D' L' B U F' B2 L'
D2 L' B U F' L' B2
D2 L' B U F' B2 L'
D' L' B U B2 F' L'
D2 L' B U B2 F' L'
D L' B U F' L' B2
D L' B U F' B2 L'
D L' B U B2 F' L'
B' L' B2 U F' L' B
B' L' B2 U F' B L'
B' L' B2 U B F' L'
B L2 U L F' B' L'
B L2 U L B' F' L'
B L2 U L2 F' L' B'
B L2 U F' L B' L2
F' L2 U' B U L B'
L' U F' B' L' D' R2
L' U F' B' D' L' R2
L' U F' B' D' R2 L'
L' U B' D' F' L' R2
L' U B' D' F' R2 L'
L' U B' F' L' D' R2
L' U B' F' D' L' R2
L' U B' F' D' R2 L'
L' U' B U L F' B2
L' U' B U L B2 F'
L' U' B U F' L B2
L2 U' B U L F' B'
L2 U' B U L B' F'
L2 U' B U F' L B'
L' D B U F' L' B2
L' D B U F' B2 L'
L' D B U B2 F' L'
F' U R2 F' U' L' B'
B U F' B L' D' B2
B U B F' L' D' B2
L' D' B U F' L' B2
L' D' B U F' B2 L'
L' D' B U B2 F' L'
F' U' F' L' B U L
F' U' F' B L' U L2
F' U' B L2 U L' B'
F' U' B U L' B' L2
F' U' B F' L' U L2
L' D2 B U F' L' B2
L' D2 B U F' B2 L'
L' D2 B U B2 F' L'
B D L' U F' B' L'
B D L' U B' F' L'
U F B L U F2 L'
L' F' U' B U L B2
L2 F' U' B U L B'
B D' L' U F' B' L'
B D' L' U B' F' L'
B D2 L' U F' B' L'
B D2 L' U B' F' L'
L' B L U F' L' B2
L' B L U F' B2 L'
L' B L U B2 F' L'
L2 B L U F' B' L'
L2 B L U B' F' L'
D2 B L' U F' B' L'
D2 B L' U B' F' L'
D' B L' U F' B' L'
D' B L' U B' F' L'
L' B L' U F' L' B2
L' B L' U F' B2 L'
L' B L' U B2 F' L'
U' B L2 U L' F' B'
U' B L2 U L' B' F'
L' B L2 U F' L' B2
L' B L2 U F' B2 L'
L' B L2 U B2 F' L'
D B L' U F' B' L'
U B L F U F2 L'
D B L' U B' F' L'
U B L F2 U F L'
L B L2 U F' B' L'
L B L2 U B' F' L'
U' B U L F' D2 B2
U' B U L' F' B' L2
U' B U L' B' L2 F'
U' B U L' B' F' L2
L' B U L F' L' B2
L' B U L F' B2 L'
L' B U L B2 F' L'
L' B U L' F' L' B2
L' B U L' F' B2 L'
L' B U L' B2 F' L'
L' B U L2 F' L' B2
L' B U L2 F' B2 L'
U' B U F' L' B' L2
L' B U L2 B2 F' L'
L' B U F' L B2 L2
L' B U F' L' B2 D
L' B U F' L' B2 D'
L' B U F' L' B2 D2
L' B U F' B L' B
L2 B U L F' B' L'
L' B U F' B2 L' D
L' B U F' B2 L' D'
L' B U F' B2 L' D2
L' B U F' B2 D L'
L' B U F' B2 D' L'
L' B U F' B2 D2 L'
L2 B U L B' F' L'
L2 B U L2 F' L' B'
L' B U B F' L' B
L' B U B2 L F' L'
L' B U B2 L' F' L'
L' B U B2 L2 F' L'
L' B U B2 D F' L'
L' B U B2 D' F' L'
L' B U B2 D2 F' L'
L' B U B2 F' L' D
L' B U B2 F' L' D'
L' B U B2 F' L' D2
L' B U B2 F' D L'
L' B U B2 F' D' L'
L' B U B2 F' D2 L'
L2 B U F' L B' L2
L B U L' F' L' B'
L B U L2 F' B' L'
L B U L2 B' F' L'
L B U F' L' D2 B2
L B U F' D2 L' B2
L B U F' D2 B2 L'
L' B D L2 U F' L'
U B F L U F2 L'
