L D B2 R' F' L'
B' L D B2 R' F' L'
B2 L D B2 R' F' L'
B L D B2 R' F' L'
L2 R B U' R B U'
F L2 R B U' R U'
F' L2 U' R2 U' L F
F' L2 U2 L D F B2
F' L2 U2 L D B2 F
F' L2 U2 L F D B2
F' L2 U2 D L F B2
F' L2 U2 D L B2 F
R L2 B U' R B U'
F' L2 D U2 L F B2
F' L2 D U2 L B2 F
F L2 D R B U2 B
F L2 D' R F2 B U2
F L2 D' R B F2 U2
F' L2 D' F2 U2 L F
F R L2 B U' R U'
L2 U' R B L R U'
L2 U' R B R L U'
F R B L2 U' R U'
D2 R' D' F' L' R' B2
D2 R' D' F' R' L' B2
D2 R' D' F' R' B2 L'
D' R' F' L' D' R2 B
D2 R' F' R' D' L' B2
D2 R' F' R' D' B2 L'
D2 R' F' D' L' R' B2
D' R' F' D' L' R2 B
D2 R' F' D' R' L' B2
D2 R' F' D' R' B2 L'
D' R' F' D' R2 L' B
D' R' F' D' R2 B L'
D R' F2 U' F L' B2
D R' F2 U' F B2 L'
D R' F2 U' B2 F L'
L2 U2 D B L F B
L2 U2 D B L B F
D R' B2 D F' L' R2
D R' B2 D F' R2 L'
F R2 U L2 R' B U2
F' R2 U' L' F2 R F'
F R2 U R' L2 B U2
F R2 U R' B L2 U2
F' R2 U' D2 L' R2 F
F' R2 U' D2 L' F R2
F' R2 U' D2 R2 L' F
L2 U2 B L D F B2
L2 U2 B L D B2 F
L2 U2 B L F D B2
L2 U2 B D L F B2
L2 U2 B D L B2 F
L2 U2 B' D B2 L F
F' R2 D2 U' L' R2 F
F' R2 D2 U' L' F R2
F' R2 D2 U' R2 L' F
L2 D L' B2 R' F' L'
L' D L2 B2 R' F' L'
L2 D R B U2 B L
L2 D R' F' L' B2 R'
L D R' F' B2 L' R'
L D R' F' B2 R' L'
L D R' B2 F' L' R'
L D R' B2 F' R' L'
L2 D U2 B L F B
L2 D U2 B L B F
L2 D F R B U2 B
L2 D F' L' B2 R' F'
R' D F2 R' U' F L'
L D F' B2 L' R' F'
L D F' B2 R' L' F'
L2 D B U2 B L F
L D B2 L R' F' L'
L D B2 L' R' F' L'
L D B2 L2 R' F' L'
L D B2 R' L F' L'
L D B2 R' L' F' L'
L D B2 R' L2 F' L'
L D B2 R' D F' L'
L D B2 R' D' F' L'
L D B2 R' D2 F' L'
L D B2 R' F' L' D
L D B2 R' F' L' D'
L D B2 R' F' L' D2
L D B2 R' F' D L'
L D B2 R' F' D' L'
L D B2 R' F' D2 L'
L D B2 D R' F' L'
L D B2 D' R' F' L'
L D B2 D2 R' F' L'
L D B2 F' L' R' F'
L D B2 F' R' L' F'
L2 D' R' F2 U2 F L'
L2 D' F R F B U2
L2 D' F R B F U2
L2 D' F2 U2 L F L'
R2 D2 F' U' L' R2 F
R2 D2 F' U' L' F R2
R2 D2 F' U' R2 L' F
L2 F R B U' R U'
R2 F U L2 R U2 F'
R2 F U R L2 U2 F'
L2 F D R B U2 B
L2 F D' R F2 B U2
L2 F D' R B F2 U2
L2 F' L' D B2 R' F'
R2 F' U' L' F2 R F'
R2 F' U' D2 L' R2 F
R2 F' U' D2 L' F R2
R2 F' U' D2 R2 L' F
L2 F' D L' B2 R' F'
L2 F' D' F2 R B U2
L F' D B2 L' R' F'
L F' D B2 R' L' F'
R2 F' D2 U' L' R2 F
R2 F' D2 U' L' F R2
R2 F' D2 U' R2 L' F
U2 B L D F B2 R'
U2 B L D B2 R' F
U2 B L D B2 F R'
U2 B L F D B2 R'
R B L2 U' R B U'
D B2 R D R2 F' L'
D B2 R' D F' L' R2
D B2 R' D F' R2 L'
D B2 D R' F' L' R'
D B2 D R' F' R' L'
L B2 D R' F' L' B2
L B2 D R' F' B2 L'
L B2 D R' B2 F' L'
