B L U' R U' L
B L R' U' R2 U' L
B L R' U2 L D B2
B L R' U2 D L B2
B L R' D U2 L B2
B L R' D' F2 U2 L
B L R2 U' R' U' L
B L U F2 L' U L2
B L U' R U' L D
B L U' R U' L D'
B L U' R U' L D2
B L U' R U' D L
B L U' R U' D' L
B L U' R U' D2 L
B L U' R D U' L
B L U' R D' U' L
B L U' R D2 U' L
B L U' D R U' L
B L U' D' R U' L
B L U' D2 R U' L
B L U2 L U R U'
B L D U' R U' L
B L D' U' R U' L
B L D2 U' R U' L
B L F U2 D' L B'
B L F D' U2 L B'
B L F2 U L' U L2
B L F2 U2 L D' B2
L2 R' D B' R' F' B'
L2 R' D B' R' B' F'
L2 R' B D B2 R' F'
L2 R' B' D R' F' B2
L2 R' B' D R' B2 F'
R' L2 D B' R' F' B'
R' L2 D B' R' B' F'
B' L2 R' D B2 D F2
B' L2 R' D2 F2 D' B2
L2 R2 F' U R' F' U'
R2 L2 F' U R' F' U'
L2 R2 F' B' D' R' B
R2 L2 F' B' D' R' B
R' L2 B D B2 R' F'
R' L2 B' D R' F' B2
R' L2 B' D R' B2 F'
B' L2 D R' D F2 B2
B' L2 D R' D B2 F2
L2 R2 B' D' F' R' B
R2 L2 B' D' F' R' B
L2 R2 B' F' D' R' B
R2 L2 B' F' D' R' B
B' L2 D2 R' F2 D B2
B2 L2 F B D R' B
B2 L2 B R' D F B2
B2 L2 B R' D B2 F
B2 L2 B R' F D B2
B2 L2 B F D R' B
B' R U B2 U2 L2 R2
B' R U B2 U2 R2 L2
B2 R U B' L U2 L
B' R U' L2 R2 D2 F2
U' R U' L2 F R F'
B' R U' R2 L2 D2 F2
U' R U' F L2 R F'
B R U' L2 D F2 R
U' R U' F R L2 F'
U' R U' F R F' L2
U2 R F U' L2 R F'
U2 R F U' R L2 F'
U2 R F U' R F' L2
R U' L2 R D F' R
R U' R L2 D F' R
B' R B U' L2 R2 F'
B' R B U' R2 L2 F'
B' R B U' R2 F' L2
B' R B' U' L2 R2 F
B' R B' U' L2 F R2
B' R B' U' R2 L2 F
B R' L U' R2 U' L
B R' L U2 L D B2
B R' L U2 D L B2
B R' L D U2 L B2
B R' L D' F2 U2 L
B' R' L2 D B2 D F2
B' R' L2 D2 F2 D' B2
B' R' B' L2 D F B2
B' R' B' L2 D B2 F
B' R' B' L2 F D B2
B R2 L U' R' U' L
R U2 F U L2 R F'
R U2 F U R L2 F'
R U2 F U R F' L2
B U' R U L U2 L
B U' R D' B2 U' R'
B U' R B2 U' L2 R'
B U' R B2 U' R' L2
B U' D' R B2 U' R'
B U' D' B2 R U' R2
B U' B2 R U' L2 R2
B U' B2 R U' R2 L2
B U2 B2 L2 R' D B2
B U2 B2 R' L2 D B2
B D L U F2 L' U
R2 F' L2 U R' F' U'
R2 F' L2 B' D' R' B
R2 F' U R' F' U' L2
B D' L U' R B2 U'
B D' L U' B2 R U'
R2 F' B' L2 D' R' B
B D' U' R B2 U' R'
B D' U' B2 R U' R2
B D2 L R2 U' R' U'
B' D2 R U' F2 L' R2
B' D2 R U' F2 R2 L'
B' D2 R' F2 D B2 L
B D2 R2 L U' R' U'
D2 B L R2 U' R' U'
D' B L U' B R U'
L' B L U' R U' L2
L2 B L U' R U' L'
D B L U F2 L' U
D2 B R2 L U' R' U'
F2 B L U L2 U L'
F2 B L U2 D' L B2
F2 B L D F2 U2 L
F2 B L D' U2 L B2
B F L U2 D' L B'
B F L D' U2 L B'
F B L U2 D' L B'
R B U' L2 F2 R F'
F B L D' U2 L B'
R' B' L2 D R' F' B2
R' B' L2 D R' B2 F'
R2 B' L2 D' F' R' B
R2 B' L2 F' D' R' B
R' B' R2 U' L2 R F'
R' B' R2 U' R L2 F'
R' B' R2 U' R F' L2
L2 B' R' D B2 D F2
L2 B' R' D2 F2 D' B2
R B' U' L2 R F' R2
R B' U' R L2 F' R2
R B' U' R F' L2 R2
R B' U' R F' R2 L2
L2 B' D R' D F2 B2
L2 B' D R' D B2 F2
L2 B' D2 R' F2 D B2
R2 B' F' L2 D' R' B
U' B2 R U' L2 F R
D' B2 R U B' L U2
B F2 L U L2 U L'
B F2 L U2 D' L B2
B F2 L D F2 U2 L
B F2 L D' U2 L B2
