F R D' F2 U2 F R
R2 U' R B L F U'
U R' F' U B U2 L
R D F' L' B' R' B'
R D F' B' R' B' L'
R D B' F' R' B' L'
R D B2 D2 F' L' R
R D B2 D2 F' R L'
R D' F2 U2 F L' R
R D' F2 U2 F R L'
R F' L' D B' R' B'
R F' L' B D B2 R'
R F' L' B' D R' B2
R F' D L' B' R' B'
R F' D B' R' B' L'
R F' B D B2 L' R'
R F' B D B2 R' L'
R F' B' L' D R' B2
R F' B' D L' R' B2
R F' B' D R' L' B2
R F' B' D R' B2 L'
R B D F' B2 L' R'
R B D F' B2 R' L'
R B D B2 F' L' R'
R B D B2 F' R' L'
R B F' D B2 L' R'
R B F' D B2 R' L'
R2 B' R' D F' L' B2
R2 B' R' D F' B2 L'
R2 B' R' D B2 F' L'
R2 B' R' F' L' D B2
R2 B' R' F' D L' B2
R2 B' R' F' D B2 L'
R B' D F' L' R' B2
R B' D F' R' L' B2
R B' D F' R' B2 L'
R B' F' L' D R' B2
R B' F' D L' R' B2
R B' F' D R' L' B2
R B' F' D R' B2 L'
