U L' F' L' B' U'
U L2 F' B' L' U'
U L2 B' F' L' U'
L2 U F' B' L' U'
L2 U B' F' L' U'
R' D' F' R D' L2
R' D' F' D' L2 R
R' D' F' D' R L2
U F' L' U' D' L2
U F' L' U2 F2 U
U F' L' D' U' L2
U F' L' D2 B2 U'
U F' U2 F2 R U
U F' D' L' U' L'
U F' D2 L' B2 U'
U F' D2 B2 L' U'
U L F' L B' L2 U'
U L F' L' U2 F U
U L' D F' L' B' U'
U L' D' F' L' B' U'
U L' D2 F' L' B' U'
U L' F' L' D B' U'
U L' F' L' D' B' U'
U L' F' L' D2 B' U'
U L' F' L' B' U' D
U L' F' L' B' U' D'
U L' F' L' B' U' D2
U L' F' L' B' D U'
U L' F' L' B' D' U'
U L' F' L' B' D2 U'
U L' F' D L' B' U'
U L' F' D' L' B' U'
U L' F' D2 L' B' U'
U L' F' B L' B' U'
U L' F' B' L' B' U'
U L' F' B2 L' B' U'
U L' B F' L' B' U'
U2 L' B' U' F' U' L'
U L' B' F' L' B' U'
U L' B2 F' L' B' U'
D2 L2 U F' B' L' U'
D' L2 U F' B' L' U'
D2 L2 U B' F' L' U'
D' L2 U B' F' L' U'
D L2 U F' B' L' U'
D L2 U B' F' L' U'
F2 L2 U' F' B' R' U
F2 L2 U' B' F' R' U
U L2 D F' B' L' U'
U L2 D B' F' L' U'
U L2 D' F' B' L' U'
L2 U L F' L' B' U'
U L2 D' B' F' L' U'
L U L F' B' L' U'
L U L B' F' L' U'
U L2 D2 F' B' L' U'
U L2 D2 B' F' L' U'
L U L2 F' L' B' U'
U L2 F' D B' L' U'
U L2 F' D' B' L' U'
U L2 F' D2 B' L' U'
U L2 F' B L' B2 U'
U L2 F' B' L' U' D
U L2 F' B' L' U' D'
U L2 F' B' L' U' D2
U L2 F' B' L' D U'
U L2 F' B' L' D' U'
U L2 F' B' L' D2 U'
U L2 F' B' D L' U'
U L2 F' B' D' L' U'
U L2 F' B' D2 L' U'
U L2 F' B2 L' B U'
U L2 B F' L' B2 U'
U L2 B' L F' L' U'
U L2 B' L' F' L' U'
U L2 B' L2 F' L' U'
L2 U D F' B' L' U'
U L2 B' D F' L' U'
U L2 B' D' F' L' U'
L2 U D B' F' L' U'
U L2 B' D2 F' L' U'
U L2 B' F' L' U' D
U L2 B' F' L' U' D'
U L2 B' F' L' U' D2
U L2 B' F' L' D U'
U L2 B' F' L' D' U'
U L2 B' F' L' D2 U'
U L2 B' F' D L' U'
U L2 B' F' D' L' U'
U L2 B' F' D2 L' U'
L2 U D' F' B' L' U'
L2 U D' B' F' L' U'
U L2 B2 F' L' B U'
L2 U D2 F' B' L' U'
L2 U D2 B' F' L' U'
L' U F' L' B U' L
L U F' L B' L2 U'
L U F' L' U2 F U
L' U F' B L' U' L2
L2 U F' D B' L' U'
L2 U F' D' B' L' U'
L2 U F' D2 B' L' U'
L2 U F' B L' B2 U'
L2 U F' B' L' U' D
L2 U F' B' L' U' D'
L2 U F' B' L' U' D2
L2 U F' B' L' D U'
L2 U F' B' L' D' U'
L2 U F' B' L' D2 U'
L2 U F' B' D L' U'
L2 U F' B' D' L' U'
L2 U F' B' D2 L' U'
L2 U F' B2 L' B U'
L' U B F' L' U' L2
L2 U B F' L' B2 U'
L2 U B' L F' L' U'
L2 U B' L' F' L' U'
L2 U B' L2 F' L' U'
L2 U B' D F' L' U'
L2 U B' D' F' L' U'
L2 U B' D2 F' L' U'
L2 U B' F' L' U' D
L2 U B' F' L' U' D'
L2 U B' F' L' U' D2
L2 U B' F' L' D U'
L2 U B' F' L' D' U'
L2 U B' F' L' D2 U'
L2 U B' F' D L' U'
L2 U B' F' D' L' U'
L2 U B' F' D2 L' U'
L2 U B2 F' L' B U'
R2 U' D F B R' U
R' U' D' F U F2 R
R2 U' D B R' F U
R2 U' D B F R' U
R' U' F R' B U F2
R2 U' F D B R' U
R2 U' F B R U F'
R2 U' B R F U F2
R2 U' B F R U F'
D2 R' D' F' R D' L2
D' R' D' F' R D' L2
D2 R' D' F' D' L2 R
D2 R' D' F' D' R L2
D' R' D' F' D' L2 R
D' R' D' F' D' R L2
D R' D' F' R D' L2
D R' D' F' D' L2 R
D R' D' F' D' R L2
F' R' D2 B2 U' F' B2
F' R' D2 B2 U' B2 F'
F R' D2 B2 U F' B2
F R' D2 B2 U B2 F'
U' R' F B' R' B U
U' R' B' R' F B U
U' R' B' R' B F U
U' R' B' F R' B U
U' R2 F B U2 L U'
U' R2 F B' R' B2 U
U' R2 B F U2 L U'
U' R2 B' R' F B2 U
U' R2 B' R' B2 F U
U' R2 B' F R' B2 U
L2 D U F' B' L' U'
L2 D U B' F' L' U'
R2 D U' F B R' U
R2 D U' B R' F U
R2 D U' B F R' U
D' U L' F' L' B' U'
D2 U L' F' L' B' U'
D U L' F' L' B' U'
R2 D F B R' U B'
D' U L2 F' B' L' U'
D2 U L2 F' B' L' U'
D' U L2 B' F' L' U'
D2 U L2 B' F' L' U'
U D L' F' L' B' U'
D U L2 F' B' L' U'
D U L2 B' F' L' U'
U D L2 F' B' L' U'
U D L2 B' F' L' U'
R2 D B R' F U B'
R2 D B F R' U B'
D' U F' L' U' D' L2
D' U F' L' U2 F2 U
D' U F' L' D' U' L2
D' U F' L' D2 B2 U'
D2 U F' L' U' D' L2
D2 U F' L' U2 F2 U
D2 U F' L' D' U' L2
D2 U F' L' D2 B2 U'
D' U F' U2 F2 R U
D2 U F' U2 F2 R U
D' U F' D' L' U' L'
D' U F' D2 L' B2 U'
D2 U F' D' L' U' L'
D' U F' D2 B2 L' U'
D2 U F' D2 L' B2 U'
D2 U F' D2 B2 L' U'
D U F' L' U' D' L2
D U F' L' U2 F2 U
D U F' L' D' U' L2
D U F' L' D2 B2 U'
U D F' L' U' D' L2
U D F' L' U2 F2 U
U D F' L' D' U' L2
U D F' L' D2 B2 U'
D U F' U2 F2 R U
D U F' D' L' U' L'
D U F' D2 L' B2 U'
D U F' D2 B2 L' U'
U D F' U2 F2 R U
U D F' D' L' U' L'
U D F' D2 L' B2 U'
U D F' D2 B2 L' U'
F2 U F U2 R F2 U
F U F' L' F' U' L
R' D' U' F U F2 R
L2 D' U F' B' L' U'
L2 D' U B' F' L' U'
U D' L' F' L' B' U'
U D' L2 F' B' L' U'
R' D' F' L R D' L2
U D' L2 B' F' L' U'
R' D' F' L D' L2 R
R' D' F' L D' R L2
R' D' F' L' R D' L2
R' D' F' L' D' L2 R
R' D' F' L' D' R L2
R' D' F' L2 R D' L2
R' D' F' L2 D' L2 R
R' D' F' L2 D' R L2
R' D' F' R L D' L2
R' D' F' R L' D' L2
R' D' F' R L2 D' L2
R' D' F' R U' F2 U
R' D' F' R D' L2 D
R' D' F' R D' L2 D'
R' D' F' R D' L2 D2
R' D' F' R2 D' L2 R'
R' D' F' R2 D' R' L2
R' D' F' D' L2 R D
R' D' F' D' L2 R D'
R' D' F' D' L2 R D2
R' D' F' D' L2 D R
R' D' F' D' L2 D' R
R' D' F' D' L2 D2 R
R' D' F' D' R L2 D
R' D' F' D' R L2 D'
R' D' F' D' R L2 D2
R' D' F' D2 R D L2
F' U' R F2 U R' F'
U D' F' L' U' D' L2
U D' F' L' U2 F2 U
U D' F' L' D' U' L2
U D' F' L' D2 B2 U'
U D' F' U2 F2 R U
U D' F' D' L' U' L'
U D' F' D2 L' B2 U'
U D' F' D2 B2 L' U'
F' U' F2 R U R' F'
F' U' F2 B' R' U R
U D2 L' F' L' B' U'
F' U' B' F2 R' U R
U D2 L2 F' B' L' U'
U D2 L2 B' F' L' U'
L2 D2 U F' B' L' U'
L2 D2 U B' F' L' U'
U D2 F' L' U' D' L2
U D2 F' L' U2 F2 U
U D2 F' L' D' U' L2
U D2 F' L' D2 B2 U'
U D2 F' U2 F2 R U
U D2 F' D' L' U' L'
U D2 F' D2 L' B2 U'
U D2 F' D2 B2 L' U'
R' F R' B U F2 B'
R' F R' B U B' F2
U F R U2 R' F2 U'
U F R U2 F2 R' U'
U F R D2 B2 L U
U' F U R D R2 F'
U' F U R' D F' R2
U' F U D R' F' R'
U' F U2 F' L' F' U'
U' F D R' U R' F'
U' F D U R' F' R'
U' F D B' R' U R'
R2 F D B R' U B'
U' F D2 B' R' B' U
U' F B U2 L F2 U'
U' F B U2 F2 L U'
U' F B D2 B2 R' U
U' F B' R' U D R2
U' F B' R' U2 F2 U'
U' F B' R' D U R2
U' F B' R' D2 B2 U
U F D2 R B2 L U
U' F B' D R' U R'
R2 F B R U F' B'
R2 F B R U B' F'
U' F B' D2 R' B2 U
U F' L' U D R2 U2
U F' L' U' L D' L2
U F' L' U' L' D' L2
U F' L' U' L2 D' L2
U F' L' U' D' L2 D
U F' L' U' D' L2 D'
U F' L' U' D' L2 D2
U F' L' U2 F2 U D
U F' L' U2 F2 U D'
U F' L' U2 F2 U D2
U F' L' U2 F2 D U
U F' L' U2 F2 D' U
U F' L' U2 F2 D2 U
U F' L' D U R2 U2
U F' L' D' U' L2 D
U F' L' D' U' L2 D'
U F' L' D' U' L2 D2
U F' L' D' B U' L2
U F' L' D' B' U' L2
U F' L' D' B2 U' L2
U F' L' D2 B2 U' D
U F' L' D2 B2 U' D'
U F' L' D2 B2 U' D2
U F' L' D2 B2 D U'
U F' L' D2 B2 D' U'
U F' L' D2 B2 D2 U'
U F' L' B U' D' L2
U F' L' B U2 F2 U
U F' L' B D' U' L2
U F' L' B D2 B2 U'
U F' L' B' U' D' L2
U F' L' B' U2 F2 U
U F' L' B' D' U' L2
U F' L' B' D2 B2 U'
U F' L' B2 U' D' L2
U F' L' B2 U2 F2 U
U F' L' B2 D' U' L2
U F' L' B2 D2 B2 U'
R' F' R' U' F2 B U
R' F' R' U' B F2 U
U F' L2 D' L U' L
U F' L2 D2 L B2 U'
R2 F' R D' L2 F' R
R2 F' R D' F' L2 R
R2 F' R D' F' R L2
L2 F' R' B' U' F' B
L2 F' R' B' U' B F'
R F' R2 D' L2 F' R
R F' R2 D' F' L2 R
R F' R2 D' F' R L2
R' F' D' L2 F' R F
U F' U2 R F2 R U
U F' U2 R' F2 R U
U F' U2 R2 F2 R U
R' F' D' F' R F L2
U F' U2 F2 R U D
U F' U2 F2 R U D'
U F' U2 F2 R U D2
U F' U2 F2 R D U
U F' U2 F2 R D' U
U F' U2 F2 R D2 U
U F' U2 F2 D R U
U F' U2 F2 D' R U
U F' U2 F2 D2 R U
U F' D L' U R2 U2
U F' D L' U' D2 L2
U F' D L' D B2 U'
U F' D L' D2 U' L2
U F' D' L' U' L' D
U F' D' L' U' L' D'
U F' D' L' U' L' D2
U F' D' L' U' D L'
U F' D' L' U' D' L'
U F' D' L' U' D2 L'
U F' D' L' D U' L'
U F' D' L' D' U' L'
U F' D' L' D2 U' L'
U F' D' L' B U' L'
U F' D' L' B' U' L'
U F' D' L' B2 U' L'
U F' D' B L' U' L'
U F' D' B' L' U' L'
U F' D' B2 L' U' L'
U F' D2 L B2 L2 U'
U F' D2 L' U' D L2
U F' D2 L' D U' L2
U F' D2 L' B2 U' D
U F' D2 L' B2 U' D'
U F' D2 L' B2 U' D2
U F' D2 L' B2 D U'
U F' D2 L' B2 D' U'
U F' D2 L' B2 D2 U'
U F' D2 B L' B U'
U F' D2 B2 L' U' D
U F' D2 B2 L' U' D'
U F' D2 B2 L' U' D2
U F' D2 B2 L' D U'
U F' D2 B2 L' D' U'
U F' D2 B2 L' D2 U'
U F' D2 B2 D L' U'
U F' D2 B2 D' L' U'
U F' D2 B2 D2 L' U'
U F' B L' U' D' L2
U F' B L' U2 F2 U
U F' B L' D' U' L2
U F' B L' D2 B2 U'
U F' B U2 F2 R U
U F' B D' L' U' L'
U F' B D2 L' B2 U'
U F' B D2 B2 L' U'
U F' B' L' U' D' L2
U F' B' L' U2 F2 U
U F' B' L' D' U' L2
U F' B' L' D2 B2 U'
U F' B' U2 F2 R U
U F' B' D' L' U' L'
U F' B' D2 L' B2 U'
U F' B' D2 B2 L' U'
U F' B2 L' U' D' L2
U F' B2 L' U2 F2 U
U F' B2 L' D' U' L2
U F' B2 L' D2 B2 U'
U F' B2 U2 F2 R U
U F' B2 D' L' U' L'
U F' B2 D2 L' B2 U'
U F' B2 D2 B2 L' U'
F' D2 R' B2 U' F' B2
F' D2 R' B2 U' B2 F'
F D2 R' B2 U F' B2
F D2 R' B2 U B2 F'
U B L' F' L' B' U'
U B L2 F' B' L' U'
R2 B R F U F2 B'
R2 B R F U B' F2
U B L2 B' F' L' U'
F' D2 B2 R' U' F' B2
F' D2 B2 R' U' B2 F'
F D2 B2 R' U F' B2
F D2 B2 R' U B2 F'
R B U F U R B'
R B U F U B' R
U' B F U2 L F2 U'
U' B F U2 F2 L U'
U' B F D2 B2 R' U
R2 B F R U F' B'
R2 B F R U B' F'
U B F' L' U' D' L2
U B F' L' U2 F2 U
U B F' L' D' U' L2
U B F' L' D2 B2 U'
U B F' U2 F2 R U
U B F' D' L' U' L'
U B F' D2 L' B2 U'
U B F' D2 B2 L' U'
U B' L' F' L' B' U'
U B' L2 F' B' L' U'
U B' L2 B' F' L' U'
U' B' R2 B R F U
U' B' F R' U D R2
U' B' F R' U2 F2 U'
U' B' F R' D U R2
U' B' F R' D2 B2 U
U' B' F D R' U R'
U' B' F D2 R' B2 U
U B' F' L' U' D' L2
U B' F' L' U2 F2 U
U B' F' L' D' U' L2
U B' F' L' D2 B2 U'
U B' F' U2 F2 R U
U B' F' D' L' U' L'
U B' F' D2 L' B2 U'
U B' F' D2 B2 L' U'
U B2 L' F' L' B' U'
U B2 L2 F' B' L' U'
U B2 L2 B' F' L' U'
U' B2 R2 F B R' U
U' B2 R2 B R' F U
U' B2 R2 B F R' U
U B2 F' L' U' D' L2
U B2 F' L' U2 F2 U
U B2 F' L' D' U' L2
U B2 F' L' D2 B2 U'
U B2 F' U2 F2 R U
U B2 F' D' L' U' L'
U B2 F' D2 L' B2 U'
U B2 F' D2 B2 L' U'
