B L D L2 F2 R B
B' L' R U L' U2 B
B' L' R F2 U' B R
B' L' R' U L' F' U2
B' L' F2 R' U' R2 B
B' L' F2 R2 U' R' B
B' L2 U' L U' L' B'
B' R L' U L' U2 B
B' R L' F2 U' B R
L2 U F U2 L R U'
L2 U F U2 R L U'
B' R D L' F2 U' B
B' R D2 L' U' B R2
L2 U' L2 B' L' R' U'
L2 U' L2 B' R' L' U'
D2 R B' L' U' R B2
D2 R B' L' U' B2 R
D R B' L' F2 U' B2
B' R' L' U L' F' U2
B' R' D2 L' U' R2 B
R D B' L' F2 U' B2
U' D B' L' R' F2 U'
U' D B' L' F2 R' U'
U' D B' R' L' F2 U'
U2 D B' L' F2 U' B'
D2 U' B' L' R' U' R'
D2 U' B' R' L' U' R'
D U' B' L' R' F2 U'
D U' B' L' F2 R' U'
D U' B' R' L' F2 U'
U' D2 B' L' R' U' R'
R' D2 B' L' U' R2 B
D2 U2 B' L' U' R2 B'
D2 U2 B' L' U' B' R2
U' D2 B' R' L' U' R'
U2 D2 B' L' U' R2 B'
U2 D2 B' L' U' B' R2
D U2 B' L' F2 U' B'
R D2 B' L' U' R2 B2
R D2 B' L' U' B2 R2
B' D L' R F2 U' B
B' D L' F2 R U' B
B' D R L' F2 U' B
B' D2 L' R U' B R
B' D2 R L' U' B R
R B L D L2 F2 R
B D2 F2 R U B R
U' B' L' R' U L' U2
U' B' L' R' F2 U' R
D2 B' L' R U' B R
R' B' L' U L' F' U2
U' B' L' F2 R' U' R2
D B' L' R F2 U' B
U2 B' L' F2 U' R B'
U2 B' L' F2 U' B' R
D2 B' R L' U' B R
D B' L' F2 R U' B
U B' L' U L' U2 B'
U' B' R' L' U L' U2
U' B' R' L' F2 U' R
R B' L' U L' U2 B2
U' B' R' D L' F2 U'
U' B' R' D2 L' U' R2
R B' L' F2 U' R B2
R B' L' F2 U' B2 R
D B' R L' F2 U' B
U' B' D L' R' F2 U'
U' B' D L' F2 R' U'
U' B' D R' L' F2 U'
U2 B' D L' F2 U' B'
U' B' D2 L' R' U' R'
U' B' D2 R' L' U' R'
R' B' D2 L' U' R2 B
R B' D L' F2 R U'
U2 B' D2 L' U' R2 B'
U2 B' D2 L' U' B' R2
D' B2 U2 L' B U' B2
D' B2 U2 B L' U' B'
