B R' D L2 F2 B
B R' D L2 B F2
B R' D F2 L2 B
B R' D F2 B L2
B R' D B L2 F2
B R' D B F2 L2
R' B R' D L2 F2
R' B R' D F2 L2
R' B D L2 R' F2
R' B D L2 F2 R'
R' B D R' L2 F2
R' B D R' F2 L2
R' B D F2 L2 R'
R' B D F2 R' L2
D L B' L F U F
L2 R' U2 F U B R'
R' L2 U2 F U B R'
B' L2 R U L' F' U2
B' L2 R' U L' U2 B
B L2 R B2 U' R2 B
B' L2 R' F2 U' B R
B' L2 U D2 L' F U2
B L2 U' R' D L2 B
B L2 U' R' D B L2
B' L2 D' F2 U' R B
B' L2 D2 U L' F U2
B' L2 F2 R' U' B R2
B' L2 F2 U' R' B R2
B2 L2 B U' B2 R' B
B L2 B2 U' B2 R' B
B' R L2 U L' F' U2
B R L2 B2 U' R2 B
R' U B R' D L2 F2
R' U B R' D F2 L2
R' U B D L2 R' F2
R' U B D L2 F2 R'
R' U B D R' L2 F2
R' U B D R' F2 L2
R' U B D F2 L2 R'
R' U B D F2 R' L2
B R B2 L2 U' R2 B
B' R' L2 U L' U2 B
B' R' L2 F2 U' B R
B R' U L2 B2 U' B'
R' U' B R' D L2 F2
R' U' B R' D F2 L2
R' U' B D L2 R' F2
R' U' B D L2 F2 R'
R' U' B D R' L2 F2
R' U' B D R' F2 L2
R' U' B D F2 L2 R'
R' U' B D F2 R' L2
B R' D L F2 L B
B R' D L' B L' F2
B R' D L2 F2 D B
B R' D L2 F2 D' B
B R' D L2 F2 D2 B
B R' D L2 F2 B D
B R' D L2 F2 B D'
B R' D L2 F2 B D2
B R' D L2 B F2 D
B R' D L2 B F2 D'
B R' D L2 B F2 D2
B R' D F' L2 F' B
B R' D F' L2 B F'
B R' D F' B L2 F'
B R' D F2 L' B L'
B R' D F2 L2 D B
B R' D F2 L2 D' B
B R' D F2 L2 D2 B
B R' D F2 L2 B D
B R' D F2 L2 B D'
B R' D F2 L2 B D2
B R' D F2 B L2 D
B R' D F2 B L2 D'
B R' D F2 B L2 D2
B R' D F2 B' L2 B2
B R' D B L F2 L
B R' D B L2 F2 D
B R' D B L2 F2 D'
B R' D B L2 F2 D2
B R' D B F' L2 F'
B R' D B F2 L2 D
B R' D B F2 L2 D'
B R' D B F2 L2 D2
B R' D B' L2 F2 B2
B R' D B' L2 B2 F2
B R' D B' F2 L2 B2
B R' D2 B D' L2 F2
B R' D2 B D' F2 L2
B R' F D L2 F2 B
B R' F D L2 B F2
B R' F D F2 L2 B
B R' F D F2 B L2
B R' F D B L2 F2
B R' F D B F2 L2
B R' F' D L2 F2 B
B R' F' D L2 B F2
B R' F' D F2 L2 B
B R' F' D F2 B L2
B R' F' D B L2 F2
B R' F' D B F2 L2
B R' F2 D L2 F2 B
B R' F2 D L2 B F2
B R' F2 D F2 L2 B
B R' F2 D F2 B L2
B R' F2 D B L2 F2
U' R' B R' D L2 F2
U' R' B R' D F2 L2
B R' F2 D B F2 L2
F' R' B R' D L2 F2
F' R' B R' D F2 L2
F2 R' B R' D L2 F2
F2 R' B R' D F2 L2
F' R' B D L2 R' F2
F' R' B D L2 F2 R'
U' R' B D L2 R' F2
F' R' B D R' L2 F2
U' R' B D L2 F2 R'
F' R' B D R' F2 L2
U' R' B D R' L2 F2
U' R' B D R' F2 L2
F' R' B D F2 L2 R'
F' R' B D F2 R' L2
U2 R' B R' D L2 F2
U2 R' B R' D F2 L2
U' R' B D F2 L2 R'
U' R' B D F2 R' L2
F2 R' B D L2 R' F2
F2 R' B D L2 F2 R'
F2 R' B D R' L2 F2
F2 R' B D R' F2 L2
F2 R' B D F2 L2 R'
F2 R' B D F2 R' L2
U2 R' B D L2 R' F2
U2 R' B D L2 F2 R'
U2 R' B D R' L2 F2
U2 R' B D R' F2 L2
B R' B U L2 B U'
U2 R' B D F2 L2 R'
U2 R' B D F2 R' L2
B R' B U B L2 U'
F R' B R' D L2 F2
F R' B R' D F2 L2
U R' B R' D L2 F2
U R' B R' D F2 L2
F R' B D L2 R' F2
F R' B D L2 F2 R'
F R' B D R' L2 F2
F R' B D R' F2 L2
F R' B D F2 L2 R'
F R' B D F2 R' L2
U R' B D L2 R' F2
U R' B D L2 F2 R'
U R' B D R' L2 F2
U R' B D R' F2 L2
U R' B D F2 L2 R'
U R' B D F2 R' L2
L2 U2 F U R' B R'
L2 U2 F U B R' B
L2 U2 F B U R' B
R' U2 B R' D L2 F2
R' U2 B R' D F2 L2
R' U2 B D L2 R' F2
R' U2 B D L2 F2 R'
R' U2 B D R' L2 F2
R' U2 B D R' F2 L2
R' U2 B D F2 L2 R'
R' U2 B D F2 R' L2
L2 U2 B F U R' B
B R2 D L2 R F2 B
B R2 D L2 R B F2
B R2 D R L2 F2 B
B R2 D R L2 B F2
B R2 D R F2 L2 B
B R2 D R F2 B L2
B R2 D R B L2 F2
B R2 D R B F2 L2
B U R' D L2 F2 B
B U R' D L2 B F2
B U R' D F2 L2 B
B U R' D F2 B L2
B U R' D B L2 F2
B U R' D B F2 L2
B U' R' D L2 F2 B
B U' R' D L2 B F2
B U' R' D F2 L2 B
B U' R' D F2 B L2
B U' R' D B L2 F2
B U' R' D B F2 L2
B' U' B2 R' D F2 B
B' U' B2 R' D B F2
B' U' B2 R' B D F2
B U2 R' D L2 F2 B
B U2 R' D L2 B F2
B U2 R' D F2 L2 B
B U2 R' D F2 B L2
B U2 R' D B L2 F2
B U2 R' D B F2 L2
B D L2 F2 D' R' B
R' F B R' D L2 F2
R' F B R' D F2 L2
R' F B D L2 R' F2
R' F B D L2 F2 R'
R' F B D R' L2 F2
R' F B D R' F2 L2
R' F B D F2 L2 R'
R' F B D F2 R' L2
B D F2 L2 D' R' B
R' F' B R' D L2 F2
R' F' B R' D F2 L2
R' F' B D L2 R' F2
R' F' B D L2 F2 R'
R' F' B D R' L2 F2
R' F' B D R' F2 L2
R' F' B D F2 L2 R'
R' F' B D F2 R' L2
R' F2 B R' D L2 F2
R' F2 B R' D F2 L2
R' F2 B D L2 R' F2
R' F2 B D L2 F2 R'
R' F2 B D R' L2 F2
R' F2 B D R' F2 L2
R' F2 B D F2 L2 R'
R' F2 B D F2 R' L2
R' B L2 B2 U' B2 R'
U' B R' D L2 F2 B
U' B R' D L2 B F2
R' B R' U L2 B2 U'
U' B R' D F2 L2 B
U' B R' D F2 B L2
U' B R' D B L2 F2
U' B R' D B F2 L2
R' B R' U B2 L2 U'
R' B R' D L F2 L
R' B R' D L2 F2 D
R' B R' D L2 F2 D'
R' B R' D L2 F2 D2
R' B R' D F' L2 F'
R' B R' D F2 L2 D
R' B R' D F2 L2 D'
R' B R' D F2 L2 D2
R' B R' F D L2 F2
R' B R' F D F2 L2
R' B R' F' D L2 F2
R' B R' F' D F2 L2
R' B R' F2 D L2 F2
R' B R' F2 D F2 L2
U2 B R' D L2 F2 B
U2 B R' D L2 B F2
U2 B R' D F2 L2 B
U2 B R' D F2 B L2
U2 B R' D B L2 F2
U2 B R' D B F2 L2
R' B R2 D L2 R F2
R' B R2 D R L2 F2
R' B R2 D R F2 L2
R2 B R' D F2 L2 B'
U B R' D L2 F2 B
U B R' D L2 B F2
U B R' D F2 L2 B
U B R' D F2 B L2
U B R' D B L2 F2
U B R' D B F2 L2
R' B D L R' F2 L
R' B D L F2 L R'
R' B D L F2 R' L
R' B D L2 R F2 R2
R' B D L2 R' F2 D
R' B D L2 R' F2 D'
R' B D L2 R' F2 D2
R' B D L2 F R' F
R' B D L2 F2 R' D
R' B D L2 F2 R' D'
R' B D L2 F2 R' D2
R' B D L2 F2 D R'
R' B D L2 F2 D' R'
R' B D L2 F2 D2 R'
R' B D R L2 F2 R2
R' B D R F2 L2 R2
R' B D R F2 R2 L2
R' B D R' L F2 L
R' B D R' L2 F2 D
R' B D R' L2 F2 D'
R' B D R' L2 F2 D2
R' B D R' F' L2 F'
R' B D R' F2 L2 D
R' B D R' F2 L2 D'
