L' U R U L B
U' L R U' L2 U2 B'
U' L R U' F L2 U2
B L R U D2 L' R2
B L R U D2 R2 L'
B L R U' L2 U2 L
B L R D' B2 U L'
B L R D2 U L' R2
B L R D2 U R2 L'
L2 R U' L F U2 L
L R U' L2 U2 L B'
R L U' L2 U2 L B'
B L D' R B2 U L'
B L D' B2 R U L'
B L D2 R U L' R
B L D2 R U R L'
D2 L' U R U L B
D' L' U R U L B
U2 L' U L' R U B'
U2 L' U R L' U B'
D L' U R U L B
B L' U L2 R U L'
B L' U R L2 U L'
F2 L' U' L' R B' L2
F2 L' U' L' B' L2 R
F2 L' U' L' B' R L2
F2 L' U' R L' B' L2
R L2 U' L F U2 L
U' L2 R U' L U2 B'
L' U L' R U L2 B
L' U L' R U B L2
L' U L2 R U L' B
L' U L2 R U B L'
L' U R L' U L2 B
L' U R L' U B L2
L' U R L2 U L' B
L' U R L2 U B L'
L' U R U L D B
L' U R U L D' B
L' U R U L D2 B
L' U R U L B D
L' U R U L B D'
L' U R U L B D2
L' U R U L' B L2
L' U R U L2 B L'
L' U R U D L B
L' U R U D' L B
L' U R U D2 L B
L' U R D U L B
L' U R D' U L B
L' U R D2 U L B
L' U R F U L B
L' U R F' U L B
L' U R F2 U L B
L' U D R U L B
L' U D' R U L B
U' R L U' L2 U2 B'
U' R L U' F L2 U2
L' U D2 R U L B
B R L U D2 L' R2
B R L U D2 R2 L'
B R L U' L2 U2 L
B R L D' B2 U L'
B R L D2 U L' R2
B R L D2 U R2 L'
U' R L2 U' L U2 B'
F2 R U L' R U' B
F2 R U R L' U' B
U2 R U' L' R' F' U2
U2 R U' R' L' F' U2
U R U' L' U2 L B
B R F2 L U L' R
B R F2 L U R L'
F2 R B' U L' R' U'
F2 R B' U R' L' U'
B2 R' D' R' F2 B R
B2 R' D' R' B F2 R
B2 R' D' R2 F2 R B
L' U2 L U' R U B
B2 R' D' F2 R' B R2
L' D U R U L B
F2 U L' R' U' R2 B
F2 U L' R2 U' R' B
B' U R' U' D' F2 R
F2 U R' L' U' R2 B
B' U R' D' U' F2 R
F2 U R2 L' U' R' B
B' U F2 L' R' U' R2
B' U F2 R' L' U' R2
L' D' U R U L B
B U' L R U D2 R2
B U' L R U' L2 U2
B U' L R D' B2 U
B U' L R D2 U R2
B U' L D' R B2 U
B U' L D' B2 R U
B U' L D2 R U R
R' D' F2 B' R D B2
B U' R L U D2 R2
B U' R L U' L2 U2
B U' R L D' B2 U
B U' R L D2 U R2
R' D' B' F2 R D B2
L D2 R U L' R B
L D2 R U R L' B
L D2 R U R B L'
L' D2 U R U L B
B U2 L' U L2 R U
B U2 L' U R L2 U
B2 D' R' D' F2 B R
B2 D' R' D' B F2 R
B2 D' R' B D' F2 R
R F2 L U L' R B
R F2 L U R L' B
R F2 L U R B L'
U F2 L' R' U' R2 B
U F2 L' R2 U' R' B
R F2 L' U L R B
R F2 L' U R L B
R F2 L2 U L2 R B
R F2 L2 U R L2 B
R F2 L2 U R B L2
U F2 R' L' U' R2 B
U F2 R2 L' U' R' B
L' F2 U' L' U' B' L2
R F2 B L U L' R
R F2 B L U R L'
R B L U D2 L' R2
R B L U D2 R2 L'
R B L U' L2 U2 L
R B L D' B2 U L'
R B L D2 U L' R2
R B L D2 U R2 L'
R B F2 L U L' R
R B F2 L U R L'
F2 B' L' R' U' L R2
F2 B' L' R' U' R2 L
F2 B' R U L' R2 U'
F2 B' R U R2 L' U'
F2 B' R' L' U' L R2
F2 B' R' L' U' R2 L
R' B' D' F2 R D B2
F2 B' U L' R' U' R2
F2 B' U R' L' U' R2
B' F2 L' R' U' L R2
B' F2 L' R' U' R2 L
B' F2 R U L' R2 U'
B' F2 R U R2 L' U'
B' F2 R' L' U' L R2
B' F2 R' L' U' R2 L
B' F2 U L' R' U' R2
B' F2 U R' L' U' R2
R' B2 D' R' F2 B R
R' B2 D' R' B F2 R
R' B2 D' R2 F2 R B
R' B2 D' F2 R' B R2
