U2 L' U' F L R
U2 L' U' F R L
L2 U B' L2 R' U
L2 U B' R' L2 U
U2 D F L' U' L
D U2 F L' U' L
U2 F L' U' F L
F' L B' U' F2 R U'
U2 L' U' R F L R
U2 L' U' R F R L
U2 L' U' R' F L R
U2 L' U' R' F R L
U2 L' U' R2 F L R
U2 L' U' R2 F R L
U2 L' U' D F L R
U2 L' U' D F R L
U2 L' U' D' F L R
U2 L' U' D' F R L
U2 L' U' D2 F L R
U2 L' U' D2 F R L
U2 L' U' F L R D
U2 L' U' F L R D'
U2 L' U' F L R D2
U2 L' U' F L D R
U2 L' U' F L D' R
U2 L' U' F L D2 R
U2 L' U' F R L D
U2 L' U' F R L D'
U2 L' U' F R L D2
U2 L' U' F R D L
U2 L' U' F R D' L
U2 L' U' F R D2 L
U2 L' U' F D L R
U2 L' U' F D R L
U2 L' U' F D' L R
U2 L' U' F D' R L
U2 L' U' F D2 L R
U2 L' U' F D2 R L
U2 L' U' F2 L F' R
F L' U2 L U L' F
U2 L' D U' F L R
U2 L' D U' F R L
U2 L' D' U' F L R
U2 L' D' U' F R L
U2 L' D2 U' F L R
U2 L' D2 U' F R L
U L' B U F B' R'
U L' B U B' R' F
U L' B U B' F R'
B' L2 U B' L2 R' U
B' L2 U B' R' L2 U
B2 L2 U B' L2 R' U
B2 L2 U B' R' L2 U
B L2 U B' L2 R' U
B L2 U B' R' L2 U
L2 U R B' L2 R' U
L2 U R B' R' L2 U
L2 U R' B' L2 R' U
L2 U R' B' R' L2 U
L2 U R2 B' L2 R' U
L2 U R2 B' R' L2 U
U L2 B' L U F B
U L2 B' L U B F
L2 U D' B' R' U B'
R' U F2 L' F D R2
L2 U B' L2 R' U D
L2 U B' L2 R' U D'
L2 U B' L2 R' U D2
L2 U B' L2 R' D U
L2 U B' L2 R' D' U
L2 U B' L2 R' D2 U
L2 U B' L2 D R' U
L2 U B' L2 D' R' U
L2 U B' L2 D2 R' U
L2 U B' R' L2 U D
L2 U B' R' L2 U D'
L2 U B' R' L2 U D2
L2 U B' R' L2 D U
L2 U B' R' L2 D' U
L2 U B' R' L2 D2 U
L2 U B' R' U D' B2
L2 U B' R' D' U B2
L2 U B' D' R' U B2
L2 U B2 L2 B R' U
F' R' U2 F2 U' L' F
L' U2 L U L' F R
R2 U2 D F L' B2 U'
R2 U2 D F B2 L' U'
R2 U2 D B2 F L' U'
R' U2 F L' U' F L'
R' U2 F U' L' F L'
R' U2 F U' F L' F
F2 R2 D' F2 B R' U
F2 R2 D' B R' F2 U
F2 R2 D' B F2 R' U
R2 D U2 F L' B2 U'
R2 D U2 F B2 L' U'
R2 D U2 B2 F L' U'
R2 D F L' B2 R' U'
L2 D F2 U B' R' U
U' D F L' R2 U' B
U' D F L' U F' U2
U' D F R2 L' U' B
U2 D F L' U' L D
U2 D F L' U' L D'
U2 D F L' U' L D2
U2 D F L' U' D L
U2 D F L' U' D' L
U2 D F L' U' D2 L
U2 D F L' D U' L
U2 D F L' D' U' L
U2 D F L' D2 U' L
U2 D F D L' U' L
U2 D F D' L' U' L
U2 D F D2 L' U' L
U2 D F B L' U' L
U2 D F B' L' U' L
U2 D F B2 L' U' L
U2 D B F L' U' L
U2 D B' F L' U' L
U2 D B2 F L' U' L
L2 D' U B' R' U B'
R2 D' F2 R2 B R' U
D U' F L' R2 U' B
D U' F L' U F' U2
D U' F R2 L' U' B
U2 D' F B' L U' L'
L D' B' L U L2 U
L D' B' L U2 D' B2
L D' B' L D F2 U2
L D' B' L D' U2 B2
U2 D' B' F L U' L'
B' U2 L' U' F L R
B' U2 L' U' F R L
B2 U2 L' U' F L R
B2 U2 L' U' F R L
D' U2 F B' L U' L'
F' U2 L' F2 U' L F'
F' U2 L' F2 U' F' L
F2 U2 L' F' U' L F2
F2 U2 L' F' U' F2 L
D U2 F L' U' L D
D U2 F L' U' L D'
D U2 F L' U' L D2
D U2 F L' U' D L
D U2 F L' U' D' L
D U2 F L' U' D2 L
D U2 F L' D U' L
D U2 F L' D' U' L
D U2 F L' D2 U' L
B U2 L' U' F L R
B U2 L' U' F R L
D U2 F D L' U' L
D U2 F D' L' U' L
D U2 F D2 L' U' L
D U2 F B L' U' L
D U2 F B' L' U' L
D U2 F B2 L' U' L
D' U2 B' F L U' L'
D U2 B F L' U' L
B' U2 D F L' U' L
B2 U2 D F L' U' L
U' F L U F' B' U2
D U2 B' F L' U' L
U' F L U B' F' U2
B U2 D F L' U' L
U2 F L U B' U2 L'
U2 F L U' L2 F L
U' F L' R2 U' F B
U' F L' R2 U' B F
U' F L' U F' U2 F2
D U2 B2 F L' U' L
U' F L' U' F D2 B2
B' U2 F L' U' F L
B2 U2 F L' U' F L
U2 F L' U' D F L
U2 F L' U' D' F L
U2 F L' U' D2 F L
U2 F L' U' F L D
U2 F L' U' F L D'
U2 F L' U' F L D2
U2 F L' U' F D L
U2 F L' U' F D' L
U2 F L' U' F D2 L
U2 F L' U' F' L F2
U2 F L' U' F2 L F'
U2 F L' D U' F L
U2 F L' D' U' F L
U2 F L' D2 U' F L
D F L' U2 L U L'
B U2 F L' U' F L
F2 U2 F' L' U' F L
F' U2 F2 L' U' F L
U' F R2 L' U' F B
U' F R2 L' U' B F
L2 F U B' L2 R' U
L2 F U B' R' L2 U
U2 F D' B' L U' L'
U2 F B L' U' F L
U2 F B' L' U' F L
U2 F B2 L' U' F L
B' D U2 F L' U' L
B2 D U2 F L' U' L
B D U2 F L' U' L
U2 F' L' F2 U' L F'
U2 F' L' F2 U' F' L
D F' R D2 B2 U L
L2 F' U B' L2 R' U
L2 F' U B' R' L2 U
D F' U2 F2 L' U' L
D F' D2 R B2 U L
L F' D' B' L U2 B'
U2 F2 L' F' U' L F2
U2 F2 L' F' U' F2 L
R' F2 R U L' F R
R' F2 R2 B U L' F
R' F2 U L' F D R2
L2 F2 U B' L2 R' U
L2 F2 U B' R' L2 U
F' D2 R B2 U L F'
F' D2 R B2 U F' L
U2 B L' U' F L R
U2 B L' U' F R L
D B U2 F L' U' L
U2 B D F L' U' L
U2 B F L' U' F L
U2 B' L' U' F L R
U2 B' L' U' F R L
L B' L U B' L2 U
L B' U L B' L2 U
L B' U L' U2 F U'
D' B' U2 F L U' L'
D B' U2 F L' U' L
U2 B' D F L' U' L
U2 B' F L' U' F L
U2 B2 L' U' F L R
U2 B2 L' U' F R L
D B2 U2 F L' U' L
U2 B2 D F L' U' L
U2 B2 F L' U' F L
