F2 U L' F' U' B'
L' R U D' L B' R'
F L U' D' L' F B2
F L U' D' L' B2 F
F L U' D' B2 L' F
L' R D' U L B' R'
L' R F L' B' U L2
L2 R F B' L' U L'
F L D' U' L' F B2
F L D' U' L' B2 F
F L D' U' B2 L' F
L2 R B' F L' U L'
U L F2 L' F R U'
R L' U D' L B' R'
R L' D' U L B' R'
R L' F L' B' U L2
F2 L' F R F2 U' L
F2 L' F' U' L D' B2
F2 L' F' U2 L' U L2
U' L2 R D2 B' L U
D2 L2 R B' L U L
R L2 F B' L' U L'
R L2 B' F L' U L'
U' L2 D2 R B' L U
U' L2 D2 B' L R U
U' L2 D2 B' R L U
D2 L2 B' L R U L
D2 L2 B' R L U L
R' U F U2 L' R2 U
R' U F U2 R2 L' U
R2 U F U2 L' R' U
R2 U F U2 R' L' U
U' R L2 D2 B' L U
R' U F' R F2 L' U'
D2 R L2 B' L U L
R U F U2 L' U F'
R U F' R F2 U' F'
U' R U2 F U2 L' U
U' R U2 F' R F2 U'
U' R D2 L2 B' L U
F' R F' L' F' U' L
U R' F U2 L' R2 U
U R' F U2 R2 L' U
U R' F' R F2 L' U'
D R' F' D B R2 F'
R U2 F U2 L' U L
U R2 F U2 L' R' U
U R2 F U2 R' L' U
F' U L R F2 U' F'
F2 U L' R U' B' R'
F2 U L' D F' U' B'
F2 U L' D' F' U' B'
F2 U L' D2 F' U' B'
F2 U L' F' R U' B'
F2 U L' F' R' U' B'
F2 U L' F' R2 U' B'
F2 U L' F' U' D B'
F2 U L' F' U' D' B'
F2 U L' F' U' D2 B'
F2 U L' F' U' B' D
F2 U L' F' U' B' D'
F2 U L' F' U' B' D2
F2 U L' F' D U' B'
F2 U L' F' D' U' B'
F2 U L' F' D2 U' B'
F2 U L2 F' L U' B'
F' U R L F2 U' F'
F2 U R L' U' B' R'
F' U R F2 L U' F
F2 U D L' F' U' B'
F2 U D' L' F' U' B'
F2 U D2 L' F' U' B'
L' D' R U L B' R'
D2 U' L2 R B' L U
D2 U' L2 B' L R U
D2 U' L2 B' R L U
D2 U' R L2 B' L U
U' D2 L2 R B' L U
R D2 L2 B' L U L
U' D2 L2 B' L R U
U' D2 L2 B' R L U
U' D2 R L2 B' L U
R' F U' L' R2 U R2
R' F U' R2 L' U R2
U' F U2 L' F' R U
R2 F U' L' R' U R
R2 F U' R' L' U R
U F U2 D' L' U F
U F D' U2 L' U F
F2 D U L' F' U' B'
R' F' R F2 L' U' L
U F' R F' L' F' U'
R' F' U R F2 L' U'
R F' U R F2 U' F2
F2 D' U L' F' U' B'
U F2 L' F R F2 U'
U F2 L' F' U2 L' U
F2 D2 U L' F' U' B'
F2 B U L' F' U' B'
L2 B' R F L' U L'
F2 B' U L' F' U' B'
B' F2 U L' F' U' B'
B2 F2 U L' F' U' B'
F2 B2 U L' F' U' B'
B F2 U L' F' U' B'
