U2 B L B' U L'
U L F U F' B' U
U L F U B' F' U
U2 L B L B2 U L2
U2 L B' U2 R' U' L'
U L B' U' F B U2
U L B' U' B F U2
U' L' R F U' F' B
U' L' R F U' B F'
F L' U' R F L U'
F' L' U2 F L U' L'
U2 L' U2 F R U' L
U L' U2 F U' F' B'
U L' U2 F U' B' F'
U' R L' F U' F' B
U' R L' F U' B F'
L' U' R F L U' B
L' U' F L R U' B
L' U' F R L U' B
L' U2 F L U' L' B'
F' U L' U2 F U' F'
D2 U' R F' U' F B
D2 U' R F' U' B F
F U' L' R F U' F'
F U' R L' F U' F'
U2 D' B L U L' R'
U2 D' B L U R' L'
F U' D2 R F' U' F
U' D2 R F' U' F B
U' D2 R F' U' B F
F' U2 L B' L2 U L
F' U2 L' U2 F U' L
R2 D2 F R F' U' L2
D' U2 B L U L' R'
D' U2 B L U R' L'
L' F L R U R' U2
L' F L R B2 U' L
D F L' U' L R U'
D F L' U' R L U'
L' F R L U R' U2
L' F R L B2 U' L
D2 F R F' U R' U2
D2 F R F' B2 U' L
D2 F R B2 F' U' L
D F R U L' R' U2
D F R U R' L' U2
B' U2 B L B' U L'
B2 U2 B L B' U L'
B U2 B L B' U L'
L' F U' L R U' R'
D2 F U' R F' U' F
L' F U' R L U' R'
R2 F D2 R F' U' L2
U2 F B L B' U L'
L' F' U' F2 L R U'
L' F' U' F2 R L U'
D F' U2 L' U L R
D F' U2 L' U R L
U2 F' B L B' U L'
L' F2 U' L F' R U'
L' F2 U' F' L R U'
L' F2 U' F' R L U'
U2 F2 B L B' U L'
F D2 R F' U R' U2
F D2 R F' B2 U' L
F D2 R B2 F' U' L
U2 B L D B' U L'
U2 B L D' B' U L'
U2 B L D2 B' U L'
U2 B L B' U L' D
U2 B L B' U L' D'
U2 B L B' U L' D2
U2 B L B' U D L'
U2 B L B' U D' L'
U2 B L B' U D2 L'
U2 B L B' D U L'
U2 B L B' D' U L'
U2 B L B' D2 U L'
F D2 U' R F' U' F
U2 B F L B' U L'
U2 B F' L B' U L'
U2 B F2 L B' U L'
U2 B2 L B' L U L2
