U' F2 B U2 L R'
U' F2 B U2 R' L
U' B F2 U2 L R'
U' B F2 U2 R' L
U' L F2 B U2 L R'
U' L F2 B U2 R' L
U' L B F2 U2 L R'
U' L B F2 U2 R' L
U' L' F2 B U2 L R'
U' L' F2 B U2 R' L
U' L' B F2 U2 L R'
U' L' B F2 U2 R' L
U' L2 F2 B U2 L R'
U' L2 F2 B U2 R' L
U' L2 B F2 U2 L R'
U' L2 B F2 U2 R' L
B R F2 U' B U' R2
L' U' F2 B U2 L R'
L' U' F2 B U2 R' L
L2 U' F2 B U2 L R'
L2 U' F2 B U2 R' L
L U' F2 B U2 L R'
L U' F2 B U2 R' L
L' U' B F2 U2 L R'
L' U' B F2 U2 R' L
L2 U' B F2 U2 L R'
L2 U' B F2 U2 R' L
L U' B F2 U2 L R'
L U' B F2 U2 R' L
U R2 D2 F' L' R B2
U R2 D2 F' L' B2 R
U R2 D2 F' R L' B2
U R2 D2 F' R B2 L'
U R2 D2 F' B2 L' R
U R2 D2 F' B2 R L'
U R2 D2 B2 F' L' R
U R2 D2 B2 F' R L'
U' R2 F' R2 B L R'
U' R2 F' R2 B R' L
U R2 F' L' R2 B R'
U R2 F' R2 L' B R'
U R2 F' R2 B L' R'
U R2 F' R2 B R' L'
D2 U R2 F' L' R B2
D2 U R2 F' L' B2 R
D2 U R2 F' R L' B2
D2 U R2 F' R B2 L'
D2 U R2 F' B2 L' R
D2 U R2 F' B2 R L'
F' U R2 F' L' B R'
F' U R2 F' B L' R'
F' U R2 F' B R' L'
F' U R2 B F' L' R'
F' U R2 B F' R' L'
D2 U R2 B2 F' L' R
D2 U R2 B2 F' R L'
F' U F' B U2 L' R'
F' U F' B U2 R' L'
F U F B R U2 R2
F' U B F' U2 L' R'
F' U B F' U2 R' L'
F U B F R U2 R2
F' U' R2 F' B L R'
F' U' R2 F' B R' L
F' U' R2 B L F' R'
F' U' R2 B F' L R'
F' U' R2 B F' R' L
F' U' F' B U2 L R'
F' U' F' B U2 R' L
F U' F B U2 L R'
F U' F B U2 R' L
F' U' B F' U2 L R'
F' U' B F' U2 R' L
F U' B F U2 L R'
F U' B F U2 R' L
U D2 R2 F' L' R B2
U D2 R2 F' L' B2 R
U D2 R2 F' R L' B2
U D2 R2 F' R B2 L'
U D2 R2 F' B2 L' R
U D2 R2 F' B2 R L'
U D2 R2 B2 F' L' R
U D2 R2 B2 F' R L'
U F B R F U2 R2
U F' L' R2 F' B R'
