U' L U' L2 R2 U'
U' L U' R2 L2 U'
U' L U2 D F2 B2
U' L U2 D B2 F2
U' L D U2 F2 B2
U' L D U2 B2 F2
U' L D' F2 B2 U2
U' L D' B2 F2 U2
R2 L' U L2 U2 L2
U2 L' R2 U L2 U2
U2 L' R2 U' D2 R2
U2 L' R2 D F2 U'
U2 L' R2 D2 U' R2
U2 L' D F2 U' B2
L' R2 U L2 U2 L2
L U2 L2 R2 U' R2
L U2 R2 L2 U' R2
U2 R2 L' U L2 U2
U2 R2 L' U' D2 R2
U2 R2 L' D F2 U'
U2 R2 L' D2 U' R2
B2 U2 L' R2 U' R
B2 U2 R2 L' U' R
R' L U2 L2 R' U' R
R' L U2 R' L2 U' R
L R U2 L2 R U' R'
L R U2 R L2 U' R'
R L U2 L2 R U' R'
R L U2 R L2 U' R'
F2 L U R F2 L' U
B2 L U D R' F2 B2
B2 L U D R' B2 F2
B2 L U D F2 R' B2
U' L U D2 L2 R2 U
U' L U D2 R2 L2 U
U' L U' L2 R2 U' D
U' L U' L2 R2 U' D'
U' L U' L2 R2 U' D2
U' L U' L2 R2 D U'
U' L U' L2 R2 D' U'
U' L U' L2 R2 D2 U'
U' L U' L2 U' D B2
U' L U' L2 D U' B2
U2 L U' L2 R2 U' L2
U' L U' R2 L2 U' D
U' L U' R2 L2 U' D'
U' L U' R2 L2 U' D2
U' L U' R2 L2 D U'
U' L U' R2 L2 D' U'
U' L U' R2 L2 D2 U'
U' L U' R2 U' D F2
U' L U' R2 D U' F2
U L U' L2 R2 U' L
U2 L U' R2 L2 U' L2
U L U' R2 L2 U' L
B2 L U2 L2 R2 U' R
B2 L U2 R2 L2 U' R
U' L U2 D F2 B2 D
U' L U2 D F2 B2 D'
U' L U2 D F2 B2 D2
U' L U2 D B2 F2 D
U' L U2 D B2 F2 D'
U' L U2 D B2 F2 D2
U' L U2 F D F2 B2
U' L U2 F D B2 F2
U L U2 D L' F2 B2
U L U2 D L' B2 F2
U' L U2 F' D F2 B2
U' L U2 F' D B2 F2
U L U2 D B2 L' F2
U' L U2 F2 D F2 B2
U' L U2 F2 D B2 F2
U' L U2 B D F2 B2
U' L U2 B D B2 F2
U' L U2 B' D F2 B2
U' L U2 B' D B2 F2
D2 L D L U F2 R
U' L U2 B2 D F2 B2
U' L U2 B2 D B2 F2
D L U2 B2 D L2 F2
D L U2 B2 D F2 L2
U L D L' F2 B2 R'
U L D L' B2 R' F2
U L D L' B2 F2 R'
B2 L D U R' F2 B2
B2 L D U R' B2 F2
B2 L D U F2 R' B2
U' L D U2 F2 B2 D
U' L D U2 F2 B2 D'
U' L D U2 F2 B2 D2
U' L D U2 B2 F2 D
U' L D U2 B2 F2 D'
U' L D U2 B2 F2 D2
U' L D F U2 F B2
U' L D F U2 B2 F
U' L D F' U2 F' B2
U' L D F' U2 B2 F'
U L D U2 L' F2 B2
U L D U2 L' B2 F2
U L D U2 B2 L' F2
U' L D B U2 F2 B
U' L D B U2 B F2
U' L D B' U2 F2 B'
U' L D B' U2 B' F2
U' L D' F2 U2 D2 F2
U' L D' F2 D2 U2 F2
U' L D' F2 B2 U2 D
U' L D' F2 B2 U2 D'
U' L D' F2 B2 U2 D2
U' L D' F2 B2 D U2
U' L D' F2 B2 D' U2
U' L D' F2 B2 D2 U2
U L D' F2 R B2 U2
U' L D' B2 U2 D2 B2
U' L D' B2 D2 U2 B2
U' L D' B2 F2 U2 D
U' L D' B2 F2 U2 D'
U' L D' B2 F2 U2 D2
U' L D' B2 F2 D U2
U' L D' B2 F2 D' U2
U' L D' B2 F2 D2 U2
U L D' F2 B2 R U2
B2 L D2 L2 R2 U R
U L D' B2 F2 R U2
B2 L D2 R2 L2 U R
U' L D2 U L2 R2 U
U' L D2 U R2 L2 U
U' L F U' L2 R2 U'
U' L F U' R2 L2 U'
U' L F U2 D F2 B2
U' L F U2 D B2 F2
U' L F D U2 F2 B2
U' L F D U2 B2 F2
U' L F D' F2 B2 U2
U' L F D' B2 F2 U2
U' L F' U' L2 R2 U'
U' L F' U' R2 L2 U'
U' L F' U2 D F2 B2
U' L F' U2 D B2 F2
U' L F' D U2 F2 B2
U' L F' D U2 B2 F2
U' L F' D' F2 B2 U2
U' L F' D' B2 F2 U2
U' L F2 U' L2 R2 U'
U' L F2 U' L2 R2 U'
U' L F2 U' R2 L2 U'
D' L F2 D R2 U2 F2
U' L F2 U2 D F2 B2
U' L F2 U2 D B2 F2
D' L F2 D' B2 U2 L2
U' L F2 D U2 F2 B2
U' L F2 D U2 B2 F2
U' L F2 D' F2 B2 U2
U' L F2 D' B2 F2 U2
U' L B U' L2 R2 U'
U' L B U' R2 L2 U'
U' L B U2 D F2 B2
U' L B U2 D B2 F2
R2 L' U L2 R U2 L2
R2 L' U L2 R' U2 L2
R2 L' U L2 R2 U2 L2
R2 L' U L2 U2 L2 D
R2 L' U L2 U2 L2 D'
R2 L' U L2 U2 L2 D2
U' L B D U2 F2 B2
U' L B D U2 B2 F2
R2 L' U L2 D2 R2 U2
R2 L' U R L2 U2 L2
U' L B D' F2 B2 U2
U' L B D' B2 F2 U2
R2 L' U R' L2 U2 L2
R2 L' U R2 L2 U2 L2
U' L B' U' L2 R2 U'
U' L B' U' R2 L2 U'
U' L B' U2 D F2 B2
U' L B' U2 D B2 F2
U' L B' D U2 F2 B2
U' L B' D U2 B2 F2
U' L B' D' F2 B2 U2
U' L B' D' B2 F2 U2
R2 L' U' R2 D2 L2 R2
R2 L' U' R2 D2 R2 L2
R2 L' U' D2 R2 D2 L2
U' L B2 U' L2 R2 U'
U' L B2 U' R2 L2 U'
U' L B2 U2 D F2 B2
U' L B2 U2 D B2 F2
L R' U2 L2 R' U' R
U' L B2 D U2 F2 B2
U' L B2 D U2 B2 F2
U' L B2 D' F2 B2 U2
L R' U2 R' L2 U' R
U' L B2 D' B2 F2 U2
U2 L' R D R F2 U'
U2 L' R D2 R U' R
U2 L' R' D R' F2 U'
U2 L' R' D F2 R' U'
U2 L' R' D2 R' U' R'
R2 L' D F2 U' D' L2
R2 L' D F2 U2 F2 U
R2 L' D F2 D' U' L2
R2 L' D F2 D2 B2 U'
U' L' R2 U L2 R2 U2
U' L' R2 U R2 L2 U2
U2 L' R2 U L2 U2 D
U2 L' R2 U L2 U2 D'
U2 L' R2 U L2 U2 D2
U2 L' R2 U L2 D U2
U2 L' R2 U L2 D' U2
U2 L' R2 U L2 D2 U2
U' L' R2 U' D2 L2 R2
U' L' R2 U' D2 R2 L2
U2 L' R2 U' R D2 R2
U2 L' R2 U' R' D2 R2
U2 L' R2 U' R2 D2 R2
U2 L' R2 U' D2 R2 D
U2 L' R2 U' D2 R2 D'
U2 L' R2 U' D2 R2 D2
U2 L' R2 U2 D' B2 U
U' L' R2 D F2 B2 U'
U' L' R2 D B2 F2 U'
U L' R2 U L2 U2 L'
U2 L' R2 D F2 U' D
U2 L' R2 D F2 U' D'
U2 L' R2 D F2 U' D2
U2 L' R2 D F2 D U'
U2 L' R2 D F2 D' U'
U2 L' R2 D F2 D2 U'
U2 L' R2 D' U2 B2 U
