B U' B' R' F' U
U L F R U R' B
U2 L B' U' F B2 L
U2 L B' U' B2 F L
U2 L B2 U' F B' L
U2 L B2 U' B' F L
B L' R' D F' L' R
B L' R' D F' R L'
B L' D R' F' L' R
B L' D R' F' R L'
F' L' B U' B' R' U
B L2 R' F' L' D R2
B L2 R' F' D L' R2
B L2 R' F' D R2 L'
U R U R' B L F
U R U' R' F' L' B
U R U' R' F' B L'
U R U' R' B F' L'
B2 R D' R2 F' B' L'
B2 R D' R2 B' F' L'
B R' L' D F' L' R
B R' L' D F' R L'
B R' L2 F' L' D R2
B R' L2 F' D L' R2
B R' L2 F' D R2 L'
B R' U' B' U F' L'
B2 R' D' F' R2 B' L'
B2 R' D' F' B' L' R2
B2 R' D' F' B' R2 L'
B2 R' D' B' F' L' R2
B2 R' D' B' F' R2 L'
B2 R' F' D' R2 B' L'
B2 R' F' D' B' L' R2
B2 R' F' D' B' R2 L'
B R' F' U' B' U L'
U R2 U R2 B L F
F2 R2 U' F' R U2 F'
F R2 U' F' R' B U2
B' U B U B L F
F U F2 D' L' F B
F U F2 D' L' B F
F U F2 D' B L' F
F U F2 B D' L' F
F U B F2 D' L' F
B2 U B2 U B L F
B U' R' F' B' R' U
B U' R' B' F' R' U
B U' D B' R' F' U
B U' D' B' R' F' U
B U' D2 B' R' F' U
B U' F B' R' F' U
B U' F' B' R' F' U
B U' F2 B' R' F' U
B U' B' R' D F' U
B U' B' R' D' F' U
B U' B' R' D2 F' U
B U' B' R' F' U D
B U' B' R' F' U D'
B U' B' R' F' U D2
B U' B' R' F' D U
B U' B' R' F' D' U
B U' B' R' F' D2 U
B U' B' D R' F' U
B U' B' D' R' F' U
B U' B' D2 R' F' U
B U' B' F R' F' U
B U' B' F' R' F' U
B U' B' F2 R' F' U
F' U2 L U' F L2 B
F' U2 L U' F B L2
F' U2 L U' B F L2
F2 U2 L U' F L' B
F2 U2 L U' F B L'
F2 U2 L U' B F L'
U F R U R' B L
R2 F U' R F2 U2 F
R F U' B R F' U2
B2 D L2 F R B U2
U2 F B L F D R2
B D U' B' R' F' U
B2 D' R' F' R' B' L'
B D' U' B' R' F' U
R' F2 R U F L' B
R' F2 R U F B L'
R' F2 R U B F L'
B2 D' B' R' F' L' R'
B2 D' B' R' F' R' L'
U2 F2 D B L R2 F
U2 F2 D B L F R2
U2 F2 D B R2 L F
U2 F2 B L D R2 F
U2 F2 B L D F R2
U2 F2 B D L R2 F
U2 F2 B D L F R2
U2 F2 B D R2 L F
U2 B L F U F' U'
U2 B L F2 D F' R2
B D2 U' B' R' F' U
D2 B U' B' R' F' U
D' B U' B' R' F' U
L' B U' B' R' F' U
L2 B U' B' R' F' U
F' B L' R' D F' R
F' B L' D R' F' R
D B U' B' R' F' U
L B U' B' R' F' U
F' B R' L' D F' R
U2 B F L F D R2
U2 B F2 L D R2 F
U2 B F2 L D F R2
U2 B F2 D L R2 F
U2 B F2 D L F R2
U2 B F2 D R2 L F
F' B U' B' R' U L'
U2 B' L U' F B2 L
U2 B' L U' B2 F L
B F' L' R' D F' R
B F' L' D R' F' R
B F' R' L' D F' R
B F' U' B' R' U L'
