F' L' F2 U' B2
F U2 R U B2
F L U2 R U B2
F' L F2 L2 U' B2
F' L' R F2 U' B2
F' L' R' F2 U' B2
F' L' R2 F2 U' B2
F' L' U' B2 D R2
F L' U2 R U B2
F' L' F2 R U' B2
F' L' F2 R' U' B2
F' L' F2 R2 U' B2
F' L' F2 U' B2 D
F' L' F2 U' B2 D'
F' L' F2 U' B2 D2
F' L' F2 D' R2 U'
F L2 U2 R U B2
F' L2 F2 L U' B2
U2 L2 B' R' U B'
F' R L' F2 U' B2
F R U' B2 D2 F2
F' R' L' F2 U' B2
F R' U' B2 D' F2
F R' U2 R2 U B2
F R' D' R2 U' F2
U' R' F' B2 D R2
U' R' B2 F' D R2
F' R2 L' F2 U' B2
L2 U2 B' R' U B'
F R2 U2 R' U B2
D' R2 F U2 R U
D' R2 F' L' F2 U'
U2 D L2 B' R' U
D U2 L2 B' R' U
F U' B2 U' R U
F U2 L R U B2
F U2 L' R U B2
F U2 L2 R U B2
F U2 R L U B2
F U2 R L' U B2
F U2 R L2 U B2
F U2 R U B2 D
F U2 R U B2 D'
F U2 R U B2 D2
F U2 R D L2 U
F U2 D L2 R U
F U2 D R L2 U
D' F R2 U2 R' U
R' F U2 R U B2
R2 F U2 R U B2
D F U2 L2 R U
D F U2 R L2 U
R F U2 R U B2
R' F' L' F2 U' B2
D' F' L' R2 F2 U'
D' F' L' F2 R2 U'
R2 F' L' F2 U' B2
L F' L' F U' B2
F D U2 L2 R U
F D U2 R L2 U
D F' L' F2 R U'
R F' L' F2 U' B2
D' F' R2 L' F2 U'
F D' R2 U2 R' U
U' B2 R' F' D R2
F L R U' B2 D2 F2
F' L R F2 L2 U' B2
F L R' U' B2 D' F2
F L R' U2 R2 U B2
F L R' D' R2 U' F2
F' L R' F2 L2 U' B2
F L R2 U2 R' U B2
D' L R2 F' L' F U'
F' L R2 F2 L2 U' B2
L2 R U2 B' R' U B'
F' L U' B2 D R2 F2
F' L U' B2 D F2 R2
F L U' B2 U' R U
F L U2 L R U B2
D L U2 L B' R' U
F L U2 L' R U B2
F L U2 L2 R U B2
F L U2 R L U B2
F L U2 R L' U B2
F L U2 R L2 U B2
F L U2 R U B2 D
F L U2 R U B2 D'
F L U2 R U B2 D2
F L U2 R D L2 U
F L U2 D L2 R U
F L U2 D R L2 U
F L D U2 L2 R U
F L D U2 R L2 U
R' L F' L' F U' B2
F L D' R2 U2 R' U
R2 L F' L' F U' B2
L R F' L' F U' B2
R L F' L' F U' B2
F2 L F L' F2 U' B2
D' L F' L' R2 F U'
D' L F' L' F R2 U'
F' L F' L2 F' U' B2
D' L F' R2 L' F U'
F2 L F' U2 R U B2
F' L F2 L2 R U' B2
F' L F2 L2 R' U' B2
F' L F2 L2 R2 U' B2
F' L F2 L2 U' B2 D
F' L F2 L2 U' B2 D'
F' L F2 L2 U' B2 D2
F' L F2 L2 D' R2 U'
F' L F2 R L2 U' B2
F' L F2 R' L2 U' B2
F L F2 L' F2 U' B2
F' L F2 R2 L2 U' B2
F' L F2 U' B2 D F2
F' L B2 D L2 R2 F2
F' L B2 D L2 F2 R2
F' L B2 D R2 L2 F2
F' L B2 D R2 F2 L2
F' L B2 D F2 L2 R2
F' L B2 D F2 R2 L2
F' L' R U' B2 D R2
F L' R U' B2 D2 F2
L2 R' U2 B' R' U B'
F' L' R F2 R U' B2
F' L' R F2 R' U' B2
F' L' R F2 R2 U' B2
F' L' R F2 U' B2 D
F' L' R F2 U' B2 D'
F' L' R F2 U' B2 D2
F' L' R F2 D' R2 U'
F' L' R' U' B2 D R2
F L' R' U' B2 D' F2
F L' R' U2 R2 U B2
F L' R' D' R2 U' F2
F' L' R' F2 R U' B2
F' L' R' F2 R' U' B2
F' L' R' F2 R2 U' B2
