B D R F' L' R
B D R F' R L'
D' F' L' F B R'
D' F' L' B R' F
D' F' L' B F R'
D F' L' B R F'
B D F' L' R F'
B D F' R L' F'
D' F' B L' R' F
D' F' B L' F R'
D' F' B R' L' F
D F' B L' R F'
D F' B R L' F'
D' B R' F' L' F
D B R F' L' R
D B R F' R L'
D' B F' L' R' F
D' B F' L' F R'
D' B F' R' L' F
D B F' L' R F'
D B F' R L' F'
D L F' L' B R F'
D L F' B L' R F'
D L F' B R L' F'
D L B R F' L' R
D L B R F' R L'
D L B F' L' R F'
D L B F' R L' F'
F' L B' R U L2 B2
F' L B' R U B2 L2
B L' U F L' B' U'
D' L' U2 F B L R'
D' L' U2 F B R' L
D' L' U2 B R' F L
D' L' U2 B F L R'
D' L' U2 B F R' L
U' L' F L' U' B L
D' L' F B R' D2 L2
D' L' F' L' F2 B R'
D' L' F' L' B R' F2
D' L' F' L' B F2 R'
U L' F B' L' U' B2
D L' F' L' B R F'
D' L' F' B L' R' F2
D' L' F' B L' F2 R'
D' L' F' B R' L' F2
D L' F' B L' R F'
D L' F' B R L' F'
D' L' B R' F' L' F2
D L' B R F' L' R
D L' B R F' R L'
D' L' B F R' D2 L2
D' L' B F' L' R' F2
D' L' B F' L' F2 R'
D' L' B F' R' L' F2
D L' B F' L' R F'
D L' B F' R L' F'
U L' B' F L' U' B2
D' L2 U2 B L R' F'
D' L2 U2 B R' L F'
D' L2 U2 B R' F' L
D L2 F' L' B R F'
D L2 F' B L' R F'
D L2 F' B R L' F'
D L2 B R F' L' R
D L2 B R F' R L'
D L2 B F' L' R F'
D L2 B F' R L' F'
L' U F L' B' U' B2
B R D R F' L' R
B R D R F' R L'
B R D F' L' R F'
B R D F' R L' F'
D R F' L' R' B R2
D R F' R' L' B R2
D R F' R' B L' R2
D R F' R' B R2 L'
L' U' F L' U' B L
B R' D R F' L' R
B R' D R F' R L'
B R' D F' L' R F'
B R' D F' R L' F'
B R2 D R F' L' R
B R2 D R F' R L'
B R2 D F' L' R F'
B R2 D F' R L' F'
R' D R F' L' B R
R' D R F' B L' R
R' D R F' B R L'
R' D R B F' L' R
R' D R B F' R L'
R2 D R F' L' R B
R2 D R F' R L' B
R2 D R F' R B L'
R' D F' L' R F' B
R' D F' L' R B F'
R' D F' R L' F' B
R' D F' R L' B F'
R' D F' R B L' F'
B U L' F B' L' U'
B U L' B' F L' U'
R2 D F' U2 L' R F'
R2 D F' U2 R L' F'
U2 D F' B L R F'
U2 D F' B R L F'
U2 D F' B R F' L
U2 D B L R F' R
B U F L' F B' U'
B U F L' B' F U'
U2 D B L F' R F'
U2 D B R L F' R
U2 D B R F' L R
U2 D B R F' R L
U2 D B F' L R F'
U2 D B F' R L F'
U2 D B F' R F' L
U2 D' L' F B L R'
U2 D' L' F B R' L
U2 D' L' B R' F L
U2 D' L' B F L R'
U2 D' L' B F R' L
U2 D' L2 B L R' F
U2 D' L2 B L F R'
U2 D' L2 B R' L F
U2 D' B L' R' F L2
U2 D' B L' F L2 R'
U2 D' B L' F R' L2
U2 D' B R' L' F L2
D' U2 L' F B L R'
D' U2 L' F B R' L
D' U2 L' B R' F L
D' U2 L' B F L R'
D' U2 L' B F R' L
D' U2 L2 B L R' F
D' U2 L2 B L F R'
D' U2 L2 B R' L F
D' U2 B L' R' F L2
D' U2 B L' F L2 R'
D' U2 B L' F R' L2
D U2 F' B L R F'
D U2 F' B R L F'
D U2 F' B R F' L
D' U2 B R' L' F L2
D U2 B L R F' R
D U2 B L F' R F'
D U2 B R L F' R
D U2 B R F' L R
D U2 B R F' R L
D U2 B F' L R F'
D U2 B F' R L F'
D U2 B F' R F' L
U' F L' F U' B L
U F L' F B' U' B2
U F L' B' F U' B2
B D L R F' L' R
B D L R F' R L'
B D L F' L' R F'
B D L F' R L' F'
B D L' R F' L' R
B D L' R F' R L'
B D L' F' L' R F'
B D L' F' R L' F'
B D L2 R F' L' R
B D L2 R F' R L'
B D L2 F' L' R F'
B D L2 F' R L' F'
B2 D R F' R B' L'
B2 D R F' B' L' R
B2 D R F' B' R L'
B2 D R B' F' L' R
B2 D R B' F' R L'
B D R L F' L' R
B D R L F' R L'
B D R L' F' L' R
B D R L' F' R L'
B D R L2 F' L' R
B D R L2 F' R L'
B D R F' L' R D
B D R F' L' R D'
B D R F' L' R D2
B D R F' L' D R
B D R F' L' D' R
B D R F' L' D2 R
B D R F' R L' D
B D R F' R L' D'
B D R F' R L' D2
B D R F' R D L'
B D R F' R D' L'
B D R F' R D2 L'
B D R F' D L' R
B D R F' D R L'
B D R F' D' L' R
B D R F' D' R L'
B D R F' D2 L' R
B D R F' D2 R L'
D' F' L' F B R' D
D' F' L' F B R' D'
D' F' L' F B R' D2
D' F' L' F B D R'
D' F' L' F B D' R'
D' F' L' F B D2 R'
D' F' L' F' B R' F2
D' F' L' B R F R2
D' F' L' B R' D F
D' F' L' B R' D' F
D' F' L' B R' D2 F
D' F' L' B R' F D
D' F' L' B R' F D'
D' F' L' B R' F D2
D' F' L' B D R' F
D' F' L' B D F R'
D' F' L' B D' R' F
D' F' L' B D' F R'
D' F' L' B D2 R' F
D' F' L' B D2 F R'
D' F' L' B F R' D
D' F' L' B F R' D'
D' F' L' B F R' D2
D' F' L' B F D R'
D' F' L' B F D' R'
D' F' L' B F D2 R'
D' F' L' B F' R' F2
D F' L B L2 R F'
D F' L B R L2 F'
D F' L B R F' L2
D F' L' B R D F'
D F' L' B R D' F'
D F' L' B R D2 F'
D F' L' B R F' D
D F' L' B R F' D'
