U L R2 U R' F'
U L U R' F' R2
U L B' R' U R2
F2 L' U L2 U F
F2 L' D F2 B' U2
F2 L' D B' F2 U2
F2 L' D' B' U2 B'
F2 L' B' U L2 U
F2 L' B' U2 D' B2
F2 L' B' D F2 U2
F2 L' B' D' U2 B2
L' U L2 U R F
L2 U L' U R F
B2 R D B2 L F
U R2 L U R' F'
L' D F2 B' L' U2
L' D B' F2 L' U2
L' D' B' U2 R B'
L' D' B' U2 B' R
L' B' U L2 U R
L' B' U2 R D' B2
L' B' U2 D' R B2
L' B' U2 D' B2 R
L' B' D F2 L' U2
L' B' D' U2 R B2
L' B' D' U2 B2 R
B2 L R D F B2 L
B2 L R D B2 F L
B2 L R F D B2 L
R2 L U D2 R' F L2
R2 L U D2 F L2 R'
R2 L U D2 F R' L2
R' L U F2 L' F' R2
R2 L U F D2 L2 R'
R2 L U F D2 R' L2
U2 L R' U L' F' R2
U L R B' R' U R
U L R' U R' F' R'
R' L U' R U2 R F
R2 L U' R2 U2 R F
U L R' B' R' U R'
U L R2 U R' D F'
U L R2 U R' D' F'
U L R2 U R' D2 F'
U L R2 U R' F' D
U L R2 U R' F' D'
U L R2 U R' F' D2
U L R2 U D R' F'
U L R2 U D' R' F'
U L R2 U D2 R' F'
U L R2 U F R' F'
U L R2 U F' R' F'
U L R2 U F2 R' F'
U L R2 D U R' F'
U L R2 D' U R' F'
U L R2 D2 U R' F'
U L U R U2 B U2
U L U R' F R2 F2
U L U R' F' R2 D
U L U R' F' R2 D'
U L U R' F' R2 D2
U L U R' F2 R2 F
U L U D R' F' R2
U L U D' R' F' R2
U L U D2 R' F' R2
U L U F R' F' R
U L U' L U2 R F
B2 L U' R' U' R2 F
B2 L U' R' U' F R2
U L U' L' B' U2 R
L' R D' L B2 L F
L' R D' L2 F B2 L
L' R D' L2 B2 F L
B2 L U2 R D F B2
B2 L U2 R D B2 F
B2 L U2 R F D B2
R2 L D' F2 U F' R'
R2 L D2 U R' F L2
R2 L D2 U F L2 R'
R2 L D2 U F R' L2
U L D R2 U R' F'
U L D U R' F' R2
L R F L2 D' B2 L
R L F L2 D' B2 L
U L D B' R' U R2
U L D' R2 U R' F'
U L D' U R' F' R2
U L D' B' R' U R2
U L D2 R2 U R' F'
U L D2 U R' F' R2
R' L F2 U L' F' R2
U L D2 B' R' U R2
U L B U2 L U' R
L R' U F2 L' F' R2
U L B' R' U R2 D
U L B' R' U R2 D'
U L B' R' U R2 D2
U L B' R' D B2 U
U L B' R' B U R2
U L B' R' B' U R2
U L B' R' B2 U R2
U L B' U R D' F2
L R' U' R U2 R F
U L B' D R' U R2
U L B' D' R' U R2
U L B' D2 R' U R2
U L B2 U D' R F'
U L B2 D' U R F'
R L' D' L B2 L F
R L' D' L2 F B2 L
R L' D' L2 B2 F L
D2 L' U L2 U R F
D' L' U L2 U R F
F2 L' U L2 R U F
F2 L' U L2 R' U F
F2 L' U L2 R2 U F
F2 L' U L2 U D F
F2 L' U L2 U D' F
F2 L' U L2 U D2 F
F2 L' U L2 U F D
F2 L' U L2 U F D'
F2 L' U L2 U F D2
F2 L' U L2 D U F
F2 L' U L2 D' U F
F2 L' U L2 D2 U F
F2 L' U R L2 U F
D L' U L2 U R F
F2 L' U R' L2 U F
F2 L' U R2 L2 U F
L R' F2 U L' F' R2
D2 L' D F2 B' L' U2
D' L' D F2 B' L' U2
D2 L' D B' F2 L' U2
F2 L' D F2 D B' U2
F2 L' D F2 D' B' U2
F2 L' D F2 D2 B' U2
F2 L' D F2 B' U2 D
F2 L' D F2 B' U2 D'
F2 L' D F2 B' U2 D2
F2 L' D F2 B' D U2
F2 L' D F2 B' D' U2
F2 L' D F2 B' D2 U2
D' L' D B' F2 L' U2
F2 L' D B' U2 D2 B2
D L' D F2 B' L' U2
F2 L' D B' D2 U2 B2
F2 L' D B' F2 U2 D
F2 L' D B' F2 U2 D'
F2 L' D B' F2 U2 D2
F2 L' D B' F2 D U2
F2 L' D B' F2 D' U2
F2 L' D B' F2 D2 U2
D L' D B' F2 L' U2
F2 L' D' F B' U2 B'
F2 L' D' F' B' U2 B'
D2 L' D' B' U2 R B'
D2 L' D' B' U2 B' R
D' L' D' B' U2 R B'
D' L' D' B' U2 B' R
F2 L' D' F2 B' U2 B'
F' L' D' B' U2 B' R'
F2 L' D' B' U2 D B'
F2 L' D' B' U2 D' B'
F2 L' D' B' U2 D2 B'
F2 L' D' B' U2 B' D
F2 L' D' B' U2 B' D'
F2 L' D' B' U2 B' D2
F2 L' D' B' D U2 B'
F2 L' D' B' D' U2 B'
F2 L' D' B' D2 U2 B'
F2 L' D' B' F U2 B'
F2 L' D' B' F' U2 B'
F2 L' D' B' F2 U2 B'
D L' D' B' U2 R B'
D L' D' B' U2 B' R
U' L' D2 R2 U' R' F'
F2 L' D2 B' U' R2 U'
F2 L' D2 B' U2 D B2
F2 L' D2 B' D U2 B2
F2 L' D2 B' D' F2 U2
F2 L' F U L2 U F
F2 L' F D F2 B' U2
F2 L' F D B' F2 U2
F2 L' F D' B' U2 B'
F2 L' F B' U L2 U
F2 L' F B' U2 D' B2
F2 L' F B' D F2 U2
F2 L' F B' D' U2 B2
F2 L' F' U L2 U F
L R2 U D2 R' F L2
L R2 U D2 F L2 R'
L R2 U D2 F R' L2
F2 L' F' D F2 B' U2
F2 L' F' D B' F2 U2
L R2 U F D2 L2 R'
L R2 U F D2 R' L2
F2 L' F' D' B' U2 B'
F2 L' F' B' U L2 U
F2 L' F' B' U2 D' B2
F2 L' F' B' D F2 U2
F2 L' F' B' D' U2 B2
F2 L' F2 U L2 U F
L R2 U' R2 U2 R F
F2 L' F2 D F2 B' U2
F2 L' F2 D B' F2 U2
F2 L' F2 D' B' U2 B'
F2 L' F2 B' U L2 U
F2 L' F2 B' U2 D' B2
F2 L' F2 B' D F2 U2
F2 L' F2 B' D' U2 B2
D2 L' B' U L2 U R
D' L' B' U L2 U R
B' L' B' U' R' U' R2
D2 L' B' U2 R D' B2
D' L' B' U2 R D' B2
D2 L' B' U2 D' R B2
D2 L' B' U2 D' B2 R
D' L' B' U2 D' R B2
D' L' B' U2 D' B2 R
F2 L' B' U L2 U D
F2 L' B' U L2 U D'
F2 L' B' U L2 U D2
F2 L' B' U L2 D U
F2 L' B' U L2 D' U
F2 L' B' U L2 D2 U
B' L' B' U2 R D B2
D2 L' B' D F2 L' U2
D' L' B' D F2 L' U2
U L' B' L2 R' U R2
F2 L' B' U' D2 R2 U'
D2 L' B' D' U2 R B2
D2 L' B' D' U2 B2 R
D' L' B' D' U2 R B2
D' L' B' D' U2 B2 R
F2 L' B' U2 D' B2 D
F2 L' B' U2 D' B2 D'
F2 L' B' U2 D' B2 D2
B L' B' U L U R
F2 L' B' U2 B D' B2
D L' B' U L2 U R
F2 L' B' U2 B' D' B2
F2 L' B' U2 B2 D' B2
U L' B' R' L2 U R2
F2 L' B' D F2 U2 D
F2 L' B' D F2 U2 D'
F2 L' B' D F2 U2 D2
F2 L' B' D F2 D U2
F2 L' B' D F2 D' U2
F2 L' B' D F2 D2 U2
F2 L' B' D' U2 B2 D
F2 L' B' D' U2 B2 D'
F2 L' B' D' U2 B2 D2
F2 L' B' D' F U2 B2
F2 L' B' D' F' U2 B2
F2 L' B' D' F2 U2 B2
D L' B' U2 R D' B2
D L' B' U2 D' R B2
D L' B' U2 D' B2 R
F2 L' B' D2 U' R2 U'
F2 L' B' F U L2 U
D L' B' D F2 L' U2
F2 L' B' F U2 D' B2
F2 L' B' F D F2 U2
F2 L' B' F D' U2 B2
F2 L' B' F' U L2 U
D L' B' D' U2 R B2
D L' B' D' U2 B2 R
F2 L' B' F' U2 D' B2
F2 L' B' F' D F2 U2
