F L U' F2 B' L2
F L U' B' L2 F2
F L U' B' F2 L2
F L' F2 D R2 B
F U' L F2 B' L2
F U' L B' L2 F2
F U' L B' F2 L2
F L R U' F2 B' L2
F L R U' B' L2 F2
F L R U' B' F2 L2
F L R' U' F2 B' L2
F L R' U' B' L2 F2
F L R' U' B' F2 L2
F L R2 U' F2 B' L2
F L R2 U' B' L2 F2
F L R2 U' B' F2 L2
F' L U F2 U' B' L'
F L U' F' B' L2 F'
F L U' F2 B L2 B2
F L U' F2 B' L2 D
F L U' F2 B' L2 D'
F L U' F2 B' L2 D2
F L U' F2 B2 L2 B
F L U' B L2 F2 B2
F L U' B L2 B2 F2
F L U' B F2 L2 B2
F L U' B' L F2 L
F L U' B' L2 F2 D
F L U' B' L2 F2 D'
F L U' B' L2 F2 D2
F L U' B' F' L2 F'
F L U' B' F2 L2 D
F L U' B' F2 L2 D'
F L U' B' F2 L2 D2
F L U' B2 L2 F2 B
F L U' B2 L2 B F2
F L U' B2 F2 L2 B
F' L D R2 B2 L B
F' L D B R2 B2 L
F L D' B2 L2 U' B
F2 L F' U' B' L' F
F' L F2 U' B' L' F2
F L F2 B' L2 D R2
F L B U' L2 F2 B2
F L B U' L2 B2 F2
F L B U' F2 L2 B2
F L B U' F2 B2 L2
F L B U' B2 L2 F2
F L B U' B2 F2 L2
F L B' L2 F2 D R2
F' L B' U F2 U' L'
F L B' F2 L2 D R2
F L B2 U' L2 F2 B
F L B2 U' L2 B F2
F L B2 U' F2 L2 B
F L B2 U' F2 B L2
F L B2 U' B L2 F2
F L B2 U' B F2 L2
F L' R F2 D R2 B
F L' R' F2 D R2 B
F L' R2 F2 D R2 B
F L' D' L2 U' B' L2
F L' F2 R2 D B R2
F L' F2 R2 B D R2
F L' F2 D R2 D B
F L' F2 D R2 D' B
F L' F2 D R2 D2 B
F L' F2 D R2 B D
F L' F2 D R2 B D'
F L' F2 D R2 B D2
F L' F2 D B R2 B
F L' F2 D B' R2 B
F L' F2 D B2 R2 B
F L' F2 B D R2 B
F L' F2 B' D R2 B
F L' F2 B2 D R2 B
F L' B F2 D R2 B
F L' B' F2 D R2 B
F L' B2 F2 D R2 B
F' L2 U F2 U' L' B'
F L2 U' F2 D' L B'
D' L2 B' L F U F2
F R L U' F2 B' L2
F R L U' B' L2 F2
F R L U' B' F2 L2
F R L' F2 D R2 B
F R U' L F2 B' L2
F R U' L B' L2 F2
F R U' L B' F2 L2
F R' L U' F2 B' L2
F R' L U' B' L2 F2
F R' L U' B' F2 L2
L' U' F U2 L' R F2
L' U' F U2 R L' F2
F R' L' F2 D R2 B
F R' U' L F2 B' L2
F R' U' L B' L2 F2
F R' U' L B' F2 L2
F R2 L U' F2 B' L2
F R2 L U' B' L2 F2
F R2 L U' B' F2 L2
F R2 L' F2 D R2 B
F R2 U' L F2 B' L2
F R2 U' L B' L2 F2
F R2 U' L B' F2 L2
F' R2 B2 L D R2 B'
F' R2 B2 L D B' R2
F' R2 B2 L B' D R2
F U L F2 R B' L2
F U L F2 B' L2 R
F U L F2 B' R L2
F U L B' F2 L2 R
F U L B' F2 R L2
L D F' D R B' L
L D F' D B' L R
L D F' D B' R L
F' U F2 U' L B' L2
F U' L F' B' L2 F'
F U' L F2 B L2 B2
F U' L F2 B' L2 D
F U' L F2 B' L2 D'
F U' L F2 B' L2 D2
F U' L F2 B2 L2 B
F U' L B L2 F2 B2
F U' L B L2 B2 F2
F U' L B F2 L2 B2
F U' L B' L F2 L
F U' L B' L2 F2 D
F U' L B' L2 F2 D'
F U' L B' L2 F2 D2
F U' L B' F' L2 F'
F U' L B' F2 L2 D
F U' L B' F2 L2 D'
F U' L B' F2 L2 D2
F U' L B2 L2 F2 B
F U' L B2 L2 B F2
