D' L2 F L' B U' B2
D' L2 F B L' U' B'
F2 L2 F B R U' F'
F' L2 B R F U' F2
D' L2 B F L' U' B'
F2 L2 B F R U' F'
L2 F' B R F2 U' F
D B U2 R' B2 U B'
F' B R U' D' F' R2
F' B R U' F' D' R2
F' B R U2 B2 U F'
F' B R D' U' F' R2
F' B R D2 F2 U' F
L2 B F' R F2 U' F
D2 B' L U D L2 F
D2 B' L D U L2 F
B' F D2 L' F2 U F'
B F' R U' D' F' R2
B F' R U' F' D' R2
B F' R U2 B2 U F'
B F' R D' U' F' R2
B F' R D2 F2 U' F
B' F' U2 R B2 U' F'
F' B' U2 R B2 U' F'
B' F' U2 B2 R U' F'
F' B' U2 B2 R U' F'
B' F' D2 F2 L' U F
F' B' D2 F2 L' U F
F B' D2 L' F2 U F'
