D L F L' U' B
U L B' U2 R' B2
U2 L' U F B R
U2 L' U B F R
U L' U2 F B R
U L' U2 B F R
U' L' F L B R
L' U' F B D' R2
L' U' B D' R2 F
L' U' B D' F R2
L' U' B F D' R2
L' U2 B' U F B2
L' U2 B' U B2 F
D2 U' F B R F'
D2 U' B F R F'
U' D2 F B R F'
U' D2 B F R F'
L F L2 U' F B
L F L2 U' B F
L F U B' U2 B2
L F U' B D2 F2
U' F D2 B R F'
U' F B D2 R F'
U' B L' F L R
U' B L' F R L
U B L B' U2 B
U' B D2 F R F'
U' B F D2 R F'
U2 L U' B' U2 R' B2
R2 L F U F2 B' U2
R2 L F U B' F2 U2
U L D B' U2 R' B2
D2 L D' F L' U' B
U L D' B' U2 R' B2
D' L D2 F L' U' B
F' L F L2 U' F B
F' L F L2 U' B F
D L F L' U' D B
D L F L' U' D' B
D L F L' U' D2 B
D L F L' U' B D
D L F L' U' B D'
D L F L' U' B D2
U L D2 B' U2 R' B2
D L F L' D U' B
D L F L' D' U' B
D L F L' D2 U' B
F2 L F L2 U' F B
F2 L F L2 U' B F
F L F L2 U' F B
F L F L2 U' B F
F' L F U B' U2 B2
F' L F U' B D2 F2
F2 L F U B' U2 B2
F2 L F U' B D2 F2
F L F U B' U2 B2
D L F D L' U' B
F L F U' B D2 F2
D L F D' L' U' B
D L F D2 L' U' B
U L F B' U2 R' B2
U L F' B' U2 R' B2
U L F2 B' U2 R' B2
U L B L B2 U2 B2
U L B' L U2 R' B2
U L B' L' U2 R' B2
U L B' L2 U2 R' B2
U L B' U2 R B2 R2
U L B' U2 R' B2 D
U L B' U2 R' B2 D'
U L B' U2 R' B2 D2
U L B' U2 R2 B2 R
U L B' D2 F2 U2 R'
U L B' F U2 R' B2
U L B' F' U2 R' B2
U L B' F2 U2 R' B2
U' L' R' F L R B
U' L' R' F R L B
U2 L' U R' F R B
U2 L' U D F B R
U2 L' U D B F R
U2 L' U D' F B R
U2 L' U D' B F R
U2 L' U D2 F B R
U2 L' U D2 B F R
U2 L' U F D B R
U2 L' U F D' B R
U2 L' U F D2 B R
U2 L' U F B R D
U2 L' U F B R D'
U2 L' U F B R D2
U2 L' U F B D R
U2 L' U F B D' R
U2 L' U F B D2 R
U2 L' U F B' R B2
U2 L' U F B2 R B'
U2 L' U B R F R
U2 L' U B R' F R
U2 L' U B R2 F R
U2 L' U B D F R
U2 L' U B D' F R
U2 L' U B D2 F R
U2 L' U B F R D
U2 L' U B F R D'
U2 L' U B F R D2
U2 L' U B F D R
U2 L' U B F D' R
U2 L' U B F D2 R
U2 L' U B' F R B2
U2 L' U B2 F R B'
F' L' U' F B D' R2
F2 L' U' F B D' R2
F' L' U' B D' R2 F
F' L' U' B D' F R2
F' L' U' B F D' R2
F L' U' F B D' R2
F2 L' U' B D' R2 F
F2 L' U' B D' F R2
F2 L' U' B F D' R2
F L' U' B D' R2 F
F L' U' B D' F R2
F L' U' B F D' R2
U L' U2 R' F R B
U L' U2 D F B R
U L' U2 D B F R
F' L' U2 B' U F B2
F' L' U2 B' U B2 F
U L' U2 D' F B R
U L' U2 D' B F R
U L' U2 D2 F B R
U L' U2 D2 B F R
F2 L' U2 B' U F B2
F2 L' U2 B' U B2 F
U L' U2 F D B R
U L' U2 F D' B R
U L' U2 F D2 B R
U L' U2 F B R D
U L' U2 F B R D'
U L' U2 F B R D2
U L' U2 F B D R
U L' U2 F B D' R
U L' U2 F B D2 R
U L' U2 F B' R B2
U L' U2 F B2 R B'
F L' U2 B' U F B2
F L' U2 B' U B2 F
U L' U2 B R F R
U L' U2 B R' F R
U L' U2 B R2 F R
U L' U2 B D F R
U L' U2 B D' F R
U L' U2 B D2 F R
U L' U2 B F R D
