U2 F2 L U' R B
D' L U L2 U2 L2 B'
D' L U L2 F U2 L2
D' L U D2 B' R2 F'
D' L U B' D2 R2 F'
D' L U' L2 F U2 F'
F2 L U' R D' L2 B
F2 L U' R D' B L2
F2 L U' R B D' L2
F2 L U' D' L2 R B
F2 L U' D' R L2 B
F2 L U' D' R B L2
U2 L D R' F2 U' B
U2 L D F2 R' U' B
F2 L D' U' L2 R B
F2 L D' U' R L2 B
F2 L D' U' R B L2
D' L D2 U B' R2 F'
F2 L D2 B2 U' R B
U2 L F D F2 R U'
U2 L F' R U L2 U2
U2 L F' R U' D2 R2
U2 L F' R D F2 U'
U2 L F' R D2 U' R2
U2 L F' D R F2 U'
U2 L F' D2 R U' R
U' L' F' U' L2 R U'
U' L' F' U' R L2 U'
F L' F' U D F2 R
F L' F' D U F2 R
U2 R F2 L U' R B
B2 R' U' D' L' F U2
B2 R' U2 F2 U' R B
B2 R' D' U' L' F U2
L' U2 L2 F' R U' R'
U2 R' F2 L U' R B
L' U2 F' L2 R U' R'
L' U2 F' R L2 U' R'
R' U2 F2 L U' R B
R2 U2 F2 L U' R B
R U2 F2 L U' R B
U2 R2 F2 L U' R B
U2 D' L U L2 F U2
U2 D' L U' D2 R2 B'
U2 D' L U' D2 B' R2
U2 D' L U' B' D2 R2
U2 D' L D F2 U' B'
U2 D' L D2 U' R2 B'
U2 D' L D2 U' B' R2
U' D' L' U' L2 U' B'
D' U' L' U' L2 U' B'
U' D' L' D F U2 F
D' U' L' D F U2 F
U' D' L' D' F B2 U2
D' U' L' D' F B2 U2
U' D' L' D' B2 F U2
D' U' L' D' B2 F U2
U' D' L' F U' L2 U'
U' D' L' F U2 D F2
D' U' L' F U' L2 U'
U' D' L' F D U2 F2
D' U' L' F U2 D F2
U' D' L' F D' B2 U2
D' U' L' F D U2 F2
D' U' L' F D' B2 U2
U2 D' F2 L U' R B'
U2 D' F2 L U' B' R
B' U' D' L' F B' U2
B' U' D' L' B' F U2
D' U2 L U L2 F U2
D' U2 L U' D2 R2 B'
D' U2 L U' D2 B' R2
D' U2 L U' B' D2 R2
D' U2 L D F2 U' B'
D' U2 L D2 U' R2 B'
D' U2 L D2 U' B' R2
D' U2 F2 L U' R B'
D' U2 F2 L U' B' R
B2 D R' U' L' U2 B
U2 F' L R F' U' R
U2 F' L D R F' U'
U2 F' L F' U' R B
U2 F' R L F' U' R
U2 F' R F' L U' R
L' F' U' L2 R B' U'
L' F' U' L2 B' R U'
L' F' U' R L2 B' U'
F2 D' L U' L R B
F2 D' L U' R L B
U2 F' D L R F' U'
U2 F' D R L F' U'
U2 F' D R F' L U'
B2 D' R' U' L' F U2
B' D' U' L' F B' U2
B' D' U' L' B' F U2
U2 F2 L U' R D B
U2 F2 L U' R D' B
U2 F2 L U' R D2 B
U2 F2 L U' R B D
U2 F2 L U' R B D'
U2 F2 L U' R B D2
U2 F2 L U' D R B
U2 F2 L U' D' R B
U2 F2 L U' D2 R B
U2 F2 L U' B R B
U2 F2 L U' B' R B
U2 F2 L U' B2 R B
U2 F2 L D U' R B
U2 F2 L D' U' R B
U2 F2 L D2 U' R B
U F2 L U' L' R B
U F2 L U' R L' B
U F2 L U' R B L'
F2 D2 L B2 U' R B
U2 F2 D L U' R B
U2 F2 D' L U' R B
U2 F2 D2 L U' R B
D' B' U' L' F B' U2
D' B' U' L' B' F U2
D2 B2 R' U' L' U2 B'
D' B2 R' U' L' F U2
D B2 R' U' L' U2 B
