D L U' R' B' U B'
D2 L2 D R' B U L'
B2 R' U' L R' F U'
B2 R' U' L F R' U'
B2 R' U' R' L F U'
D' R' D' L2 B U L'
D2 R' F' L2 U L' R
D2 R' F' L2 U R L'
R2 D F2 L' F U' L2
R D' R F' U' L F'
R D' R F' U' F' L
L D2 F' R D' F2 B2
L D2 F' R D' B2 F2
B' D L B' R' U2 B'
D2 F' L2 R' U L' R2
D2 F' L2 R' U R2 L'
D2 F' R D' L F2 B2
D2 F' R D' L B2 F2
D2 F' R D' F2 L B2
D2 F' R' L2 U L' R2
D2 F' R' L2 U R2 L'
R2 F2 L' B U' L2 R'
R2 F2 L' B U' R' L2
R2 F2 D L' F U' L2
L B R' U R' U' F'
L B U R2 U' R F'
L2 B' D B2 L' R' F
L2 B' D B2 L' F R'
L2 B' D B2 R' L' F
