L2 F B' L' U
L2 B' F L' U
D2 L2 F B' L U
D2 L2 B' F L U
L2 D2 F B' L U
F' U2 R F2 B' U'
F' U2 R B' F2 U'
L' F L' F B' U
L' F L' B' F U
L2 D2 B' F L U
F2 U2 F' B' R' U'
F' U2 B' R F2 U'
F2 U2 B' F' R' U'
L2 F D B' L' U
L2 F D' B' L' U
L2 F D2 B' L' U
L2 F B L' B2 U
U2 F B' U2 L' U
L2 F B' L' U D
L2 F B' L' U D'
L2 F B' L' U D2
L2 F B' L' D U
L2 F B' L' D' U
L2 F B' L' D2 U
L2 F B' D L' U
L2 F B' D' L' U
L2 F B' D2 L' U
L2 F B2 L' B U
U2 F' R F2 B' U'
U2 F' R B' F2 U'
U2 F' B' R F2 U'
L2 B F L' B2 U
L2 B' F L' U D
L2 B' F L' U D'
L2 B' F L' U D2
L2 B' F L' D U
L2 B' F L' D' U
L2 B' F L' D2 U
U2 B' F U2 L' U
L2 B' F D L' U
L2 B' F D' L' U
L2 B' F D2 L' U
U2 B' F' R F2 U'
L2 B2 F L' B U
F' L U2 R F2 B U'
F' L U2 R B F2 U'
L2 R F R' B' L' U
D2 L B' L F B' U
D2 L B' L B' F U
L2 R' B' R F L' U
L2 R2 F R2 B' L' U
R2 L2 F R2 B' L' U
R L2 F R' B' L' U
L2 R2 F B' L' R2 U
L2 R2 F B' R2 L' U
R2 L2 F B' L' R2 U
R2 L2 F B' R2 L' U
U' L2 U F B' L' U
U' L2 U B' F L' U
U L2 U' F B' L' U
U L2 U' B' F L' U
R' L2 B' R F L' U
L2 R2 B' R2 F L' U
R2 L2 B' R2 F L' U
L2 R2 B' F L' R2 U
L2 R2 B' F R2 L' U
R2 L2 B' F L' R2 U
R2 L2 B' F R2 L' U
D L2 D F B' L U
D L2 D B' F L U
D L2 D' F B' L' U
D L2 D' B' F L' U
D2 L2 D2 F B' L' U
D2 L2 D2 B' F L' U
B L2 D2 F2 B' L U
B L2 D2 B' L F2 U
B L2 D2 B' F2 L U
F L2 F L U2 F' U'
F2 L2 F U2 R F2 U'
D2 L2 F B' L U D
D2 L2 F B' L U D'
D2 L2 F B' L U D2
D2 L2 F B' L D U
D2 L2 F B' L D' U
D2 L2 F B' L D2 U
D2 L2 F B' D L U
D2 L2 F B' D' L U
D' L2 F B' L' U B'
D2 L2 F B' D2 L U
D L2 F D B' L U
U L2 F B' L' U F'
D2 L2 F' B' L F2 U
D2 L2 F2 B' L F' U
D2 L2 B' D F L U
B L2 B' L2 F L' U
D2 L2 B' D' F L U
D2 L2 B' D2 F L U
D2 L2 B' F L U D
D2 L2 B' F L U D'
D2 L2 B' F L U D2
D2 L2 B' F L D U
D2 L2 B' F L D' U
D2 L2 B' F L D2 U
D2 L2 B' F D L U
D2 L2 B' F D' L U
D2 L2 B' F D2 L U
D2 L2 B' F' L F2 U
D' L2 B' F L' U B'
D2 L2 B' F2 L F' U
D L2 B' D' F L' U
L' U D' L B' L R'
L' U D' L B' R' L
U L2 B' F L' U F'
L' U D' B' L R' B'
L' U D' B' R' L B'
L U D' B L R' B'
L U D' B R' L B'
L2 U F B' L' U F'
L2 U B' F L' U F'
B' R F U2 L' R' U
B' R F U2 R' L' U
U2 R F B' U2 L' U
U2 R F' R F2 B' U'
U2 R F' R B' F2 U'
U2 R F' B' R F2 U'
F' R F2 B2 L B U'
F' R B2 L F2 B U'
F' R B2 L B F2 U'
U2 R B' F U2 L' U
U2 R B' F' R F2 U'
F' R B2 F2 L B U'
U2 R' F B' U2 L' U
U2 R' F' R F2 B' U'
U2 R' F' R B' F2 U'
U2 R' F' B' R F2 U'
F' R' F2 R2 B' L' U'
F' R' F2 B' L' R2 U'
F' R' F2 B' R2 L' U'
F' R' B' F2 L' R2 U'
F' R' B' F2 R2 L' U'
U2 R' B' F U2 L' U
U2 R' B' F' R F2 U'
F R' B' U2 L' R U
F R' B' U2 R L' U
B' R2 F U2 L' R2 U
B' R2 F U2 R2 L' U
B' R2 F' R F2 L' U'
U2 R2 F B' U2 L' U
U2 R2 F' R F2 B' U'
U2 R2 F' R B' F2 U'
U2 R2 F' B' R F2 U'
U2 R2 B' F U2 L' U
U2 R2 B' F' R F2 U'
F R2 B' U2 L' R2 U
F R2 B' U2 R2 L' U
L2 D F D B' L U
F' U R F2 B' U' F2
F' U R B' F2 U' F2
U2 D R' F B' U' B2
U2 D R' B' F U' B2
L2 D B' D' F L' U
U2 D F R' B' U' B2
U2 D F B' R' U' B
U2 D B' R' F U' B
U2 D B' F R' U' B
F' U B' R F2 U' F2
L' D' U L B' L R'
L' D' U L B' R' L
L' D' U B' L R' B'
L' D' U B' R' L B'
L D' U B L R' B'
L D' U B R' L B'
L2 D' F L U B' R'
L2 D' F D' B' L U
L2 D' F B' L U B'
L' D' B' U L B' R'
L2 D' B' D F L' U
L2 D' B' F L U B'
D U2 R' F B' U' B2
D U2 R' B' F U' B2
D2 U2 F B R' B2 U'
D2 U2 F B' U2 L U
U2 D2 F B R' B2 U'
D U2 F R' B' U' B2
U2 D2 F B' U2 L U
L2 D2 F B' L U D
L2 D2 F B' L U D'
L2 D2 F B' L U D2
L2 D2 F B' L D U
L2 D2 F B' L D' U
L2 D2 F B' L D2 U
L2 D2 F B' D L U
L2 D2 F B' D' L U
L2 D2 F B' D2 L U
F U2 L' U2 L B' U'
D U2 F B' R' U' B
L2 D2 F' B' L F2 U
F' U2 R D B' U' R2
F' U2 R F2 D B' U'
F' U2 R F2 D' B' U'
F' U2 R F2 D2 B' U'
F' U2 R F2 B' U' D
F' U2 R F2 B' U' D'
F' U2 R F2 B' U' D2
F' U2 R F2 B' D U'
F' U2 R F2 B' D' U'
F' U2 R F2 B' D2 U'
F' U2 R B' U' D R2
F' U2 R B' D U' R2
F' U2 R B' F2 U' D
F' U2 R B' F2 U' D'
F' U2 R B' F2 U' D2
F' U2 R B' F2 D U'
F' U2 R B' F2 D' U'
F' U2 R B' F2 D2 U'
D2 U2 B R' F B2 U'
D2 U2 B R' B2 F U'
F2 U2 R B' R' F' U'
L2 D2 F2 B' L F' U
D2 U2 B F R' B2 U'
U2 D2 B R' F B2 U'
F' U2 R' F2 R2 B' U'
U2 D2 B R' B2 F U'
F' U2 R' F2 B' R2 U'
F' U2 R' B' R2 F2 U'
F' U2 R' B' F2 R2 U'
U2 D2 B F R' B2 U'
D2 U2 B' F U2 L U
F' U2 R2 F2 R' B' U'
L2 D2 B' D F L U
L2 D2 B' D' F L U
F' U2 D R B' U' R
L2 D2 B' D2 F L U
L2 D2 B' F L U D
L2 D2 B' F L U D'
L2 D2 B' F L U D2
U2 D2 B' F U2 L U
L2 D2 B' F L D U
L2 D2 B' F L D' U
L2 D2 B' F L D2 U
D U2 B' R' F U' B
L2 D2 B' F D L U
L2 D2 B' F D' L U
L2 D2 B' F D2 L U
L2 D2 B' F' L F2 U
L2 D2 B' F2 L F' U
F' U2 D B' R U' R
F2 U2 D F' B' R' U'
D U2 B' F R' U' B
F2 U2 D B' F' R' U'
F2 U2 D' F' B' R' U'
F2 U2 D' B' F' R' U'
B2 U2 D2 F B R' U'
L' F L' D F B' U
L' F L' D B' F U
B2 U2 D2 B R' F U'
L' F L' D' F B' U
L' F L' D' B' F U
B2 U2 D2 B F R' U'
F2 U2 D2 F' B' R' U'
L' F L' D2 F B' U
L' F L' D2 B' F U
L' F L' F D B' U
L' F L' F D' B' U
L' F L' F D2 B' U
L' F L' F B' U D
L' F L' F B' U D'
L' F L' F B' U D2
L' F L' F B' D U
L' F L' F B' D' U
L' F L' F B' D2 U
F2 U2 D2 B' F' R' U'
L' F L' B' D F U
L' F L' B' D' F U
L' F L' B' D2 F U
L' F L' B' F U D
L' F L' B' F U D'
L' F L' B' F U D2
L' F L' B' F D U
L' F L' B' F D' U
L' F L' B' F D2 U
B' U2 F U2 L' F' U
L2 F L' D' B U R'
L F L F B' L2 U
B2 U2 F B U2 L' U
L F L B' F L2 U
F2 U2 F B' R' F2 U'
L F L' U2 F B' U'
L F L' U2 B' F U'
F2 U2 F' R B' R' U'
F2 U2 F' R' B' R' U'
F2 U2 F' R2 B' R' U'
F2 U2 F' D B' R' U'
B2 U2 F' B R F2 U'
F2 U2 F' D' B' R' U'
B U2 F B2 U2 L' U
F2 U2 F' D2 B' R' U'
F2 U2 F' B' R' U' D
F2 U2 F' B' R' U' D'
F2 U2 F' B' R' U' D2
F2 U2 F' B' R' D U'
F2 U2 F' B' R' D' U'
F2 U2 F' B' R' D2 U'
F2 U2 F' B' D R' U'
F2 U2 F' B' D' R' U'
F2 U2 F' B' D2 R' U'
B U2 F' R F2 B2 U'
B U2 F' R B2 F2 U'
U2 F R B' U2 L' U
F' U2 F2 B' U2 L' U
B U2 F' B2 R F2 U'
F2 U2 F2 B' R' F U'
F' U2 B R F2 B2 U'
F' U2 B R B2 F2 U'
L2 F R' B' L' R U
L2 F R' B' R L' U
U2 F R' B' U2 L' U
B2 U2 B F U2 L' U
B2 U2 B F' R F2 U'
F' U2 B' R U' D R2
F' U2 B' R D U' R2
F' U2 B' R F2 U' D
F' U2 B' R F2 U' D'
F' U2 B' R F2 U' D2
F' U2 B' R F2 D U'
F' U2 B' R F2 D' U'
F' U2 B' R F2 D2 U'
F' U2 B' R' F2 R2 U'
F' U2 B' R2 F2 R' U'
F' U2 B' D R U' R
L2 F R2 B' L' R2 U
U2 F R2 B' U2 L' U
L2 F R2 B' R2 L' U
F2 U2 B' D F' R' U'
F' U2 B' F2 U2 L' U
F2 U2 B' D' F' R' U'
F2 U2 B' D2 F' R' U'
F2 U2 B' F R' F2 U'
F2 U2 B' F' R' U' D
F2 U2 B' F' R' U' D'
F2 U2 B' F' R' U' D2
F2 U2 B' F' R' D U'
F2 U2 B' F' R' D' U'
F2 U2 B' F' R' D2 U'
F2 U2 B' F' D R' U'
F2 U2 B' F' D' R' U'
F2 U2 B' F' D2 R' U'
F2 U2 B' F2 R' F U'
F U2 B' U2 L' B U
F U2 B' U2 B L' U
B U2 B2 F U2 L' U
B U2 B2 F' R F2 U'
U2 F U2 L2 F L U
L' F D' L' B' U L
L2 F D B L' B2 U
L2 F D B' L' U D
L2 F D B' L' U D'
L2 F D B' L' U D2
L2 F D B' L' D U
L2 F D B' L' D' U
L2 F D B' L' D2 U
U2 F D B' U2 L' U
L2 F D B' D L' U
L2 F D B' D' L' U
L2 F D B' D2 L' U
L2 F D B2 L' B U
L2 F D' B L' B2 U
L2 F D' B' L' U D
L2 F D' B' L' U D'
L2 F D' B' L' U D2
L2 F D' B' L' D U
L2 F D' B' L' D' U
L2 F D' B' L' D2 U
U2 F D' B' U2 L' U
L2 F D' B' D L' U
L2 F D' B' D' L' U
L2 F D' B' D2 L' U
L2 F D' B2 L' B U
L' F B L' F B' U
L' F B L' B' F U
L2 F D2 B L' B2 U
L2 F D2 B' L' U D
L2 F D2 B' L' U D'
L2 F D2 B' L' U D2
L2 F D2 B' L' D U
L2 F D2 B' L' D' U
L2 F D2 B' L' D2 U
U2 F D2 B' U2 L' U
L2 F D2 B' D L' U
L2 F D2 B' D' L' U
L2 F D2 B' D2 L' U
L2 F D2 B2 L' B U
L2 F B L B2 L2 U
L2 F B L' U D' R2
L2 F B L' D' U R2
L2 F B L' B2 U D
L2 F B L' B2 U D'
L2 F B L' B2 U D2
L2 F B L' B2 D U
L2 F B L' B2 D' U
L2 F B L' B2 D2 U
L' F B' L' F B' U
L' F B' L' B' F U
L2 F B D' L' U R2
L2 F B' L U D' B2
L2 F B' L D' U B2
L2 F B' L2 D L U
L2 F B' L2 D' L U
L2 F B' L2 D2 L U
U2 F B' R U2 L' U
U2 F B' R' U2 L' U
U2 F B' R2 U2 L' U
L' F B2 L' F B' U
L' F B2 L' B' F U
U2 F B' U2 L' U D
U2 F B' U2 L' U D'
U2 F B' U2 L' U D2
U2 F B' U2 L' D U
U2 F B' U2 L' D' U
U2 F B' U2 L' D2 U
U2 F B' U2 D L' U
U2 F B' U2 D' L' U
U2 F B' U2 D2 L' U
L2 F B' D L' U D
L2 F B' D L' U D'
L2 F B' D L' U D2
L2 F B' D L' D U
L2 F B' D L' D' U
L2 F B' D L' D2 U
U2 F B' D U2 L' U
L2 F B' D' L' U D
L2 F B' D' L' U D'
L2 F B' D' L' U D2
L2 F B' D' L' D U
L2 F B' D' L' D' U
L2 F B' D' L' D2 U
U2 F B' D' U2 L' U
L2 F B' D2 L' U D
L2 F B' D2 L' U D'
L2 F B' D2 L' U D2
L2 F B' D2 L' D U
