D2 L F' R U R
F' L B2 U R' F'
D2 F' L R U R
D2 F' R L U R
L F' B2 U R' F'
L B2 F' U R' F'
F' L R B2 U R' F'
D' L R B2 U F' L'
F' L R' B2 U R' F'
F' L R2 B2 U R' F'
F' L U' D L B' U2
F' L D U' L B' U2
D' L D' F' R U R
D2 L F' R U R D
D2 L F' R U R D'
D2 L F' R U R D2
D2 L F' R U D R
D2 L F' R U D' R
D2 L F' R U D2 R
D2 L F' R D U R
D2 L F' R D' U R
D2 L F' R D2 U R
D2 L F' R B U R
D2 L F' R B' U R
D2 L F' R B2 U R
D' L F' R B2 U F'
D2 L F' D R B2 U
D2 L F' D B2 R U
D2 L F' B R U R
D2 L F' B' R U R
D2 L F' B2 R U R
D' L F' B2 R U F'
U2 L F' B2 U R' F'
U' L F' B2 U R' F'
U L F' B2 U R' F'
L R B2 U R' F' L'
R L B2 U R' F' L'
F L F2 B2 U R' F'
F' L B R' B U R'
F' L B D' R' B U
D2 L B F' R U R
D2 L B' F' R U R
D' L B2 R U F' L'
F' L B2 U R' D F'
F' L B2 U R' D' F'
F' L B2 U R' D2 F'
F' L B2 U R' F' D
F' L B2 U R' F' D'
F' L B2 U R' F' D2
F' L B2 U D R' F'
F' L B2 U D' R' F'
F' L B2 U D2 R' F'
F' L B2 U F R' F'
F' L B2 U F' R' F'
F' L B2 U F2 R' F'
F' L B2 D U R' F'
D' L B2 D' F' R U
F' L B2 D' U R' F'
F' L B2 D2 U R' F'
D2 L B2 F' R U R
D' L B2 F' R U F'
U' L B2 F' U R' F'
U2 L B2 F' U R' F'
F L B2 F2 U R' F'
U L B2 F' U R' F'
D2 L' F' L2 R U R
D2 L' F' R L2 U R
L2 U L' D2 F' R U
L2 U D L' F' U F2
L2 U D2 L' F' R U
D' R L B2 U F' L'
F' R L B2 U R' F'
F' R' L B2 U R' F'
F' R2 L B2 U R' F'
L2 D U L' F' U F2
D2 U L F' R U R
L D F' U' L B' U2
D2 U F' L R U R
D2 U F' R L U R
D2 U' L F' R U R
D2 U' F' L R U R
D2 U' F' R L U R
U' D2 L F' R U R
D2 U2 L F' R U R
U2 D2 L F' R U R
U D2 L F' R U R
L2 D2 U L' F' R U
U' D2 F' L R U R
D2 U2 F' L R U R
U' D2 F' R L U R
D2 U2 F' R L U R
U2 D2 F' L R U R
U2 D2 F' R L U R
U D2 F' L R U R
U D2 F' R L U R
L D2 F' R U' L U2
L D2 F' R B2 U R'
L D2 F' B2 R U R2
L D2 B2 F' R U R2
D2 F' L R U R D
D2 F' L R U R D'
D2 F' L R U R D2
D2 F' L R U D R
D2 F' L R U D' R
D2 F' L R U D2 R
D2 F' L R D U R
D2 F' L R D' U R
D2 F' L R D2 U R
D2 F' L R B U R
D' F' L R B2 U F'
D2 F' L R B' U R
D2 F' L R B2 U R
D2 F' L D R B2 U
D2 F' L D B2 R U
U' F' L B2 U R' F'
D2 F' L B R U R
D2 F' L B' R U R
D' F' L B2 R U F'
D2 F' L B2 R U R
U2 F' L B2 U R' F'
U F' L B2 U R' F'
D2 F' R L U R D
D2 F' R L U R D'
D2 F' R L U R D2
D2 F' R L U D R
D2 F' R L U D' R
D2 F' R L U D2 R
D2 F' R L D U R
D2 F' R L D' U R
D2 F' R L D2 U R
D2 F' R L B U R
D2 F' R L B' U R
D2 F' R L B2 U R
D' F' R L B2 U F'
D2 F' R D L U R
D2 F' R D' L U R
D2 F' R D2 L U R
D2 F' R B' U R B
L F' R B2 U R' F'
L F' R' B2 U R' F'
F' D' L R B2 U F'
L F' R2 B2 U R' F'
F' D' L B2 R U F'
D2 F' D L R B2 U
D2 F' D L B2 R U
D2 F' D R L B2 U
L F' U' D L B' U2
F' D' R L B2 U F'
L F' D U' L B' U2
D2 F' B' R U R B
L F' B R' B U R'
L F' B D' R' B U
L F' B2 U R' D F'
L F' B2 U R' D' F'
L F' B2 U R' D2 F'
L F' B2 U R' F' D
L F' B2 U R' F' D'
L F' B2 U R' F' D2
L F' B2 U D R' F'
L F' B2 U D' R' F'
L F' B2 U D2 R' F'
L F' B2 U F R' F'
L F' B2 U F' R' F'
L F' B2 U F2 R' F'
L F' B2 D U R' F'
L F' B2 D' U R' F'
L F' B2 D2 U R' F'
B D' F' R' B2 U B'
L2 B U L' F' R' U
L B D' F' R' B U
L B D2 F' R' U R2
L B F' R' B U R'
L B F' D' R' B U
F' B D' R' B2 U B'
D2 B' F' R U R B
B F' D' R' B2 U B'
L B2 D F' U R' F'
L B2 D' F' U R' F'
L B2 D2 F' U R' F'
L B2 F' U R' D F'
L B2 F' U R' D' F'
L B2 F' U R' D2 F'
L B2 F' U R' F' D
L B2 F' U R' F' D'
L B2 F' U R' F' D2
L B2 F' U D R' F'
L B2 F' U D' R' F'
L B2 F' U D2 R' F'
L B2 F' U F R' F'
L B2 F' U F' R' F'
L B2 F' U F2 R' F'
L B2 F' D U R' F'
L B2 F' D' U R' F'
L B2 F' D2 U R' F'
