D2 R F' U' F'
D2 L R F' U' F'
L R D L2 F U'
L' R D F L2 U'
R L D L2 F U'
L' R D2 F U' F
L' R F U B2 U2
L' R F U' D2 F2
L' R F D L2 U'
L' R F D2 U' F2
D2 L' R F' U' F'
R L' D F L2 U'
R L' D2 F U' F
R L' F U B2 U2
R L' F U' D2 F2
R L' F D L2 U'
R L' F D2 U' F2
D2 L2 R F' U' F'
D L2 R F' U' R
D L2 D R F' U'
D L2 F' U' R B
D2 R L F' U' F'
D2 R L' F' U' F'
D2 R L2 F' U' F'
D R L2 F' U' R
D2 R D' L2 F' U'
D2 R D' F' L2 U'
D2 R F' L U' F'
D2 R F' L' U' F'
D2 R F' L2 U' F'
D2 R F' U' D F'
D2 R F' U' D' F'
D2 R F' U' D2 F'
D2 R F' U' F' D
D2 R F' U' F' D'
D2 R F' U' F' D2
D2 R F' D U' F'
D2 R F' D' U' F'
D R F' L2 U' R
D2 R F' D2 U' F'
L' D R F L2 U'
L D L2 R F U'
L D R L2 F U'
R D L2 F' U' R
R D F' L2 U' R
L' D2 R F U' F
D F' L2 U' R B
D2 L R D' L2 F' U'
D2 L R D' F' L2 U'
D2 L R F' L U' F'
D2 L R F' L' U' F'
D2 L R F' L2 U' F'
D2 L R F' U' D F'
D2 L R F' U' D' F'
D2 L R F' U' D2 F'
D2 L R F' U' F' D
D2 L R F' U' F' D'
D2 L R F' U' F' D2
D2 L R F' D U' F'
D2 L R F' D' U' F'
D2 L R F' D2 U' F'
D L R F' L U' R
L' R U B2 U' F U'
L2 R U B L B U2
L R U B2 U B U
R L U B2 U B U
L2 R U' D2 F R F
L2 R U' F R D2 F2
L2 R U' F D2 R F2
L2 R U' F' D2 F2 R
L R U2 D' R2 B' U
L R U2 D' B' R2 U
L R U2 D2 B' U F2
R L U2 D' R2 B' U
R L U2 D' B' R2 U
R L U2 D2 B' U F2
L' R D L2 U2 B' U
L R U2 B' U' B' U2
R' L D L2 F U' B2
L2 R D L F L U'
R L U2 B' U' B' U2
R2 L D L2 R' F U'
R2 L D L2 F R' U'
L R D L2 D F U'
L R D L2 D' F U'
L R D L2 D2 F U'
L R D L2 F U' D
L R D L2 F U' D'
L R D L2 F U' D2
L R D L2 F D U'
L R D L2 F D' U'
L R D L2 F D2 U'
R2 L D R' L2 F U'
L' R D F L2 U' D
L' R D F L2 U' D'
L' R D F L2 U' D2
L' R D F L2 D U'
L' R D F L2 D' U'
L' R D F L2 D2 U'
R L D L2 D F U'
R L D L2 D' F U'
R L D L2 D2 F U'
R L D L2 F U' D
R L D L2 F U' D'
R L D L2 F U' D2
R L D L2 F D U'
R L D L2 F D' U'
R L D L2 F D2 U'
L' R D F U' D F2
L' R D F D U' F2
L' R D F' L2 F2 U'
L' R D F2 L2 F' U'
L R D F L2 F U'
L R D F' L2 F U'
L R D F2 L2 F U'
R L D F L2 F U'
R L D F' L2 F U'
R L D F2 L2 F U'
L' R D' F U' D' F2
L' R D' F U2 R2 U
L' R D' F D' U' F2
L' R D' F D2 L2 U'
L R D' U2 R2 B' U
L R D' U2 B' R2 U
R L D' U2 R2 B' U
R L D' U2 B' R2 U
L2 R D2 L F U' F
L R D2 L2 F U' F
R L D2 L2 F U' F
F2 L U2 B' L2 U F
L' R D2 F U' D F
L' R D2 F U' D' F
L' R D2 F U' D2 F
L' R D2 F U' F D
L' R D2 F U' F D'
L' R D2 F U' F D2
L' R D2 F D U' F
L' R D2 F D' U' F
L' R D2 F D2 U' F
L2 R D2 U' F R F
D L D L R F' U'
L R D2 U2 B' U F2
F' L D L2 F R U'
L2 R D2 F U' F R
R L D2 U2 B' U F2
D L D R L F' U'
D L D R F' L U'
L' R F L U B2 U2
L' R F L U' D2 F2
L' R F L D L2 U'
L' R F L D2 U' F2
L' R F L' U B2 U2
L' R F L' U' D2 F2
L' R F L' D L2 U'
L' R F L' D2 U' F2
L' R F L2 U B2 U2
L' R F L2 U' D2 F2
L' R F L2 D L2 U'
L' R F L2 D2 U' F2
L' R F U B2 U2 D
L' R F U B2 U2 D'
L' R F U B2 U2 D2
L' R F U B2 D U2
L' R F U B2 D' U2
L' R F U B2 D2 U2
L' R F U' D2 F2 D
L' R F U' D2 F2 D'
L' R F U' D2 F2 D2
L' R F U' F D2 F2
L' R F U' F' D2 F2
L' R F U' F2 D2 F2
L' R F U2 D' R2 U
L' R F D L2 U' D
L' R F D L2 U' D'
L' R F D L2 U' D2
L' R F D L2 D U'
L' R F D L2 D' U'
L' R F D L2 D2 U'
L' R F D' U2 R2 U
L' R F D2 L U' F2
L' R F D2 L' U' F2
L' R F D2 L2 U' F2
L' R F D2 U' F2 D
L' R F D2 U' F2 D'
L' R F D2 U' F2 D2
L R F D L2 F U'
D' L D' R F' U' F'
R L F D L2 F U'
L' R F' D L2 U' R2
L R F' D L2 F U'
R L F' D L2 F U'
L' R F2 D L2 F' U'
L' R F2 D F' L2 U'
L' R F2 D2 F' U' F'
L R F2 D L2 F U'
R L F2 D L2 F U'
D L F' L U' R B
R L' U B2 U' F U'
D2 L' R D' L2 F' U'
D2 L' R D' F' L2 U'
D2 L' R F' L U' F'
D2 L' R F' L U' F'
D2 L' R F' L' U' F'
D2 L' R F' L2 U' F'
D2 L' R F' U' D F'
D2 L' R F' U' D' F'
D2 L' R F' U' D2 F'
D2 L' R F' U' F' D
D2 L' R F' U' F' D'
D2 L' R F' U' F' D2
D L' R D' L' F U'
D2 L' R F' D U' F'
D2 L' R F' D' U' F'
D2 L' R F' D2 U' F'
L R' D L2 F U' B2
R L' D L2 U2 B' U
R2 L' D R' F L2 U'
R' L' D F L2 U' B2
L' R' D F L2 U' B2
R2 L' D F L2 R' U'
R2 L' D F R' L2 U'
R L' D F L2 U' D
R L' D F L2 U' D'
R L' D F L2 U' D2
R L' D F L2 D U'
R L' D F L2 D' U'
R L' D F L2 D2 U'
R L' D F U' D F2
R L' D F D U' F2
R L' D F' L2 F2 U'
R L' D F2 L2 F' U'
R L' D' F U' D' F2
R L' D' F U2 R2 U
R L' D' F D' U' F2
R L' D' F D2 L2 U'
R2 L' D2 R' F U' F
R2 L' D2 F R' U' F
R L' D2 F U' D F
R L' D2 F U' D' F
R L' D2 F U' D2 F
R L' D2 F U' F D
R L' D2 F U' F D'
R L' D2 F U' F D2
R L' D2 F D U' F
R L' D2 F D' U' F
R L' D2 F D2 U' F
R' L' F R2 U B2 U2
R' L' F R2 U' D2 F2
R' L' F R2 D L2 U'
R' L' F R2 D2 U' F2
L' R' F R2 U B2 U2
L' R' F R2 U' D2 F2
L' R' F R2 D L2 U'
L' R' F R2 D2 U' F2
R L' F L U B2 U2
R L' F L U' D2 F2
R L' F L D L2 U'
R L' F L D2 U' F2
R L' F L' U B2 U2
R L' F L' U' D2 F2
R L' F L' D L2 U'
R L' F L' D2 U' F2
R L' F L2 U B2 U2
R L' F L2 U' D2 F2
R L' F L2 D L2 U'
R2 L' F R' U B2 U2
R L' F L2 D2 U' F2
R2 L' F R' U' D2 F2
R2 L' F R' D L2 U'
R2 L' F R' D2 U' F2
B2 L' U' R F B2 U'
R' L' F D L2 U' B2
B2 L' U' R B2 F U'
L' R' F D L2 U' B2
R L' F U B2 U2 D
R L' F U B2 U2 D'
R L' F U B2 U2 D2
R L' F U B2 D U2
R L' F U B2 D' U2
R L' F U B2 D2 U2
R2 L' F D L2 R' U'
R L' F U' D2 F2 D
R L' F U' D2 F2 D'
R L' F U' D2 F2 D2
R2 L' F D R' L2 U'
R L' F U' F D2 F2
R L' F U' F' D2 F2
R L' F U' F2 D2 F2
R L' F U2 D' R2 U
R L' F D L2 U' D
