D' F2 R U B R2
D L R' D F2 L2 B'
L' R U' B' R2 B2 L
L' R D' F2 U' L' B
L' R D' F2 U' B L'
D L D R' F2 L2 B'
L' R F2 U' L' B R2
L' R F2 U' B L' R2
L' R F2 U' B R2 L'
L' R B' U' R2 B2 L
R L' U' B' R2 B2 L
D2 L' R U' L' B R2
D2 L' R U' B L' R2
D2 L' R U' B R2 L'
D L' R B2 U' R2 B'
D L' R B2 U' B' R2
R L' D' F2 U' L' B
R L' D' F2 U' B L'
U2 L' U R2 U2 R B'
U2 L' U R2 U2 B' R
U L' U R2 U2 R B
U2 L' U' R' B2 L B
U2 L' U' D2 R' B' L2
R L' F2 U' L' B R2
R L' F2 U' B L' R2
R L' F2 U' B R2 L'
U2 L' D2 U' R' B' L2
R L' B' U' R2 B2 L
R' U L' U F' R' U2
D2 R L' U' L' B R2
D2 R L' U' B L' R2
D2 R L' U' B R2 L'
D R L' B2 U' R2 B'
D R L' B2 U' B' R2
F2 R U B' R2 B2 L
R2 U' L' R' U' B R2
R2 U' L' U' R' B R2
F2 R F2 U L' B R2
F2 R F2 U B L' R2
F2 R F2 U B R2 L'
R2 U' R' L' U' B R2
L' U' R' B2 D L B'
F2 R B' U R2 B2 L
D R' L D F2 L2 B'
R' U2 F' D R' B U2
F2 R2 U R' U B R2
U' R2 U' L' U' R B'
U' R2 U' L' U' B' R
U2 R2 U' L' U' R B
L' D R B2 U' R2 B'
L' D R B2 U' B' R2
L D R' F2 D L2 B'
R D' L' F2 U' L' B
R D' L' F2 U' B L'
D2 U' L' U' L' R' B'
D2 U' L' U' R' L' B'
L' D2 R U' L2 B R2
L' D2 R U' B L2 R2
L' D2 R U' B R2 L2
U' D2 L' U' L' R' B'
U' D2 L' U' R' L' B'
D2 U2 L' U' R' B' L'
U2 D2 L' U' R' B' L'
R' F' R' U2 D R F'
R' F' R' D U2 R F'
R' F' D R' B U2 R
F2 D' R F2 U B R2
F2 D' R' D' F2 L2 B'
D' F2 L R U B R2
D' F2 L' R U B R2
D' F2 L2 R U B R2
D' F2 R L U B R2
D' F2 R L' U B R2
D' F2 R L2 U B R2
D2 F2 R U L2 B R2
D2 F2 R U B L2 R2
D2 F2 R U B R2 L2
D' F2 R U B R2 D
D' F2 R U B R2 D'
D' F2 R U B R2 D2
D' F2 R U B' R2 B2
D' F2 R U B2 R2 B'
D' F2 R D B2 U B'
D' F2 R B' U R2 B2
D' F2 R B' U B2 R2
D' F2 R B2 U R2 B'
D' F2 R B2 U B' R2
D' F2 D R U B R2
D' F2 D' R U B R2
D' F2 D2 R U B R2
F2 D2 R U L2 B R2
F2 D2 R U B L2 R2
F2 D2 R U B R2 L2
D' F2 B' R U B R'
R B' L' U' R2 B2 L
R B' R2 B2 L D F2
D' B' F2 R U B R'
