U' L F D' L2 B' R'
D R' F' R' B L U'
F' R2 U D B R' F'
F' R2 D U B R' F'
D R2 D B L U' R'
F' R2 B' R' B U B
R2 D B L R2 U' R
F2 U R' F U R F2
R2 D B R2 L U' R
F' U R2 F B R F'
F' U R2 B F R F'
F2 U R2 F U R F'
F' U F R' F' R2 B
F2 U F R' U F' R2
F' U F' L' U2 L F
F' U' L' F' B' U2 R'
F' U' L' B' F' U2 R'
F' U' F' L U2 F R
F' U' F' L' B' U2 R'
F' U' F' B L U2 F
F' U' F' B' U2 R' F'
F' U' B L F' U2 F2
F' U' B F' L U2 F
F' U' B' F' U2 R' F'
R' F' R2 U' B L F
B2 D2 F' R B U B
F2 B' U R' F U R
F2 B' U F R' U R2
B' F2 U R' F U R
B' F2 U F R' U R2
