F' L' B' U' B U'
F L U F2 L' U2 F'
F L U' R D2 F B2
F L U' R D2 B2 F
F L U' D2 R F B2
F L U' D2 R B2 F
F L U' D2 B2 R F
F L D R2 U' R' F
F L D R2 U' F R'
R2 L F' U' F2 B R
R2 L F' U' B F2 R
F L D2 U' R F B2
F L D2 U' R B2 F
F L D2 U' B2 R F
R2 L F2 U' F' B R
R2 L F2 U' B F' R
F' L' R B' U' B U'
F' L' R' B' U' B U'
F' L' R2 B' U' B U'
F L' U F2 B' L' U2
F' L' U' L2 U' F L2
F L' U B' F2 L' U2
F' L' U2 F2 D' L2 F
F' L' D B' U' B U'
F' L' D' B' U' B U'
F' L' D2 B' U' B U'
F' L' B' R2 U F' U
F' L' B' U' D B U'
F' L' B' U' D' B U'
F' L' B' U' D2 B U'
F' L' B' U' B U' D
F' L' B' U' B U' D'
F' L' B' U' B U' D2
F' L' B' U' B D U'
F' L' B' U' B D' U'
F' L' B' U' B D2 U'
F' L' B' D U' B U'
F' L' B' D' U' B U'
F' L' B' D2 U' B U'
F' L' B2 D B U2 L2
F' L' B2 D' R2 U2 F'
F' L' B2 D' B R2 U2
L R2 F' U' F2 B R
L R2 F' U' B F2 R
F L2 U F2 L' U2 F
L R2 F2 U' F' B R
L R2 F2 U' B F' R
F L2 U' D2 R F' B2
F L2 U' D2 R B2 F'
F L2 U' D2 B2 R F'
F L2 D2 U' R F' B2
F L2 D2 U' R B2 F'
F L2 D2 U' B2 R F'
F' R L' B' U' B U'
L U' R2 D F B R'
L U' R2 D B R' F
L U' R2 D B F R'
L U' R2 F D B R'
F' R' L' B' U' B U'
U2 R' B' U F' R' B
F' R2 L' B' U' B U'
F U2 R' U F' R2 B
R2 F L U' B R F
L F R D2 B2 D L2
L' F U F2 B' L' U2
L' F U B' F2 L' U2
L2 F U F2 L' U2 F
L2 F U' D2 R F' B2
L2 F U' D2 R B2 F'
L2 F U' D2 B2 R F'
F D L R2 U' R' F
F D L R2 U' F R'
F' D L' B' U' B U'
L2 F D2 U' R F' B2
L2 F D2 U' R B2 F'
L2 F D2 U' B2 R F'
L F D2 R B2 D L2
L F D2 B2 R D L2
L F D2 B2 D L2 R
L F D2 B2 D R L2
F D R2 L U' R' F
F D R2 L U' F R'
D' F' L' B' U' B U'
D2 F' L' B' U' B U'
B2 D F' L' B' U2 L'
D F' L' B' U' B U'
L F' L' U2 F2 D' L2
U2 F' U F R B U
F' D' L' B' U' B U'
L F' U2 F2 R D' L2
L F' U2 F2 D' L2 R
L F' U2 F2 D' R L2
L' F' B' L' U' B U'
B2 D' F' L' R2 B' U2
B2 D' F' L' B' R2 U2
B2 D' F' R2 L' B' U2
L F2 L2 U' F' R B'
L F2 L2 U' F' B' R
L F2 L2 U' B' F' R
L' F2 U F B' L' U2
L' F2 U B' F L' U2
L2 F2 U F L' U2 F
L F2 U F L' U2 F2
L F2 U F U2 F2 R
F D2 L U' R F B2
F D2 L U' R B2 F
F' D2 L' B' U' B U'
F D2 L U' B2 R F
L F2 U' F' R D2 B2
L F2 U' F' D2 R B2
L F2 U' F' D2 B2 R
U2 F2 D' L2 B' R' F'
F' B L' D' B' U2 L
U2 B' R2 U B R F'
B' F' L' B' U' B2 U'
B' F' L' B' U2 D L2
B' F' L' B' D U2 L2
B' F' L' B' D' R2 U2
B2 F' L' U2 D L2 F
B2 F' L' D U2 L2 F
B2 F' L' D B' U2 L2
B2 F' L' D' R2 B' U2
B2 F' L' D' B' R2 U2
F' B' L' B' U' B2 U'
F' B' L' B' U2 D L2
F' B' L' B' D U2 L2
F' B' L' B' D' R2 U2
B2 F' L' B' U' B' U'
B F' L' D' B' U2 L
L' B' F' L' U' B U'
B2 F' D L' B' U2 L'
B2 F' D' L' R2 B' U2
B2 F' D' L' B' R2 U2
B2 F' D' R2 L' B' U2
F' B2 L' U2 D L2 F
F' B2 L' D U2 L2 F
F' B2 L' D B' U2 L2
F' B2 L' D' R2 B' U2
F' B2 L' D' B' R2 U2
F' B2 L' B' U' B' U'
F' B2 D L' B' U2 L'
F' B2 D' L' R2 B' U2
F' B2 D' L' B' R2 U2
F' B2 D' R2 L' B' U2
