U' L2 U2 L2 B' U
U' L2 D' F U' B2
U' L2 D2 R2 F U'
U' L2 D2 F R2 U'
U' L2 F U' D' B2
U' L2 F U2 L2 U
U' L2 F D' U' B2
U' L2 F D2 R2 U'
U L2 F U2 F' U
D2 U' B' R2 F' U
B' U2 L2 U' L2 B
B' U2 L2 U' B L2
U' D2 B' R2 F' U
B D L2 F U2 F
U F' L2 F B' U'
U F' L2 B' F U'
B D' B2 U2 B R2
U' B' U2 L2 B U'
U' B' U2 B L2 U'
U' B' D2 R2 F' U
D' B2 U B U B
B' L U2 L U' L' B
B' L U2 L U' B L'
L2 R F B2 U' L B2
U' L F L F R U'
U' L F2 L R F U'
U' L F2 R L F U'
L2 R B2 F U' L B2
U2 L' U' L' F U' L2
B' L' U2 L' U' L B
L2 R2 D F B2 U' B2
R2 L2 D F B2 U' B2
L2 R2 D B2 F U' B2
R2 L2 D B2 F U' B2
U' L2 R U2 L2 B' U
U' L2 R D' F U' B2
U' L2 R D2 R2 F U'
U' L2 R D2 F R2 U'
U' L2 R F U' D' B2
U' L2 R F U2 L2 U
U' L2 R F D' U' B2
U' L2 R F D2 R2 U'
U' L2 R' U2 L2 B' U
U' L2 R' D' F U' B2
U' L2 R' D2 R2 F U'
U' L2 R' D2 F R2 U'
U' L2 R' F U' D' B2
U' L2 R' F U2 L2 U
U' L2 R' F D' U' B2
U' L2 R' F D2 R2 U'
U' L2 R2 U2 L2 B' U
L2 R2 F D B2 U' B2
R2 L2 F D B2 U' B2
U' L2 R2 D' F U' B2
U' L2 R2 D2 R2 F U'
U' L2 R2 D2 F R2 U'
U' L2 R2 F U' D' B2
U' L2 R2 F U2 L2 U
U' L2 R2 F D' U' B2
U' L2 R2 F D2 R2 U'
R L2 F B2 U' L B2
U L2 R2 F R2 B U'
U2 L2 U' F U' L2 F'
U2 L2 U' F U' F' L2
U' L2 U2 L2 D B' U
U' L2 U2 L2 D' B' U
U' L2 U2 L2 D2 B' U
U' L2 U2 L2 B' U D
U' L2 U2 L2 B' U D'
U' L2 U2 L2 B' U D2
U' L2 U2 L2 B' D U
U' L2 U2 L2 B' D' U
U' L2 U2 L2 B' D2 U
U' L2 U2 B L2 B' U
U' L2 U2 B' L2 B' U
U' L2 U2 B2 L2 B' U
U' L2 D F U F U2
U L2 D F U2 F' U
U' L2 D' R F U' B2
U' L2 D' R' F U' B2
U' L2 D' R2 F U' B2
U' L2 D' F R U' B2
U' L2 D' F R' U' B2
U' L2 D' F R2 U' B2
U' L2 D' F U' B2 D
U' L2 D' F U' B2 D'
U' L2 D' F U' B2 D2
U' L2 D' F D' R2 U'
R L2 B2 F U' L B2
U L2 D' F U2 F' U
U' L2 D2 R' F R' U'
U' L2 D2 R2 D F U'
U' L2 D2 R2 D' F U'
U' L2 D2 R2 D2 F U'
U' L2 D2 R2 F U' D
U' L2 D2 R2 F U' D'
U' L2 D2 R2 F U' D2
U' L2 D2 R2 F D U'
U' L2 D2 R2 F D' U'
U' L2 D2 R2 F D2 U'
U' L2 D2 F R2 U' D
U' L2 D2 F R2 U' D'
U' L2 D2 F R2 U' D2
U' L2 D2 F R2 D U'
U' L2 D2 F R2 D' U'
U' L2 D2 F R2 D2 U'
U' L2 D2 F U' D B2
U' L2 D2 F D U' B2
U' L2 D2 F' R2 F2 U'
L' U L' F U2 F' U
U' L2 F R U' D' B2
U' L2 F R U2 L2 U
U' L2 F R D' U' B2
U' L2 F R D2 R2 U'
U L2 D2 F U2 F' U
U' L2 F R' U' D' B2
U' L2 F R' U2 L2 U
U' L2 F R' D' U' B2
U' L2 F R' D2 R2 U'
U' L2 F R2 U' D' B2
U' L2 F R2 U2 L2 U
U' L2 F R2 D' U' B2
U' L2 F R2 D2 R2 U'
U' L2 F U D F2 U2
U' L2 F U' D' B2 D
U' L2 F U' D' B2 D'
U' L2 F U' D' B2 D2
U2 L2 F R2 U' L2 B
U' L2 F U' B D' B2
U2 L2 F R2 U' B L2
U' L2 F U' B' D' B2
U' L2 F U' B2 D' B2
U' L2 F U2 L2 U D
U' L2 F U2 L2 U D'
U' L2 F U2 L2 U D2
U' L2 F U2 L2 D U
U' L2 F U2 L2 D' U
U' L2 F U2 L2 D2 U
U2 L2 F U F' U2 L2
U' L2 F D U F2 U2
U' L2 F D' R U' B2
U' L2 F D' R' U' B2
U' L2 F D' R2 U' B2
U' L2 F D' U' B2 D
U' L2 F D' U' B2 D'
U' L2 F D' U' B2 D2
U' L2 F D2 R2 U' D
U' L2 F D2 R2 U' D'
U' L2 F D2 R2 U' D2
U' L2 F D2 R2 D U'
U' L2 F D2 R2 D' U'
U' L2 F D2 R2 D2 U'
U L2 F R2 B R2 U'
U L2 F U2 D F' U
U L2 F U2 D' F' U
U L2 F U2 D2 F' U
R2 U L2 D F B2 U'
U L2 F U2 F' U D
U L2 F U2 F' U D'
U L2 F U2 F' U D2
U L2 F U2 F' D U
U L2 F U2 F' D' U
U L2 F U2 F' D2 U
R2 U L2 D B2 F U'
U L2 F D U2 F' U
U L2 F D' U2 F' U
R2 U L2 D2 F U' L2
R2 U L2 F U R2 U2
U L2 F D2 U2 F' U
R2 U L2 F U' D2 L2
R2 U L2 F D B2 U'
R2 U L2 F D2 U' L2
U L2 F B U2 F' U
U L2 F B' U2 F' U
U L2 F B2 U2 F' U
R U L2 F U R' U2
R U L2 F B2 U' L
R U L2 B2 F U' L
U' L2 F2 D' F' U' B2
U' L2 F2 D2 F' R2 U'
U L2 F2 D' F' U' L2
U L2 F2 D2 F' B2 U'
U L2 F2 D2 B2 F' U'
U L2 B F U2 F' U
D' L2 B2 U' F U' B2
U L2 B' F U2 F' U
U L2 B2 F U2 F' U
R' U F L2 F U' L'
U' R L2 U2 L2 B' U
L2 U F U2 F' U F
U' R L2 D' F U' B2
U' R L2 D2 R2 F U'
U' R L2 D2 F R2 U'
U' R L2 F U' D' B2
U' R L2 F U2 L2 U
U' R L2 F D' U' B2
U' R L2 F D2 R2 U'
R' U F2 L2 F U' L
U R U2 L2 R' F U'
U R U2 L2 F R' U'
U R U2 R' L2 F U'
L U' L F U' R B
U' R D2 B' R2 F' U
L' U' L' F U2 L U
U' R B' U2 L2 B U'
U' R B' U2 B L2 U'
U' R B' D2 R2 F' U
R' U' D B' U F2 L'
R2 U' D2 R2 B' U L2
R2 U' D2 B' R2 U L2
U' R' L2 U2 L2 B' U
U' R' L2 D' F U' B2
U' R' L2 D2 R2 F U'
U' R' L2 D2 F R2 U'
U' R' L2 F U' D' B2
U' R' L2 F U2 L2 U
U' R' L2 F D' U' B2
U' R' L2 F D2 R2 U'
D R' U' B' U F2 L'
R' U' B' U D F2 L'
R' U' B' D U F2 L'
U R' U2 L2 R F U'
U R' U2 R L2 F U'
R2 U' B' D2 R2 U L2
U' R' D2 B' R2 F' U
R' U2 R U' L2 F U'
D R' F2 U' B' U L'
R U2 R' U' L2 F U'
R2 U2 R2 U' L2 F U'
U' R' B' U2 L2 B U'
U' R' B' U2 B L2 U'
U' R' B' D2 R2 F' U
D R' B' U F2 L' B
D R' B' U F2 B L'
D R' B' U B F2 L'
U R' B' U2 L2 R U'
U R' B' U2 R L2 U'
U' R2 L2 U2 L2 B' U
U' R2 L2 D' F U' B2
U' R2 L2 D2 R2 F U'
U' R2 L2 D2 F R2 U'
U' R2 L2 F U' D' B2
U' R2 L2 F U2 L2 U
U' R2 L2 F D' U' B2
U' R2 L2 F D2 R2 U'
U R2 L2 F R2 B U'
U R2 U2 L2 R2 F U'
U R2 U2 L2 F R2 U'
U R2 U2 R2 L2 F U'
D2 R2 D' F2 B' U B
D2 R2 D' B' F2 U B
U R2 D B' U F2 B'
U R2 D B' U B' F2
B' R2 D2 R2 U L2 B
B' R2 D2 R2 U B L2
D2 R2 D2 B' U L2 B
D2 R2 D2 B' U B L2
U' R2 D2 B' R2 F' U
U R2 D2 R2 B' L2 U
U R2 D2 B' L2 R2 U
U R2 D2 B' R2 L2 U
D2 R2 B' U D2 L2 B
D2 R2 B' U D2 B L2
D2 R2 B' U B D2 L2
D2 R2 B' U' R2 F' U2
U' R2 B' U2 L2 B U'
U' R2 B' U2 B L2 U'
D2 R2 B' D' F2 U B
D2 R2 B' D2 U L2 B
D2 R2 B' D2 U B L2
U' R2 B' D2 R2 F' U
U R2 B' U D F2 B2
U R2 B' U D B2 F2
U R2 B' U2 L2 R2 U'
R' D U' B' U F2 L'
U R2 B' U2 R2 L2 U'
U R2 B' D U F2 B2
U R2 B' D U B2 F2
U R2 B' D2 L2 R2 U
U R2 B' D2 R2 L2 U
F' U L2 F U2 F' U
F2 U L2 F U2 F' U
R' D F2 U' B' U L'
F U L2 F U2 F' U
R' D B' U F2 L' B
R' D B' U F2 B L'
R' D B' U B F2 L'
D2 U R2 D B' U B'
D2 U R2 D2 B' L2 U
D2 U R2 B' U D B2
D2 U R2 B' U2 R2 U'
D2 U R2 B' D U B2
D2 U R2 B' D2 L2 U
B2 U D L2 B U F2
B' U D F2 D' L2 B
B' U D F2 D' B L2
B' U D F2 B D' L2
B' U D B F2 D' L2
B2 U D B L2 U F2
B' U D2 R2 U R2 B
F' U F' L2 F B' U'
F' U F' L2 B' F U'
F2 U F' L2 F B' U'
F2 U F' L2 B' F U'
U' D B' R2 F' U F'
D2 U B' R2 U D B2
D2 U B' R2 U2 R2 U'
D2 U B' R2 D U B2
D2 U B' R2 D2 L2 U
D' U B' U' B' U2 B
U' D B' U2 B U' F2
U' D B' D R2 F' U
F U F' L2 F B' U'
F U F' L2 B' F U'
D U B' U F2 D2 B2
U D B' U F2 D2 B2
B' U B U L2 U' L2
B' U B D F2 D' L2
B2 U B U D F2 B
B2 U B U D B F2
B2 U B U B D F2
B2 U B U2 L2 U' B
B2 U B D U F2 B
B2 U B D U B F2
B U B2 U D F2 B
B U B2 U D B F2
B U B2 U B D F2
B U B2 U2 L2 U' B
B U B2 D U F2 B
B U B2 D U B F2
B' U' L2 U L2 U2 B
B' U' L2 U' D2 B R2
B' U' L2 U' B D2 R2
B2 U' L2 R2 F' U' B2
B' U' L2 D F2 U' B
F' U' L2 U2 L2 B' U
B' U' L2 D2 U' B R2
F' U' L2 D' F U' B2
B2 U' L2 U2 B U B
F' U' L2 D2 R2 F U'
F' U' L2 D2 F R2 U'
F2 U' L2 U2 L2 B' U
B2 U' L2 D' R2 F' U'
F' U' L2 F U' D' B2
F' U' L2 F U2 L2 U
F' U' L2 F D' U' B2
F' U' L2 F D2 R2 U'
F2 U' L2 D' F U' B2
F2 U' L2 D2 R2 F U'
F2 U' L2 D2 F R2 U'
F2 U' L2 F U' D' B2
F2 U' L2 F U2 L2 U
F2 U' L2 F D' U' B2
F2 U' L2 F D2 R2 U'
D2 U' R2 B' U2 B U'
F U' L2 U2 L2 B' U
F U' L2 D' F U' B2
F U' L2 D2 R2 F U'
F U' L2 D2 F R2 U'
F U' L2 F U' D' B2
F U' L2 F U2 L2 U
F U' L2 F D' U' B2
F U' L2 F D2 R2 U'
D2 U' F B' R2 F' U
D2 U' F' B' R2 F' U
B2 U' R2 L2 F' U' B2
B2 U' R2 F' L2 U' B2
D2 U' F2 B' R2 F' U
D2 U' B' R2 D F' U
D2 U' B' R2 D' F' U
D2 U' B' R2 D2 F' U
D2 U' B' R2 F' U D
D2 U' B' R2 F' U D'
D2 U' B' R2 F' U D2
D2 U' B' R2 F' D U
D2 U' B' R2 F' D' U
D2 U' B' R2 F' D2 U
D2 U' B' F R2 F' U
D2 U' B' F' R2 F' U
D2 U' B' F2 R2 F' U
F' U' D2 B' R2 F' U
F2 U' D2 B' R2 F' U
D U' B' R2 F' U F'
D U' B' U2 B U' F2
D U' B' D R2 F' U
U D' B' U' B' U2 B
F U' D2 B' R2 F' U
F' U' B' U2 L2 B U'
F' U' B' U2 B L2 U'
