B' L2 F L2 R U
B' L2 F R L2 U
F R D B' U L2
F R D2 F2 B' U
F R D2 B' F2 U
F R B' U2 B' U'
D2 F R F B' U
D2 F R B' F U
B' U2 B L B2 U'
D F R B' U L2
B' U2 B' U2 R' U
D2 F B' R F U
F D R B' U L2
D F B' R U L2
F D B' R U L2
F D2 R F2 B' U
F D2 R B' F2 U
F' D2 F2 R B' U
F' D2 F2 B' R U
F' D2 B' F2 R U
F D2 B' R F2 U
B' F R U2 B' U'
D B' U L F L
F B' R U2 B' U'
D2 B' F R F U
F' B' U2 B' L' U'
B' F' U2 B' L' U'
D B' F R U L2
U2 B2 U2 B R' U
U2 L B L F B U'
U2 L B L B F U'
U L B2 U' F R B2
U L B2 U' F B2 R
U L B2 U' B2 F R
U L' D L2 F' R F2
U L' D F' L2 R F
U L' D F' R L2 F
U L' D F2 L2 F R
B' L2 R F L2 R U
B' L2 R F R L2 U
B' L2 R' F L2 R U
B' L2 R' F R L2 U
B' L2 R2 F L2 R U
B' L2 R2 F R L2 U
B' L2 D' F R U B2
B2 L2 D2 R2 F' L' U'
F' L2 F L B2 R' U'
B' L2 F L2 R U D
B' L2 F L2 R U D'
B' L2 F L2 R U D2
B' L2 F L2 R D U
B' L2 F L2 R D' U
B' L2 F L2 R D2 U
B' L2 F L2 D R U
B' L2 F L2 D' R U
B' L2 F L2 D2 R U
B' L2 F R L2 U D
B' L2 F R L2 U D'
B' L2 F R L2 U D2
B' L2 F R L2 D U
B' L2 F R L2 D' U
B' L2 F R L2 D2 U
B' L2 F R U D' B2
B' L2 F R D' U B2
B' L2 F D' R U B2
U2 L2 F B L B U'
B' L2 F2 L2 F' R U
B2 L2 B L2 F R U
U2 L2 B F L B U'
B L2 B2 L2 F R U
U2 L2 B2 D2 F L' U'
B' R L2 F L2 R U
B' R L2 F R L2 U
B' R U2 B L B2 U'
B' R U2 B' U2 R' U
F R U2 B2 U2 B U
F R D F B' U L2
F R D F' B' U L2
F R D F2 B' U L2
F R D B' U L2 D
F R D B' U L2 D'
F R D B' U L2 D2
F R D B' D F2 U
F R D B' F U L2
F R D B' F' U L2
F R D B' F2 U L2
F R D' B' U D2 L2
F R D' B' U' R2 U2
F R D' B' D' F2 U
F R D' B' D2 U L2
F' R D2 F2 R B' U
F' R D2 F2 B' R U
F' R D2 B' F2 R U
D2 R F R F B' U
D2 R F R B' F U
B' R F R U2 B' U'
F R D2 F2 D B' U
F R D2 F2 D' B' U
F R D2 F2 D2 B' U
F R D2 F2 B' U D
F R D2 F2 B' U D'
F R D2 F2 B' U D2
F R D2 F2 B' D U
F R D2 F2 B' D' U
F R D2 F2 B' D2 U
F R D2 B' U D' L2
F R D2 B' D' U L2
F R D2 B' F2 U D
F R D2 B' F2 U D'
F R D2 B' F2 U D2
F R D2 B' F2 D U
F R D2 B' F2 D' U
F R D2 B' F2 D2 U
D R F R B' U L2
B R F R F' B2 U
B R F R B2 F' U
D2 R F B' R F U
D R F B' R U L2
F R F D B' U L2
B R F B2 R F' U
F R F D2 F2 B' U
F R F D2 B' F2 U
B' R F' U2 B' L' U'
F R F B' U2 B' U'
F R F' D B' U L2
F R F' D2 F2 B' U
F R F' D2 B' F2 U
F R F' B' U2 B' U'
F R F2 D B' U L2
F R F2 D2 F2 B' U
F R F2 D2 B' F2 U
F R F2 B' U2 B' U'
D' R B' U' R B U2
F' R B' U2 B' L' U'
D2 R B' F R F U
D R B' U L F L
F R B' L2 F L2 U
D R B' F R U L2
F R B' U2 D B' U'
F R B' U2 D' B' U'
F R B' U2 D2 B' U'
F R B' U2 B' U' D
F R B' U2 B' U' D'
F R B' U2 B' U' D2
F R B' U2 B' D U'
F R B' U2 B' D' U'
F R B' U2 B' D2 U'
F R B' D U2 B' U'
F R B' D' U2 B' U'
F R B' D2 U2 B' U'
F R B' F U2 B' U'
F R B' F' U2 B' U'
F R B' F2 U2 B' U'
B R B2 F R F' U
B' R' L2 F L2 R U
B' R' L2 F R L2 U
B' R' U2 B L B2 U'
B' R' U2 B' U2 R' U
F R' D B' U L2 F
F' R' D2 F2 R B' U
F' R' D2 F2 B' R U
F' R' D2 B' F2 R U
D2 R' F R F B' U
D2 R' F R B' F U
B' R' F R U2 B' U'
D2 R' F B' R F U
D R' F R B' U L2
D R' F B' R U L2
B' R' F' U2 B' L' U'
F R' B R2 F' B2 U
F R' B R2 B2 F' U
F' R' B' U2 B' L' U'
D2 R' B' F R F U
D R' B' U L F L
F R' B' R2 U2 B' U'
D R' B' F R U L2
B' R2 L2 F L2 R U
B' R2 L2 F R L2 U
B' R2 U2 B L B2 U'
B' R2 U2 B' U2 R' U
R' U2 B2 U2 B R' U
F R2 D R' B' U L2
R2 U2 B2 U2 B R' U
R U2 B2 U2 B R' U
F' R2 D2 F2 R B' U
F' R2 D2 F2 B' R U
F' R2 D2 B' F2 R U
D2 R2 F R F B' U
D2 R2 F R B' F U
B' R2 F R U2 B' U'
F R2 D2 R' F2 B' U
F R2 D2 R' B' F2 U
F R2 D2 F2 R' B' U
D2 R2 F B' R F U
B R2 F R F2 B2 U
B R2 F R B2 F2 U
D R2 F R B' U L2
B2 R2 F' L' U2 L U
B' R2 F' U2 B' L' U'
D R2 F B' R U L2
B R2 F B2 R F2 U
B R2 F' B2 U2 L' U'
F' R2 B' U2 B' L' U'
D2 R2 B' F R F U
D R2 B' U L F L
D R2 B' F R U L2
F R2 B' U2 B' L U'
B R2 B2 F R F2 U
U2 D L U' L F R
B R2 B2 F' U2 L' U'
R' D F R B' U L2
B' U L' D L2 F L'
R' D F B' R U L2
R2 D F R B' U L2
R2 D F B' R U L2
R D F R B' U L2
R D F B' R U L2
R' D B' U L F L
R' D B' F R U L2
R2 D B' U L F L
R2 D B' F R U L2
R D B' U L F L
R D B' F R U L2
B' U' R B U' B2 U'
B' U' R B U2 D L2
B' U' R B D U2 L2
B' U' R B D' R2 U2
B' U' R' U' B' U' F'
D U2 L U' L F R
B' U' B2 U' B L U'
R' D2 F R F B' U
R' D2 F R B' F U
R' D2 F B' R F U
B' U2 L' B L B' U'
R2 D2 F R F B' U
R2 D2 F R B' F U
B' U2 L2 U2 F R U
F' U2 L2 F L B2 U'
R2 D2 F B' R F U
F2 U2 L2 F L' B2 U'
R D2 F R F B' U
R D2 F R B' F U
F2 U2 L2 F B2 L' U'
F2 U2 L2 B2 F L' U'
R D2 F B' R F U
D2 U2 B' R' F2 L' U
R' D2 B' F R F U
U2 D2 B' R' F2 L' U
B' U2 D B L B2 U'
B' U2 D B' U2 R' U
R2 D2 B' F R F U
B' U2 D' B L B2 U'
B' U2 D' B' U2 R' U
