F L B' U B' U2 B
D' L2 R2 B' L' U L2
D' L2 B' L' R2 U L2
D' L2 B' R2 L' U L2
D' R2 L2 B' L' U L2
L U2 B' L2 U' F R
B2 U' R' D F U' L'
B2 U' D R' F U' L'
B2 U' D F R' U' L'
B2 U' D2 R' F B U'
B2 U' D2 R' B F U'
B2 U' D2 F R' B U'
B2 U' F D2 R' B U'
D F L2 U' L D' B2
D F L2 U2 L' U L2
D2 F B2 R' B U' F
B2 D U' R' F U' L'
D F B2 L2 R' U' L
B2 D U' F R' U' L'
D F B2 R' L2 U' L
D F' L2 F2 R U' L'
B2 D2 U' R' F B U'
B2 D2 U' R' B F U'
B2 D2 U' F R' B U'
F D2 B2 R' B U' F2
D2 B2 R' F B U' F
D2 B2 R' B F U' F
D B2 R' F L2 U' L
L2 B2 U L' B U L
L2 B2 U B L' U L2
D2 B2 F R' B U' F
D B2 F L2 R' U' L
D B2 F R' L2 U' L
