F' L' D R2 F B2
F' L' D R2 B2 F
F' L' D F R2 B2
F' L' D F B2 R2
F' L' D B2 R2 F
F' L' D B2 F R2
R2 F U' F2 L' F
F L R2 U R' B' U2
F' L R2 F2 U' L2 F
F' L F2 R2 U' L2 F
F L' R2 U R' U2 F
F L' R2 B2 U' F L
U L' R2 B' U' F R
F' L' U R2 F2 U' F'
F' L' D R B2 R F
F' L' D R' F R' B2
F' L' D R2 F B2 D
F' L' D R2 F B2 D'
F' L' D R2 F B2 D2
F' L' D R2 B2 D F
F' L' D R2 B2 D' F
F' L' D R2 B2 D2 F
F' L' D R2 B2 F D
F' L' D R2 B2 F D'
F' L' D R2 B2 F D2
F' L' D F R B2 R
F' L' D F R2 B2 D
F' L' D F R2 B2 D'
F' L' D F R2 B2 D2
F' L' D F B' R2 B'
F' L' D F B2 R2 D
F' L' D F B2 R2 D'
F' L' D F B2 R2 D2
F' L' D F' R2 F2 B2
F' L' D F' R2 B2 F2
F' L' D F' B2 R2 F2
F' L' D B' R2 F B'
F' L' D B' R2 B' F
F' L' D B' F R2 B'
F' L' D B2 R' F R'
F' L' D B2 R2 D F
F' L' D B2 R2 D' F
F' L' D B2 R2 D2 F
F' L' D B2 R2 F D
F' L' D B2 R2 F D'
F' L' D B2 R2 F D2
F' L' D B2 F R2 D
F' L' D B2 F R2 D'
F' L' D B2 F R2 D2
F' L' D B2 F' R2 F2
F' L' D2 F D' R2 B2
F' L' D2 F D' B2 R2
F2 L' F L' D R2 B2
F2 L' F L' D B2 R2
F' L' F U R2 F U'
F' L' F U F R2 U'
F2 L' F D L' R2 B2
F2 L' F D L' B2 R2
F2 L' F D R2 L' B2
F2 L' F D R2 B2 L'
F2 L' F D B2 L' R2
F2 L' F D B2 R2 L'
F' L' B D R2 F B2
F' L' B D R2 B2 F
F' L' B D F R2 B2
F' L' B D F B2 R2
F' L' B D B2 R2 F
F' L' B D B2 F R2
F' L' B' D R2 F B2
F' L' B' D R2 B2 F
F' L' B' D F R2 B2
F' L' B' D F B2 R2
F' L' B' D B2 R2 F
F' L' B' D B2 F R2
U L' B' R2 U' F R
F' L' B2 D R2 F B2
F' L' B2 D R2 B2 F
F' L' B2 D F R2 B2
F' L' B2 D F B2 R2
F' L' B2 D B2 R2 F
F' L' B2 D B2 F R2
F' L2 D L R2 F B2
F' L2 D L R2 B2 F
F' L2 D L F R2 B2
F' L2 D L F B2 R2
F' L2 D L B2 R2 F
F' L2 D L B2 F R2
F' L2 D R2 L F B2
F' L2 D R2 L B2 F
F' R2 L F2 U' L2 F
F R2 L U R' B' U2
F R2 L' U R' U2 F
F R2 L' B2 U' F L
U R2 L' B' U' F R
F' R2 U' L' D R2 F
F' R2 U' L' D F R2
F R2 U D2 R' B U2
U R2 D F L' B' U'
F R2 D' B2 U' L F
F R2 D2 U R' B U2
B' R2 F U' F2 L' F
B2 R2 F U' F2 L' F
B R2 F U' F2 L' F
U R2 F L' B' U' F
U R2 F U' F' L' F
F' R2 F2 U' F2 L' F
F R2 B2 L' U' F L2
F R2 B2 U' L' F L2
F' U L' D R2 F B2
F' U L' D R2 B2 F
F' U L' D F R2 B2
F' U L' D F B2 R2
F' U L' D B2 R2 F
F' U L' D B2 F R2
R2 D F L' U R U2
D U F L' B' U' B'
U D F L' B' U' B'
L D B2 R2 F' L' R
L D B2 R2 F' R L'
F' U' L' D R2 F B2
F' U' L' D R2 B2 F
F' U' L' D F R2 B2
F' U' L' D F B2 R2
F' U' L' D B2 R2 F
F' U' L' D B2 F R2
F U' F2 L' D F B2
F U' F2 L' D B2 F
F U' F2 L' F D B2
R D2 R F U' F2 L'
F' U2 L' D R2 F B2
F' U2 L' D R2 B2 F
F' U2 L' D F R2 B2
F' U2 L' D F B2 R2
F' U2 L' D B2 R2 F
F' U2 L' D B2 F R2
R2 D2 F U R U2 F'
R2 F L U R B' U2
R2 F L U B' R U2
R2 F L' U R U2 F
R2 F L' U' F2 L' F'
D F L' R2 U' B2 L
D F L' U R U2 B2
U F L' R2 B' U' F
U F L' B' R2 U' F
D F R2 L' U' B2 L
U F R2 L' B' U' F
U F R2 U' F' L' F
R2 F U D2 R U2 F'
R2 F U' L' F2 L' F'
R2 F U' F L' F L'
R2 F U' F2 L' D F
R2 F U' F2 L' D' F
R2 F U' F2 L' D2 F
R2 F U' F2 L' F D
R2 F U' F2 L' F D'
R2 F U' F2 L' F D2
R2 F U2 F2 U L' F
R2 F D2 U R U2 F'
R2 F B U' F2 L' F
F' D R2 B2 D' L' F
R2 F B' U' F2 L' F
R2 F B2 U' F2 L' F
R2 F' L F2 U' L2 F
F' D B2 R2 D' L' F
R2 F' U' L' D R2 F
R2 F' U' L' D F R2
D' F' D L' R2 F B
D' F' D L' R2 B F
D' F' D R2 L' F B
D' F' D R2 L' B F
D' F' D R2 B L' F
R2 F2 L' F' U' F2 L'
F' B L' D R2 F B2
F' B L' D R2 B2 F
F' B L' D F R2 B2
F' B L' D F B2 R2
F' B L' D B2 R2 F
F' B L' D B2 F R2
R2 B F U' F2 L' F
B' F' L' D R2 F B2
B' F' L' D R2 B2 F
B' F' L' D F R2 B2
B' F' L' D F B2 R2
B' F' L' D B2 R2 F
B' F' L' D B2 F R2
F' B' L' D R2 F B2
F' B' L' D R2 B2 F
F' B' L' D F R2 B2
F' B' L' D F B2 R2
F' B' L' D B2 R2 F
F' B' L' D B2 F R2
B2 F' L' D R2 F B2
B2 F' L' D R2 B2 F
B2 F' L' D F R2 B2
B2 F' L' D F B2 R2
B2 F' L' D B2 R2 F
B2 F' L' D B2 F R2
B F' L' D R2 F B2
B F' L' D R2 B2 F
B F' L' D F R2 B2
B F' L' D F B2 R2
B F' L' D B2 R2 F
B F' L' D B2 F R2
R2 B' F U' F2 L' F
F' B2 L' D R2 F B2
F' B2 L' D R2 B2 F
F' B2 L' D F R2 B2
F' B2 L' D F B2 R2
F' B2 L' D B2 R2 F
F' B2 L' D B2 F R2
D B2 U F L' B' U'
R2 B2 F U' F2 L' F
