B R F' L' U' B'
B L' R2 U' B' R' F'
F' L' D B U' R' B2
F' L' B R F' U' B2
D L' B U' R' F' B2
D L' B U' R' B2 F'
B R D F' L' U' B'
B R D' F' L' U' B'
B R D2 F' L' U' B'
B' R F' L' B2 U' B
B R F' L' R U' B'
B R F' L' R' U' B'
B R F' L' R2 U' B'
B R F' L' U' D B'
B R F' L' U' D' B'
B R F' L' U' D2 B'
B R F' L' U' B' D
B R F' L' U' B' D'
B R F' L' U' B' D2
B R F' L' D U' B'
B R F' L' D' U' B'
B R F' L' D2 U' B'
B R F' R L' U' B'
B R F' R' L' U' B'
B R F' R2 L' U' B'
B' R F' B2 L' U' B'
B2 R F' B' L' U' B'
B R F' D L' U' B'
B R F' D' L' U' B'
B R F' D2 L' U' B'
B2 R B' F' L' U' B'
B' R B2 F' L' U' B'
U' R' B U F' L' B'
B R2 L' U' B' R' F'
B R2 F' L' U' B' R'
R D F' L' U' B' L
L' D B U' R' F' B2
L' D B U' R' B2 F'
F' D L' B U' R' B2
D2 F' L' F B U' B2
D' F' L' B U' R B2
D' F' L' B U' B2 R
D2 F' L' B F U' B2
D F' L' B U' R' B2
R F' L' R' B U' B2
R F' L' U' D B' L
R F' L' D U' B' L
F' D B L' U' R' B'
R F' R' L' B U' B2
R F' R' B L' U' B'
R F' D L' U' B' L
D2 F' B L' F U' B'
D' F' B L' U' R B'
D' F' B L' U' B' R
D F' B L' U' R' B'
B D' F' L' U' R B'
B D' F' L' U' B' R
F' D2 L' F B U' B2
F' D2 L' B F U' B2
U2 B L R F' U' B
D B L' U' R' F' B'
D B L' U' R' B' F'
L' B R F' L' U' B2
U2 B R L F' U' B
B D2 F' L' F U' B'
U2 B R F' L U' B
F' D2 B L' F U' B'
F' B L' R F' U' B'
F' B L' R2 U' B' R'
F' B R L' F' U' B'
F' B R2 L' U' B' R'
D2 B F' L' F U' B'
D' B F' L' U' R B'
D' B F' L' U' B' R
D B F' L' U' R' B'
F' B D2 L' F U' B'
B F' L' R F' U' B'
B F' L' R2 U' B' R'
B F' R L' F' U' B'
B F' R2 L' U' B' R'
B F' D2 L' F U' B'
