R F2 L' U B' R'
L' R F2 U2 F U' B'
R' L F2 B R2 U B
R' L B F2 R2 U B
R' L' F2 B R2 U B2
L' R' F2 B R2 U B2
R L' F2 U2 F U' B'
L R' F2 B R2 U B
R' L' B R2 F2 U B2
L' R' B R2 F2 U B2
R' L' B F2 R2 U B2
L' R' B F2 R2 U B2
L R' B F2 R2 U B
R' L' B' D' L2 R2 F2
R' L' B' D' L2 F2 R2
R' L' B' D' R2 L2 F2
R' L' B' D' R2 F2 L2
L' R' B' D' L2 R2 F2
L' R' B' D' L2 F2 R2
L' R' B' D' R2 L2 F2
L' R' B' D' R2 F2 L2
R' L' B' D' F2 L2 R2
R' L' B' D' F2 R2 L2
L' R' B' D' F2 L2 R2
L' R' B' D' F2 R2 L2
R' U F2 B L R2 U
R' U F2 B R2 L U
R' U B L R2 F2 U
R' U B L F2 R2 U
R' U B R2 L F2 U
R' U B R2 F2 L U
R' U B F2 L R2 U
R' U B F2 R2 L U
B' R F2 L' U B' R'
B2 R F2 L' U B' R'
U2 R F2 L2 B' U B2
B R F2 L' U B' R'
U2 R F2 U2 F U' B
U R F2 U2 F R U'
U2 R' B R2 F2 U B
U R' F2 B L R2 U
U R' F2 B R2 L U
U R' B L R2 F2 U
U R' B L F2 R2 U
U R' B R2 L F2 U
U R' B R2 F2 L U
U R' B F2 L R2 U
U R' B F2 R2 L U
R U2 F' R U' B L
F2 U2 L' R F' U' B
F2 U2 R L' F' U' B
D2 F2 L' F B2 U' B
R' F2 L' B R2 U B2
D2 F2 L' B2 F U' B
R F2 L' U R B' R'
R F2 L' U R' B' R'
R F2 L' U R2 B' R'
R F2 L' U D B' R'
R F2 L' U D' B' R'
R F2 L' U D2 B' R'
R F2 L' U B' R' D
R F2 L' U B' R' D'
R F2 L' U B' R' D2
R F2 L' U B' D R'
R F2 L' U B' D' R'
R F2 L' U B' D2 R'
R F2 L' D U B' R'
R F2 L' D' U B' R'
R F2 L' D2 U B' R'
R F2 L2 D' B' L U
R F2 L2 B' L U B'
R F2 U2 R F U' B
R F2 U2 F R U' B
R F2 D L' U B' R'
R' F2 B L' R2 U B'
R' F2 B R2 L' U B'
R F2 D' L' U B' R'
R F2 D2 L' U B' R'
D2 F2 B2 L' F U' B'
R F2 B L' U B' R'
R' B L F2 R2 U B
R F2 B' L' U B' R'
R' B L' R2 F2 U B'
R' B L' F2 R2 U B'
R F2 B2 L' U B' R'
R' B R2 L' F2 U B'
R' B R2 F2 L' U B'
R' B F2 L' R2 U B'
R' B F2 R2 L' U B'
R B F2 L' U B' R'
R B' F2 L' U B' R'
D2 B2 F2 L' F U' B'
R B2 F2 L' U B' R'
