R2 B R' F' D' L2
L2 R2 B R' D L2 F'
L2 R2 B R' D F' L2
L2 R2 B R' F' D L2
R2 L2 B R' D L2 F'
R2 L2 B R' D F' L2
R2 L2 B R' F' D L2
L2 R2 B D L2 R' F'
L2 R2 B D R' L2 F'
L2 R2 B D R' F' L2
R2 L2 B D L2 R' F'
R2 L2 B D R' L2 F'
R2 L2 B D R' F' L2
L' U R2 B L R' F'
L' U R2 B R' L F'
L' U R2 B R' F' L
F R U D2 F' R B2
F R U D2 F' B2 R
F R U D2 B2 F' R
F R U F' R2 B R'
F R D2 U F' R B2
F R D2 U F' B2 R
F R D2 U B2 F' R
L' U' R2 B R' F' L'
R2 U' F U B R' F'
F R' U' F2 B U2 R'
F R' U' B F2 U2 R'
F' R' B U F2 U R'
F' R' B U2 R' D' L2
F' R' B U2 D' L2 R'
F' R' B U2 D' R' L2
F' R' B D R2 U2 R
F' R' B D' U2 L2 R'
F' R' B D' U2 R' L2
U' R2 B R' F' D' L2
U2 R2 B R' F' D' L2
U R2 B R' F' D' L2
F U R D2 F' R B2
F U R D2 F' B2 R
F U R D2 B2 F' R
F U R F' R2 B R'
F U F' R2 B R' F'
F U B R F' R2 B
R D2 F' R D' L2 B
R D2 F' R D' B L2
R D2 F' R B D' L2
R D2 F' D' L2 R B
R D2 F' D' R L2 B
R D2 F' D' R B L2
R F R U F2 B R'
R F R U B R' F2
R F R U B F2 R'
R' F U R' B R' F'
D2 F U' L' F2 U2 F'
R' F U' B U2 R' B
R F' R B R' D' L2
R F' R B D' L2 R'
R F' R B D' R' L2
R2 F' B R' D' L2 F'
R2 F' B R' D' F' L2
R2 F' B D' L2 R' F'
R2 F' B D' R' L2 F'
R2 F' B D' R' F' L2
R2 B R' U' F U F2
R2 B R' D F' D' L2
R2 B R' D' F' D' L2
R2 B R' D2 F' D' L2
R2 B R' F' L D' L2
R2 B R' F' L' D' L2
R2 B R' F' L2 D' L2
R2 B R' F' U' F2 U
R2 B R' F' D' L2 D
R2 B R' F' D' L2 D'
R2 B R' F' D' L2 D2
R' B U F U R' B
R2 B U' F U R' F'
R2 B D R' F' D' L2
R2 B D' R' F' D' L2
B F R U F' R2 B
F B R U F' R2 B
R2 B D2 R' F' D' L2
R2 B F' R' D' L2 F'
R2 B F' R' D' F' L2
R2 B F' D' L2 R' F'
R2 B F' D' R' L2 F'
R2 B F' D' R' F' L2
B F U R F' R2 B
F B U R F' R2 B
